
#08.0100
#La société La Persévérance exploite une fonderie de fonte grise à Rocroi.

0l1l0	fonderie_de	S

#L'exploitation d'une fonderie telle que celle exploitée par La Fonderie La Persévérance est susceptible de générer des impacts sur l'environnement.

1l0l0	L__exploitation_d__une_fonderie	O
1l0l1	telle	N
1l0l2	que_celle_exploitée	A
1l0l3	par_La	O
1l0l4	Fonderie	L
1l1l0	L__exploitation_d__une_fonderie	I

#L'arrêté préfectoral du 29 mars 2013 impose à l'exploitant une surveillance régulière des rejets atmosphériques ainsi que des eaux pluviales.

2l0l0	L__arrêté_préfectoral	N
2l0l1	du_29_mars	O
2l0l2	exploitant	N
2l0l3	surveillance_régulière_des	A
2l0l4	rejets_atmosphériques	R
2l0l5	ainsi_que_des	N
2l0l6	eaux	R
2l0l7	pluviales__	O
