
#33.0193
#Ancienne déposante de matières de vidanges et de boues de curage exploitée par SANITRA FOURRIER sur la commune de Saint-Médard-en-Jalles (33).

0l0l0	Ancienne	R
0l0l1	déposante_de_matières_de_vidanges	O
0l0l2	curage_exploitée	N
0l0l3	par_SANITRA_FOURRIER	O
0l0l4	sur_la_commune_de_Saint_Médard_en_Jalles___33__	L
0l1l0	boues	U
0l1l1	SANITRA_FOURRIER	I

#Les activités de la déposante ont cessées en 2003.

1l0l0	Les_activités	A
1l0l1	la_déposante	O
1l0l2	ont_cessées	N
1l0l3	en_2003__	T

#Cette déposante était autorisée par l'arrêté préfectoral du 25 novembre 1950 et du 21 mai 1979.

2l0l0	Cette_déposante	O
2l0l1	était_autorisée	N
2l0l2	l__arrêté_préfectoral	O
2l0l3	25_novembre_1950	T
2l0l4	et_du	N
2l0l5	21_mai_1979__	T

#Une nouvelle activité de transit est en cours d'autorisation.

3l0l0	Une_nouvelle_activité_de_transit	O
3l0l1	en_cours_d__autorisation	N

#1 - MISE EN SÉCURITÉ

4l0l0	SÉCURITÉ	O
4l1l0	SÉCURITÉ	I

#Le site est clôturé.

5l0l0	Le_site	O

#2 - TRAVAUX

6l1l0	TRAVAUX	I

#L'arrêté préfectoral du 22 juillet 2005 prescrit les travaux de réhabilitation de la déposante : le regroupement des matières, le nivellement, le reprofilage et la mise en place d'une couverture étanche.

7l0l0	L__arrêté_préfectoral	O
7l0l1	du_22_juillet_2005	T
7l0l2	prescrit_les_travaux_de_réhabilitation	N
7l0l3	la_déposante	O
7l0l4	le_regroupement_des_matières	N
7l0l5	le_nivellement	N
7l0l6	le_reprofilage	N
7l0l7	la_mise_en_place_d__une_couverture_étanche	N

#Un fossé étanche ceinture le confinement.

8l0l0	Un_fossé_étanche	O
8l0l1	ceinture_le_confinement	O

#Le rapport des travaux terrassements du 07/03/2006 indique que les travaux ont été réalisés.

9l0l0	Le_rapport	O
9l0l1	des_travaux_terrassements	N
9l0l2	du_07_03_2006	T
9l0l3	les_travaux_ont_été_réalisés	N

#3 - SURVEILLANCE DES EAUX SOUTERRAINES :

10l0l0	SURVEILLANCE_DES_EAUX_SOUTERRAINES	O
10l1l0	EAUX_SOUTERRAINES	I

#L'arrêté préfectoral du 22 juillet 2005 prescrit la surveillance des eaux souterraines selon les modalités suivantes :

11l0l0	L__arrêté_préfectoral	O
11l0l1	du_22_juillet_2005	T
11l0l2	prescrit	N
11l0l3	la_surveillance_des_eaux_souterraines	A

#- par 7 piézomètres,


#- à une fréquence semestrielle,


#- pour les paramètres : As, Ni, Plomb, Hydrocarbures totaux, bactériologie, DCO, DBO5, COT, ammonium, nitrates, nitrites,

14l1l0	As	S
14l1l1	Ni	S
14l1l2	Plomb	S
14l1l3	Hydrocarbures_totaux	S
14l1l4	bactériologie	S
14l1l5	DCO	S
14l1l6	DBO5	S
14l1l7	COT	S
14l1l8	ammonium	S
14l1l9	nitrates	S
14l1l10	nitrites	S

#- avec le relevé du niveau piézométrique à chaque campagne.

15l0l0	niveau_piézométrique	O

#Le 4 décembre 2006, la DRIRE propose au Préfet de saisir le maire de Saint-Médard-en-Jalles afin qu'il fasse procéder à l'évacuation de ce dépôt.

16l0l0	Le_4_décembre_2006__	T
16l0l1	la_DRIRE	O
16l0l2	saisir_le_maire	O
16l0l3	de_Saint_Médard_en_Jalles	L
16l0l4	l__évacuation	N
16l1l0	la_DRIRE	I
16l1l1	Préfet	I

#Les analyses effectuées en 2009 confirment l'impact significatif de l'ancienne déposante de Lucbert: matières azotées, métaux, matières organiques, bactéries.

17l0l0	Les_analyses_effectuées	N
17l0l1	en_2009	T
17l1l0	matières_azotées	U
17l1l1	métaux	S
17l1l2	bactéries	S

#La teneur en nitrates a augmenté entre juillet et décembre.

18l0l0	La_teneur_en_nitrates	O
18l0l1	a_augmenté	N
18l0l2	entre_juillet_et_décembre	T

#Toutefois, les concentrations en ammonium et nitrites particulièrement élevées poursuivent leur diminution.

19l0l0	ammonium	O
19l1l0	ammonium	S
19l1l1	nitrites	S

#Il est important de souligner l'absence d'hydrocarbures dans les eaux souterraines.

20l1l0	hydrocarbures	S
