
#33.0245
#Ancienne déposante de matières de vidanges, de décharge de boues de stations et de résidus organiques provenant d'entreprises privées (stockés en fosse) et installation de traitement de déchets organiques liquides et pâteux, située lieu dit " Les Cabanasses" sur la commune de SAINT SELVE (33).

0l0l0	Ancienne	R
0l0l1	déposante_de_matières_de_vidanges	O
0l0l2	et_installation_de_traitement	O
0l0l3	pâteux	O
0l0l4	située_lieu_dit___Les_Cabanasses__	L
0l0l5	sur_la_commune_de_SAINT_SELVE___33__	L
0l1l0	déposante	D
0l1l1	résidus_organiques	U
0l1l2	déchets_organiques_liquides	U
0l1l3	SAINT_SELVE	I

#Installation a été exploitée jusqu'en 2005 par LE GROUPEMENT GIRONDIN POUR L'ELIMINATION DES DECHETS (G.

1l0l0	Installation	O
1l0l1	a_été_exploitée	N
1l0l2	jusqu__en_2005	T
1l0l3	LE_GROUPEMENT_GIRONDIN	O
1l1l0	LE_GROUPEMENT_GIRONDIN_POUR_L__ELIMINATION_DES_DECHETS	I

#.D) et autorisée par les arrêtés préfectoraux du 3 août 1979, 4 juillet 1984, 20 mai 1985 et 18 février 2004.

2l0l0	autorisée	N
2l0l1	par_les_arrêtés_préfectoraux	O
2l0l2	du_3_août_1979	T
2l0l3	4_juillet_1984	T
2l0l4	20_mai_1985	T
2l0l5	et_18_février_2004__	T

#Le 22 juillet 2004, l'exploitant déclare la cessation partielle des activités (installation déposante de matières de vidanges, de décharge de boues de station et de résidus organiques).

3l0l0	Le_22_juillet_2004__	T
3l0l1	l__exploitant_déclare	O
3l0l2	la_cessation_partielle_des_activités	N
3l0l3	vidanges	A
3l1l0	déposante	D
3l1l1	boues_de_station	U
3l1l2	résidus_organiques	U

#Le reste de l'activité continue.


#Le 13 juin 2007, déclaration changement d'exploitant: les installations sont maintenant exploitées par la Société TERRALYS.

5l0l0	Le_13_juin_2007__	T
5l0l1	déclaration_changement	N
5l0l2	d__exploitant	O
5l0l3	les_installations	O
5l0l4	sont_maintenant_exploitées	N
5l0l5	la_Société_TERRALYS	O
5l1l0	la_Société_TERRALYS	I

#1 - DIAGNOSTIC

6l0l0	DIAGNOSTIC	N

