
#33.0268
#Ancienne décharge exploitée par la commune de Plassac (33), à partir des années 1972 et ce jusqu’en 1975, au lieu-dit « Le Brouillon ».

0l1l0	Brouillon____	S

#le site est situé en rive droite de la Gironde à environ 600 mètres à l'est du cours d'eau.

1l0l0	le_site_est_situé_en	O
1l0l1	rive_droite	N
1l0l2	de_la_Gironde_à_environ_600_mètres	L
1l0l3	à_l__est_du_cours_d__eau	T

#Au sud du site, à environ 170 mètres, se trouve également le ruisseau du Brouillon qui se jette dans la gironde.

2l0l0	Au_sud_du	O
2l0l1	site___à_environ_170_mètres___se_trouve_également_le_ruisseau_du_Brouillon_qui_se	L

#Le site aurait principalement reçu des ordures ménagères.

3l0l0	Le_site_aurait	L
3l0l1	principalement_reçu	L
3l0l2	ménagères__	L

#le site est envahi par la végétation et il n'est pas clos.

4l0l0	le_site	O
4l0l1	est_envahi_par_la_végétation	N
4l1l0	et_il_n__est_pas_clos__	D

#Cette décharge est inscrite dans l'action nationale de résorption des dépôts sauvages introduite par la circulaire du Ministère de l'Ecologie et du Développement Durable du 23 février 2004.

5l0l0	Cette	O
5l0l1	décharge_est_inscrite	N

#Pour les décharges régulièrement autorisées, le programme de réhabilitation est inscrit dans le cadre réglementaire des Installations classées pour la protection de l'environnement.

6l0l0	programme_de_réhabilitation	N
6l0l1	des_Installations_classées	O
6l0l2	pour_la_protection_de_l_	O
6l0l3	environnement__	T
6l1l0	réhabilitation_est_inscrit	D

#1 - MISE EN SECURITE

7l0l0	MISE_EN_SECURITE	O

#Par arrêté préfectoral du 04 octobre 2005, la Mairie de Plassac a été mise en demeure de déposer un dossier de remise en état de l’ancienne décharge non autorisée, située sur sa commune, au lieu-dit « le Brouillon ».

8l1l0	arrêté_préfectoral_du_04_octobre_2005___la_Mairie_de_Plassac_a_été_mise_en_demeure_de_déposer_un_dossier_de_remise_en_état_de_l__ancienne_décharge_non_autorisée___située_sur_sa_commune___au_lieu___dit___le_Brouillon____	I

#Par transmission de la Préfecture de Gironde, en novembre 2008, un dossier de remise en état réalisé par la société ANTEA, pour le compte de la Mairie de Plassac, a été transmis à la DRIRE.

9l0l0	Par	R
9l0l1	transmission_de_la	O
9l0l2	Préfecture_de_Gironde	T
9l0l3	__en_novembre	O
9l0l4	2008	L
9l0l5	__un_dossier_de_remise_en_état	N
9l0l6	réalisé_par_la	O
9l0l7	société_ANTEA__	N
9l0l8	pour_le_compte_de_la_Mairie_de_Plassac__	O
9l0l9	été_transmis_à_la_DRIRE	L
9l0l10	_	L

#2 - DIAGNOSTIC

