
#49.0012
#Unité de fabrication de peintures et vernis destinés à l'industrie située en zone industrielle d'Arouet à 500 m au sud-est du centre ville de St Georges/Loire sur une parcelle d'une surface de 15500 m².

0l0l0	Unité_de_fabrication_de_peintures_et_vernis_destinés_à_l__industrie	A
0l0l1	située_en_zone_industrielle_d__Arouet_à_500_m_au_sud_est_du_centre_ville_de_St_Georges___Loire	L
0l0l2	sur_une_parcelle_d__une_surface_de_15500_m²__	L

#Site sélectionné dans le cadre de la circulaire du 3 avril 1996 suite à une pollution provoquée par la rupture d'une canalisation enterrée reliant  un stockage aérien à l'atelier de fabrication, entraînant la présence de solvants dans le sol.

1l0l0	Site	O
1l0l1	sélectionné	N
1l0l2	dans_le_cadre_de	R
1l0l3	la_circulaire	O
1l0l4	3_avril_1996	T
1l0l5	suite_à	R
1l0l6	une_pollution	N
1l0l7	provoquée_par	R
1l0l8	la_rupture	N
1l0l9	d__une_canalisation_enterrée	O

#Diagnostic initial réalisé par l'exploitant.

2l0l0	Diagnostic_initial_réalisé	N
2l0l1	l__exploitant	O

#Les analyses des prélèvements de sols montrent la présence d'hydrocarbures en très faible quantité.

3l1l0	hydrocarbures	S

#Site traité sans travaux. compte tenu des conclusions de l'étude simplifiée des risques, notamment le rapport du 12 février 2001, le site est classée en catégorie 3 comme ne nécessitant pas d'investigation complémentaire ni de suivi particulier.

4l0l0	Site	O
4l0l1	traité_sans_travaux	N
4l0l2	12_février_2001__	T
4l0l3	classée_en_catégorie_3	O
