
#59.0052
#- Superficie du site :3,68 ha.


#- Placé entre la rivière Sambre et la voie ferrée Creil-Jeumont

1l0l0	Placé_entre_la_rivière_Sambre_et_la_voie_ferrée_Creil___Jeumont	L
1l1l0	Sambre	I
1l1l1	Creil___Jeumont	I

#- Remblais constitués de sables de fonderie.


#- Résidus de fonderie (lingots, moules...), sables abrasifs, fûts présents sur le site (activité de CFF: décharge).

3l0l0	fonderie	A
3l0l1	CFF	O
3l1l0	CFF	I

#- Projet de requalification à l'étude par l’Établissement Public Foncier.

4l0l0	__Projet_de_requalification	O
4l0l1	par_l__Établissement_Public_Foncier	O

#- Arrêté préfectoral du 25/10/1994 imposant la réalisation d'une étude de l'incidence des activités passées du site sur le milieu naturel et l’enlèvement des déchets présents sur le site.

5l0l0	Arrêté_préfectoral	O
5l0l1	25_10_1994	T
5l0l2	imposant_la_réalisation_d__une_étude	N
5l0l3	l__incidence	O
5l0l4	activités_passées	N
5l0l5	site	O
5l0l6	le_milieu_naturel	N
5l0l7	l__enlèvement	N
5l0l8	déchets	O

#- Étude des sols phase A réalisée en septembre 1995 ; accord de l'Inspecteur des Installations classées sur le programme de la phase B.

6l0l0	des_sols_phase	O
6l0l1	A_réalisée	N
6l0l2	en_septembre_1995	T
6l0l3	__accord_de_l__Inspecteur_des_Installations_classées	O
6l0l4	de_la_phase	O

#- L'étude phase A propose un suivi des eaux souterraines par 3 piézomètres.

7l0l0	un_suivi_des_eaux_souterraines	A

#- Les eaux souterraines sont utilisées à des fins d'eau potable et industrielle dans le secteur.

8l0l0	Les_eaux_souterraines	O
8l0l1	sont_utilisées_à_des_fins	N

#- Action de l'administration toujours en cours.

9l0l0	l__administration	O
