
#59.0174
#les friches d'une superficie cumulée de 53 hectares se localisent à Maubeuge, Louvroil et Hautmont en rive gauche et rive droite de la Sambre.

0l0l0	localisent_à	R
0l0l1	Maubeuge	O
0l0l2	Louvroil_et_Hautmont	L
0l0l3	en_rive_gauche_et_rive_droite_de_la_Sambre	L

#- Diagnostic initial imposé à la société BAIL INDUSTRIE, filiale du groupe USINOR pour les site arrêtés du groupe.

1l0l0	__Diagnostic_initial_imposé	N
1l0l1	la_société_BAIL_INDUSTRIE	O
1l0l2	USINOR	O
1l0l3	les_site_arrêtés	O
1l1l0	société_BAIL_INDUSTRIE	I
1l1l1	groupe_USINOR	I

#- Site en classe 2 (à surveiller) après l'Evaluation Simplifiée des Risques.


#La surveillance des eaux souterraines est en place .

3l0l0	La_surveillance_des_eaux_souterraines	A

#Action de l'administration toujours en cours.

4l0l0	Action	O
4l0l1	l__administration	O
