
#59.0563
#- Activité sur le site (Intexal): tricotage, confection et stockage de vêtements.

0l0l0	tricotage___confection_et_stockage_de_vêtements	A
0l1l0	Intexal	I

#- Intexal devient HDR, laquelle est mise en liquidation judiciaire en mars 2004.

1l0l0	Intexal	O
1l0l1	est_mise_en_liquidation_judiciaire	N
1l0l2	en_mars_2004__	T
1l1l0	Intexal_devient_HDR	I

#- Le site est constitué de trois bâtiments situé entre l'avenue de Dunkerque et la rue Leveque.

2l0l0	Le_site	O
2l0l1	trois_bâtiments	O
2l0l2	situé_entre	R
2l0l3	l__avenue_de_Dunkerque	L
2l0l4	la_rue_Leveque	L

#- Activité dans les bâtiments: JDC1: production, JDC2: aucune information, JDC3: stockage (120 000 m3).


#- Arrêté préfectoral du 15/06/2004 imposant des mesures d'urgence pour la mise en sécurité du site.

4l0l0	Arrêté_préfectoral	O
4l0l1	15_06_2004	T
4l0l2	imposant	N
4l0l3	des_mesures_d__urgence	O
4l0l4	la_mise_en_sécurité	N

#- Arrêté préfectoral du 15/06/2004 de mise en demeure pour la remise d'un dossier de cessation d'activité.

5l0l0	Arrêté_préfectoral	O
5l0l1	du_15_06_2004	T
5l0l2	la_remise	N
5l0l3	d__un_dossier	O
5l0l4	cessation_d__activité	N

#- Reprise d'exploitation à compter du 07/01/2005 d'une partie des activités de la société Intexal par la société Tibbett & Britten France (DHL depuis 2006).

6l0l0	Reprise_d__exploitation	O
6l0l1	à_compter_du_07_01_2005	T
6l0l2	d__une_partie_des_activités	O
6l0l3	la_société_Intexal	O
6l0l4	la_société_Tibbett	O
6l0l5	Britten_France	O
6l0l6	depuis_2006	T
6l1l0	la_société_Intexal	I
6l1l1	la_société_Tibbett___Britten_France	I
6l1l2	DHL	I

#- En décembre 2006: projet de centre logistique DHL/Morgan Cls dans le bâtiment JDC3.

7l0l0	En_décembre_2006	T
7l0l1	__projet_de_centre_logistique_DHL	O
7l0l2	Cls	O
7l1l0	DHL___Morgan_Cls	I

#- Aucune étude n'a permis de caractériser l'état des sols et des eaux souterraines.


#- Aucun usage des nappes d'eau souterraines n'est recensé dans les alentours.


#- Action de l'administration toujours en cours.

10l0l0	l__administration	O
