
#59.0570
#- Activité: fabrication de chrome métal.

0l0l0	fabrication_de_chrome_métal	A

#- Site en activité.


#- Superficie: 46 000 m3.


#- Ancien site appartenant à Alsthom (précédemment CIMT).

3l0l0	Ancien_site	O
3l0l1	appartenant_à	R
3l0l2	Alsthom	O
3l1l0	Alsthom	I

#- Site pollué précédemment par les PCB (au cours de l'été 95, un acte de vandalisme a causé l'épandage de PCB à partir de 3 transformateurs dans l'usine CIMT), rapport de dépollution du site reçu le 29/11/1996, réalisé par la société Geostock travaillant pour le compte de GEC Alsthom.

4l0l0	Site_pollué	O
4l0l1	au_cours_de_l__été_95	T
4l0l2	un_acte_de_vandalisme	N
4l0l3	l__épandage_de	N
4l0l4	PCB	O
4l0l5	3_transformateurs	O
4l0l6	CIMT	O
4l0l7	rapport_de_dépollution	N
4l0l8	site	O
4l0l9	reçu	N
4l0l10	le_29_11_1996	T
4l0l11	la_société_Geostock	O
4l0l12	GEC_Alsthom	O
4l1l0	les_PCB	S
4l1l1	PCB	S
4l1l2	CIMT	I
4l1l3	la_société_Geostock	I
4l1l4	GEC_Alsthom	I

#- Arrêté préfectoral du 16/10/2002 imposant des prescriptions complémentaires pour la poursuite d'exploitation du site (notamment la mise en place de piézomètres).

5l0l0	Arrêté_préfectoral	O
5l0l1	16_10_2002	T
5l0l2	imposant	N
5l0l3	des_prescriptions_complémentaires	O
5l0l4	la_poursuite_d__exploitation	N
5l0l5	la_mise_en_place_de_piézomètres	N

#- Réseau piézométrique mis en place début 2004, le site ne semble pas impacter la qualité des eaux souterraines (une valeur anormale en HAP a été observée ponctuellement sur un piézomètre).

6l0l0	mis_en_place	N
6l0l1	début_2004__	T
6l0l2	le_site	O
6l1l0	HAP	S

#- Aucune utilisation des eaux souterraines connue dans le secteur.


#- Site en sécurité vis à vis des tiers.


#- Action de l'administration toujours en cours.

9l0l0	l__administration	O
