
#61.0037
#Filature construite par Jacques Madeline vers 1827 et dont la cessation d'activité est intervenue vers 1905.

0l0l0	Filature	A
0l0l1	construite	N
0l0l2	par_Jacques_Madeline	O
0l0l3	vers_1827	T
0l0l4	dont_la_cessation_d__activité	N
0l0l5	est_intervenue	N
0l0l6	vers_1905__	T
0l1l0	Jacques_Madeline	I

#Ce site a été la propriété de la société Ferodo, mais aucun élément attestant de la manipulation d'amiante sur ce site n'a été retrouvé.

1l0l0	Ce_site	O
1l0l1	a_été_la_propriété_de	R
1l0l2	la_société_Ferodo	O
1l0l3	la_manipulation_d__amiante	O
1l1l0	la_société_Ferodo	I

#Le site est actuellement occupé par des particuliers qui ont rénové le bâtiment industriel à des fins d'habitation.

2l0l0	Le_site	O
2l0l1	est_actuellement_occupé_par	R
2l0l2	des_particuliers	O
2l0l3	ont_rénové	N
2l0l4	le_bâtiment_industriel	O
2l0l5	à	R
2l0l6	des_fins_d__habitation	N

#Présence de déchets : le site est habité et très bien entretenu.

3l0l0	le_site	O

#La présence de déchets d'amiante est peu probable.


#Cibles : absence d'établissement sensible à proximité.


#En raison de l'absence apparente de déchets d'amiante constatée depuis la limite de propriété et de l'état d'entretien des bâtiments, aucune action ne s'avère nécessaire, au titre de la législation sur les installations classées, afin de prévenir le risque d’exposition à l’amiante.

6l0l0	depuis_la_limite_de_propriété	L
6l0l1	entretien	R
6l0l2	des_bâtiments	O
