
#61.0048
#Remarque: les site est déjà intégré à BASIAS sous la référence n° BNO6101644 avec une activité de Démantèlement d'épaves, récupération de matières métalliques recyclables (ferrailleur, casse auto... ) de 25/07/1980 à 23/03/1995

0l0l0	Remarque___les_site_est_déjà_intégré_à	A
0l0l1	BASIAS_sous_la	N
0l0l2	référence_n__BNO6101644	O
0l0l3	avec_une_activité	O
0l0l4	de_Démantèlement	T

#Le site a été exploité pour les usages suivants:

1l0l0	été_exploité	O
1l0l1	pour	N
1l0l2	les_usages	R
1l0l3	suivants	O

#-du 23/03/1995 au 31/03/2014 dépollution et le démontage des véhicules hors d’usage.

2l0l0	_du_23_03_1995	O
2l0l1	au_31_03_2014	N

#Pas de récupération récupère pas de métaux autres que ceux provenant des VHU

3l0l0	Pas_de_récupération_récupère	T
3l0l1	pas_de_métaux	N
3l0l2	autres_que_ceux_provenant_des_VHU	N

#3 sondages ont été effectués sur le site :

4l0l0	site____	O

#un premier sondage S1 se trouvant à l’aplomb de la zone de travail et présentant des teneurs marquées dans différents paramètres, compte tenu de l’historique du site et des modalités de fonctionnement cette zone était la plus à risque de contamination.


#Un deuxième S2 restant proche de la zone de dépollution et est intermédiaire entre le sondage S1 et S3.

6l0l0	Un_deuxième_S2_restant	O
6l0l1	proche_de_la_zone_de_dépollution_et_est_intermédiaire	N

#Un sondage S3 se trouvant sur une zone de stockage de véhicules « dépollués » et présentant des pollutions marquées.

7l0l0	Un_sondage_S3_se	O
7l0l1	trouvant_sur_une_zone_de_stockage_de_véhicules	N
