
#62.0094
#- Site de l'industrie de la construction mécanique

0l0l0	industrie_de_la_construction_mécanique	A

#- site en activité visé par la circulaire du 3 avril 1996 qui impose une étude des sols sur les sites en activité

1l0l0	site_en_activité	O
1l0l1	visé_par	R
1l0l2	la_circulaire	O
1l0l3	3_avril_1996	T
1l0l4	impose_une_étude_des_sols	N
1l0l5	les_sites_en_activité	O

#Cette dernière terminée le 15/06/2000, a conclu à l'absence de pollution du site.

2l0l0	terminée	N
2l0l1	le_15_06_2000	T
2l0l2	absence_de_pollution_du_site	O
