
#62.0158
#-Ancienne  unité de production de fibres textiles.

0l0l0	_Ancienne___unité_de_production_de_fibres_textiles	A

#-Cessation de production en juillet 1990.

1l0l0	_Cessation_de_production	N
1l0l1	en_juillet_1990__	T

#-Démolition des batiments en 1993-1994.

2l0l0	_Démolition_des_batiments	N
2l0l1	en_1993___1994__	T

#-Il a été observé que la nappe superficielle des sables était polluée par des sulfates,thiocyanates et hydrocarbures (Valeurs inférieures aux VCI).

3l1l0	sulfates	S
3l1l1	thiocyanates	S
3l1l2	hydrocarbures	S

#La nappe profonde est quant à elle protégée par une épaisse couche d'argile.


#-Avril 1998: travaux d'excavation de terres polluées au HCT.

5l0l0	_Avril_1998	T
5l0l1	__travaux_d__excavation	N
5l0l2	de_terres_polluées	O
5l0l3	au_HCT	O

#-Arrêté préfectoral du 23/03/1998 imposant la remise en état du site.

6l0l0	_Arrêté_préfectoral	O
6l0l1	du_23_03_1998	T
6l0l2	imposant_la_remise_en_état	N
6l0l3	du_site	O

#-Site remis en état pour un usage industriel.

7l0l0	un_usage_industriel	N

#-Aucun captage AEP recensé aux alentours du site.

8l0l0	aux_alentours_du_site	L

#-Site mis en sécurité vis à vis des tiers.


#-Action de l'administration terminée.

10l0l0	l__administration	O
