
#62.0166
#-Activité: distribution et dépôt de produits pétroliers.

0l0l0	_Activité___distribution_et_dépôt_de_produits_pétroliers	A

#-Mai 2000: pollution d'hydrocarbures constatée: fuite sur un distributeur PL.

1l0l0	_Mai_2000	T
1l0l1	__pollution_d__hydrocarbures	O
1l0l2	constatée	N
1l0l3	fuite_sur_un_distributeur_PL	N
1l1l0	hydrocarbures	S

#La pollution est mise en évidence sur une lagune au Sud du site.

2l0l0	une_lagune	O
2l0l1	au_Sud_du_site	L

#-Aout 2000: travaux de dépollution de la lagune.

3l0l0	_Aout_2000	T
3l0l1	__travaux_de_dépollution	N
3l0l2	la_lagune	O
3l1l0	la_lagune	I

#-En 2001: travaux de dépollution de la nappe: pompage et filtration des eaux contaminées (jusqu'à aout 2006).

4l0l0	_En_2001	T
4l0l1	__travaux_de_dépollution	N
4l0l2	la_nappe	O
4l0l3	__pompage	N
4l0l4	filtration_des_eaux_contaminées	N
4l0l5	jusqu__à_aout_2006	T

#-Arrêté préfectoral du 09/08/2001 imposant la réalisation d'une étude de traitement des sols.

5l0l0	_Arrêté_préfectoral	O
5l0l1	09_08_2001	T
5l0l2	imposant_la_réalisation_d__une_étude_de_traitement_des_sols	N

#-Étude de risques: 11/02/2004

6l0l0	_Étude_de_risques	N
6l0l1	11_02_2004	T

#-En 2004: travaux de dépollution des sols au niveau du point de dépotage: excavation et traitement des sols.

7l0l0	_En_2004	T
7l0l1	__travaux_de_dépollution	N
7l0l2	sols	O
7l0l3	au_niveau_du	L
7l0l4	point_de_dépotage	O
7l0l5	excavation	N
7l0l6	traitement_des_sols	N

#-Constatation d'une nouvelle pollution dans le fossé béton se rejetant dans la lagune en 2006.

8l0l0	_Constatation_d_	N
8l0l1	une_nouvelle_pollution	O
8l0l2	le_fossé_béton	O
8l0l3	se_rejetant	R
8l0l4	dans_la_lagune	L
8l0l5	en_2006__	T

#-En 2007: curage et traitement du fossé, vérification du déshuileur du parking.

9l0l0	_En_2007	T
9l0l1	__curage	N
9l0l2	traitement	N
9l0l3	du_fossé	O
9l0l4	vérification	N
9l0l5	déshuileur	N

#-Aucune utilisation des nappes d'eau souterraines connues de l'administration.


#-Action de l'administration toujours en cours.

11l0l0	l__administration	O
