
#62.0172
#-Activité: dépôt et distribution de carburants pour VL et PL.

0l0l0	_Activité___dépôt_et_distribution_de_carburants	A
0l1l0	carburants	U

#-Présence d'une habitation et d'un commerce sur le site.

1l0l0	une_habitation	O
1l0l1	commerce_sur	R
1l0l2	le_site	L

#-Pollution des sols et des eaux souterraines par des hydrocarbures et HAP.

2l1l0	hydrocarbures	S
2l1l1	HAP	S

#-Modification de la station courant 2005.

3l0l0	_Modification	N
3l0l1	la_station	O
3l0l2	courant_2005__	T

#-Traitement des eaux souterraines: 7 décembre 2007 et toujours en cours(par extraction triple phase)

4l0l0	_Traitement	N
4l0l1	des_eaux_souterraines	O
4l0l2	7_décembre_2007	T
4l0l3	toujours_en_cours_par	T

#-Note d'avancement des travaux de dépollution des eaux souterraines envoyées régulièrement.

5l0l0	d__avancement	O
5l0l1	des_travaux_de_dépollution	N
5l0l2	eaux_souterraines	O

#-Réalisation d'un diagnostic sols et eaux: 08/02/07

6l0l0	_Réalisation_d__un_diagnostic_sols	N
6l0l1	eaux__	T
6l0l2	08_02_07	T

#-Du 9 au 11 mai, dans le cadre de travaux de modernisation du site, extraction et élimination en filière agrée de terres polluées (1.2tonnes)

7l0l0	_Du_9_au_11_mai	T
7l0l1	dans_le_cadre_de	R
7l0l2	travaux_de_modernisation_du_site	L
7l0l3	extraction	N
7l0l4	élimination_en_filière	N
7l0l5	agrée_de	R
7l0l6	terres_polluées	O
7l0l7	1_2tonnes	O

#-Les nappes d'eau souterraine sont utilisées à des fins uniquement industrielle au alentour du site.

8l0l0	sont_utilisées_à_des_fins_uniquement_industrielle	N
8l0l1	au_alentour_du_site	L

#-Action de l'administration toujours en cours.

9l0l0	l__administration	O
