
#67.0220
#Forage de l'ancienne concession de Pechelbronn, première mine de pétrole en France.

0l0l0	Forage_de_l__ancienne_concession_de_Pechelbronn	A
0l0l1	__première	N

#Ce forage n'est plus en activité mais le gisement ayant tendance à se remettre en pression depuis l'arrêt de l'exploitation, il devient artésien.

1l0l0	Ce	N
1l0l1	forage	N
1l0l2	n__est_plus_en_activité_mais_le_gisement	O
1l0l3	ayant_tendance_à_se_remettre	O

#Site suivi par l'Etat avec maîtrise d'ouvrage délégué au BRGM.

2l0l0	Site_suivi_par_l__Etat_avec_maîtrise	N
2l0l1	d__ouvrage	O
2l0l2	délégué_au_BRGM__	R

#Les anciens forages de la concession de Pechelbronn sont souvent mal rebouchés et peuvent laisser échapper du pétrole brut, de l'eau, du méthane et parfois certains polluants.

3l0l0	Les_anciens_forages_de	O
3l0l1	de_Pechelbronn_sont_souvent	O
3l1l0	souvent	I

#Dossier de transfert et mise en sécurité du site en cours de réalisation.

4l0l0	Dossier_de_transfert	N
4l0l1	et_mise_en_sécurité_du_site_en_cours	O
