
#68.0124
#Suite à la réactualisation des fiches BRGM sur les sites suspects de la région du Dreieckland, la carrière SASAG aux lieux-dits «Eichlag » et « Kleinfeld » sur les communes d’Hégenheim et de St Louis anciennement exploitée par la société FOLTZER a été répertoriée comme dépôt pour lequel la présence de déchets chimiques est avérée ou suspectée.

0l0l0	Suite_à	R
0l0l1	la_réactualisation	N
0l0l2	fiches_BRGM	O
0l0l3	la	O
0l0l4	région_du	L
0l0l5	Dreieckland	O
0l0l6	la_carrière_SASAG	O
0l0l7	aux_lieux___dits___Eichlag	L
0l0l8	sur_les_communes_d__Hégenheim_et_de_St_Louis	L
0l0l9	anciennement_exploitée	N
0l0l10	la_société_FOLTZER	O
0l0l11	a_été_répertoriée	N
0l0l12	comme_dépôt	N
0l0l13	la_présence_de_déchets_chimiques	O
0l1l0	BRGM	I
0l1l1	Kleinfeld	S
0l1l2	la_société_FOLTZER	I
0l1l3	déchets_chimiques	U

#Le site est classé en prioritaire 1.


#Historique:


#Une exploitation de carrière est déjà en activité en 1940.

3l0l0	Une_exploitation_de_carrière	O
3l0l1	est_déjà_en_activité	N
3l0l2	en_1940	T

#Une reconnaissance historique a été réalisée par le BRGM en 2001:

4l0l0	Une_reconnaissance_historique_a_été_réalisée	N
4l0l1	le_BRGM	O
4l0l2	en_2001	T
4l1l0	le_BRGM	I

#- 1940: une petite exploitation existe déjà,


#- 1951: reprise d'activité d'extraction avec une progression de l'exploitation vers le Nord et le dépôt de remblais au Sud,

6l0l0	1951	T
6l0l1	__reprise	N
6l0l2	activité_d__extraction	A
6l0l3	une_progression	N
6l0l4	l__exploitation	N
6l0l5	vers_le_Nord	L
6l0l6	le_dépôt_de	O
6l0l7	remblais_au_Sud	A

#- 1961: autorisation municipale accordée par la commune à la Sté FOLZER (exploitant du site à ce moment) pour décharger des matériaux de démolition et délais,

7l0l0	autorisation_municipale	O
7l0l1	la_commune	O
7l0l2	la_Sté_FOLZER	O
7l0l3	exploitant_du_site	O
7l0l4	à_ce_moment	T
7l0l5	décharger_des_matériaux_de_démolition	N
7l1l0	la_Sté_FOLZER	I

#- 1964: renouvellement d'une autorisation d'importation depuis Bâle de déblais, gravats et décombres,

8l0l0	__1964	T
8l0l1	__renouvellement_d_	N
8l0l2	une_autorisation	O
8l0l3	d__importation_depuis_Bâle	A
8l0l4	déblais	O

#- 1969: évocation de déversement de fûts ayant contenu des produits cyanurés,

9l0l0	déversement_de_fûts_ayant_contenu	N
9l0l1	des_produits_cyanurés	O
9l1l0	produits_cyanurés	S

#- 1971-1972: poursuite de l'activité de carrière dans le cadre des droits acquis au titre du Code Minier,

10l0l0	1971___1972	T
10l0l1	__poursuite	N
10l0l2	l__activité_de_carrière	A

#- Juillet 1979: 1ère autorisation préfectorale d'étendre la carrière et de remblayer le site (exploitant du moment: Sté FOLTZER).

11l0l0	__Juillet_1979	T
11l0l1	__1ère_autorisation_préfectorale	N
11l0l2	d__étendre_la_carrière	N
11l0l3	de_remblayer	N
11l0l4	le_site___exploitant_du_moment	T
11l0l5	Sté_FOLTZER	O
11l1l0	Sté_FOLTZER	I

#Par arrêté préfectoral 28/06/2004, il a été imposé à la société SASAG la réalisation d'un diagnostic initial du site et des analyses complémentaires des eaux souterraines au droit du site de Hegenheim.

12l0l0	Par_arrêté_préfectoral	O
12l0l1	28_06_2004	T
12l0l2	il	O
12l0l3	a_été_imposé	N
12l0l4	la_société_SASAG	O
12l0l5	la_réalisation	N
12l0l6	d__un_diagnostic_initial_du_site	N
12l0l7	des_analyses_complémentaires_des_eaux_souterraines	O
12l0l8	au_droit_du_site_de_Hegenheim	L
12l1l0	la_société_SASAG	I

#Des analyses sur les 132 substances ont été réalisées sur un piézomètre amont et un piézomètre aval, aucun impact notable n'a été détecté.

13l0l0	Des_analyses	N
13l0l1	132_substances	O
13l0l2	ont_été_réalisées	N

#Le toit de la nappe se situe à environ 13/15 m par rapport au terrain naturel.

14l0l0	la_nappe	O
14l0l1	se_situe_à_environ_13_15	L

#La vitesse d'écoulement de la nappe est d'environ 10-15 m/j.


