
#68.0139
#La société GESAL Industrie exercait au 15 rue Joseph Vogt à Wittenheim les activités suivantes :

0l1l0	Industrie_exercait_au_15_rue_Joseph_Vogt_à_Wittenheim	S

#- sablage – grenaillage,


#- revêtements industriels,

2l0l0	__revêtements_industriels	O
2l0l1	_	N
2l1l0	revêtements_industriels	I

#- peinture poudre et liquide,

3l0l0	peinture_poudre_et_liquide	N

#- thermolaquage sur bois et dérivés,


#- recherche et développement de traitements spéciaux.


#En date du 2 août 2006, un incendie s’est déclaré vers 16H20 dans les locaux des sociétés COLOR EST et GESAL situées 15 rue Joseph Vogt à WITTENHEIM.

6l0l0	En_date_du_2_août_2006	N

#La société GESAL a été mis en liquidation judiciaire suite à cette incendie.

7l0l0	liquidation_judiciaire_suite	O

#L'administration est en contact avec le mandataire judiciare chargé du dossier.

8l0l0	L__administration_est	T
8l0l1	en_contact_avec_le_mandataire_judiciare	N
8l0l2	chargé_du_dossier__	O
8l1l0	dossier__	I

#Depuis l'incendie du 2 aout 2006, les batiments de la société GESAL ont été abandonnés ainsi que les installations, les matières premières ainsi que les déchets notamment les déchets liés à l'incendie.

9l0l0	Depuis_l__incendie	O
9l0l1	du_2_aout_2006___les_batiments_de_la	N
9l0l2	société	R
9l0l3	GESAL_ont_été_abandonnés	N
9l1l0	Depuis_l__incendie	I

#Les déchets présents sur le site présentent un risque pour l'environnement.(stockage à l’extérieur des bâtiments de déchets divers : pots de peinture, fûts de peinture et de solvant, big bag de déchets de grenaillage et de boues de peinture liées à l’activité d’application de peinture, des emballages souillés (masques, filtre de peinture), benne de déchets industriels banals en mélange, présence sur le site de plaques en fibrociment, présence de cuves de fuel (à priori vide), déchets liés à l’extinction de l’incendie (on constate sur le site les boues provenant du ruissellement des eaux incendie au moment du sinistre),présence d’un transformateur (à priori sans PCB), présence de citerne de stockage de gaz.)

10l0l0	présentent_un_risque	O

#Les procédures administratives adéquates ont été prises à l'encontre de la société GESAL représentée par son mandataire judiciaire (arrêté de mise en demeure, arrêté de consignation au montant du cout d'élimination des déchets du site).

11l0l0	Les_procédures	N
11l0l1	administratives_adéquates_ont	O
11l0l2	été_prises_à_l__encontre	O
11l0l3	de_la_société	N
11l0l4	GESAL_représentée_par_son_mandataire	N
11l1l0	été_prises_à_l__encontre	I
11l1l1	consignation	U

#Toutefois, la liquidation est impécunieuse.

12l1l0	Toutefois__	U

#Dans le contexte décrit ci dessus où le responsable identifié (Société GESAL Industrie) est reconnu comme non solvable alors qu’une intervention apparaît effectivement nécessaire compte tenu des impératifs de mise en sécurité (stockage non confiné de déchets), l'administration a sollicité l’accord du Ministère afin de conduire le projet de mise en sécurité du site de la société GESAL via une intervention de l’ADEME comme cela est prévu par la circulaire du 8 février 2007 – cessation d’activité d’une installations classées – chaîne de responsabilité – défaillance des responsables.

13l0l0	Dans_le_contexte_décrit_ci_dessus	O
13l0l1	responsable_identifié___Société	N
13l0l2	GESAL_Industrie___est	O
13l1l0	GESAL_Industrie___est	I

#Après présentation du dossier de saisine à la commission nationale des aides « sites et sols pollués » du 18 décembre 2008, le ministère a informé par courrier du 5 février 2009 le préfet du Haut Rhin de son accord pour charger l'ADEME de réaliser l'ensemble des mesures de mise en sécurité.


#Un arrêté de travaux d'office prévu à l'article L 514-2 du code de l'environnement ainsi qu'un arrêté préfectoral d'occupation temporaire pris pour les besoins des travaux d'office de l'ADEME sont en cours de signature.

15l0l0	à_l__article_L_514___2_du_code	O
15l0l1	environnement_ainsi	O
15l1l0	de_l__environnement_ainsi	I
