
#74.0081
#A partir de 1975, la commune de Bellevaux a débuté l'exploitation d'une décharge d'ordures ménagères située en contre-bas de la RD 32, au lieu-dit "Les Souffles".

0l0l0	A_partir	R
0l0l1	de_1975___la_commune_de_Bellevaux	O
0l0l2	a_débuté_l__exploitation_d__une	N
0l0l3	décharge_d__ordures	T
0l0l4	ménagères_située_en	O
0l0l5	contre_bas_de_la_RD_32	T
0l1l0	ménagères_située_en_contre_bas	I

#Cette décharge municipale, d'une superficie d'environ 0,5 ha environ, n'a par la suite jamais fait l'objet d'une régularisation administrative au titre de la législation sur les installations classées.

1l0l0	Cette_décharge	T
1l0l1	municipale___d__une_superficie	O
1l0l2	d_	N
1l0l3	environ_0_5_ha	N
1l0l4	environ___n__a_par_la	O
1l0l5	objet_d__une_régularisation_administrative_au_titre_de_la	L

#La fermeture de la décharge a été prescrite par Arrêté préfectoral du 8 juillet 1999.

2l0l0	juillet_1999__	N

#Elle a été réhabilitée en 2004.

3l0l0	Elle_a_été	N
3l0l1	réhabilitée_en_2004	O
3l0l2	_	N

#De 1975 à 1987, les déchets étaient des ordures ménagères, gravats et encombrants qui provenaient principalement de la commune.

4l0l0	De_1975	O
4l0l1	à_1987___les_déchets	N
4l0l2	étaient_des_ordures_ménagères___gravats_et_encombrants_qui_provenaient_principalement_de_la_commune__	T

#Depuis 1987 et jusqu'à sa fermeture, seuls les déchets verts, encombrants et gravats étaient acceptés sous contrôle d'un employé municipal.

5l0l0	Depuis_1987_et	T
5l0l1	acceptés_sous_contrôle_d__un_employé	L
5l1l0	fermeture___seuls_les_déchets_verts	U

#Le torrent du Risse s'écoule en aval du pied de la décharge, à une quarantaine de mètres en contre-bas de la plate-forme supérieure de la décharge.

6l0l0	Le_torrent_du_Risse_s_	T
6l0l1	écoule_en_aval	N
6l0l2	la_décharge___à_une	N
6l0l3	mètres_en_contre_bas_de_la	O
6l1l0	de_la_décharge___à_une	U

#Sur le site de la décharge avant réhabilitation, de nombreuses résurgences étaient visibles en pied de celle-ci, imbibant les terrains en place, jusqu'à former une zone marécageuse où l'eau affleure en surface (des plantes hydrophiles y étaient visibles).

7l0l0	avant_réhabilitation___de_nombreuses	L
7l0l1	résurgences_étaient_visibles_en_pied_de_celle_ci___imbibant_les_terrains_en_place	L

#Sur le site en contrebas de la décharge, un glissement de terrain est survenu en août 1999, dans les matériaux argileux présents sur les berges du ruisseau.

8l0l0	Sur_le_site_en_contrebas_de	L
8l0l1	la_décharge___un_glissement	N
8l0l2	de_terrain_est_survenu	O
8l0l3	les_matériaux	L
8l0l4	argileux_présents_sur_les_berges_du_ruisseau	N

#Ceux-ci sont imbibés d'eau et de nombreuses résurgences apparaissent dans les matériaux remaniés.

9l0l0	Ceux___ci_sont_imbibés_d__eau_et_de_nombreuses	L
9l0l1	résurgences_apparaissent_dans	N
9l0l2	les_matériaux	T
9l0l3	remaniés__	O

#D'après les documents fournis par la DDASS de Haute-Savoie, les captages AEP de la commune de Megevette ne sont pas situés sur le même bassin versant que la décharge.

10l0l0	fournis_par_la_DDASS_de_Haute_Savoie	O
10l0l1	__les_captages	N

#Il n'y a donc pas d'impacts direct de la décharge sur les eaux de captage AEP.

11l0l0	de_la_décharge	O
11l0l1	de_captage_AEP__	O
11l1l0	de_la_décharge_sur	I

#Le Plan d'Occupation des Sols de la commune de Bellevaux (1987) inscrit le secteur de la décharge en zone NC (zone agricole).

12l0l0	Bellevaux___1987___inscrit_le	A

#La commune est également dotée d'un Plan de Prévention des Risques (PPR) sur lequel la zone de la décharge est référencée en zone n°34 "clos d'en bas" : zone humide, risque modéré.

13l0l0	La_commune	O
13l0l1	d__un_Plan_de_Prévention	L
13l0l2	des	T
13l0l3	Risques___PPR	N
13l0l4	__sur_lequel_la_zone_de_la	O
13l0l5	décharge_est_référencée_en	O

#Les mesures compensatoires mentionnées dans le PPR sont la réalisation et l'entretien de tranchées drainantes.

14l0l0	Les_mesures	O
14l0l1	mentionnées_dans_le_PPR_sont_la_réalisation	O
14l0l2	entretien_de	O

#Un merlon en terre a été mis en place pour interdire l'accès à la décharge en décembre 1999.

15l0l0	accès_à_la_décharge_en_décembre_1999__	N

#L'Arrêté préfectoral du 8 juillet 1999 a prescrit à la commune de Bellevaux la remise d'une étude "diagnostic environnemental" destinée à analyser l'impact des déchets sur l'environnement et à proposer les travaux et les aménagements nécessaires à la réhabilitation du site.

16l0l0	L__Arrêté	O
16l0l1	préfectoral	O
16l0l2	du_8_juillet	N
16l0l3	a_prescrit_à_la_commune	N
16l0l4	de_Bellevaux	O
16l0l5	la_remise_d__une_étude___diagnostic_environnemental___destinée_à_analyser_l__impact_des_déchets_sur_l__environnement_et_à_proposer_les_travaux_et_les_aménagements_nécessaires_à_la_réhabilitation_du_site__	T

#lle a été remise à l'inspection des installations classées le 17 mars 2000 et a nécessité des compléments d'informations qui sont datés du 22 juillet 2003.

17l0l0	lle_a_été_remise_à_l_	O
17l0l1	inspection_des_installations	N
17l0l2	classées_le_17_mars_2000_et	O
17l0l3	a_nécessité	N
17l0l4	des_compléments	N
17l0l5	d__informations_qui_sont	N

#Cette étude a mis en évidence un impact modéré du massif de déchets sur l'environnement local.

18l0l0	Cette_étude_a_mis	N
18l0l1	en_évidence_un_impact_modéré_du_massif_de	O
18l0l2	déchets_sur_l_	T
18l0l3	environnement_local__	N

#Celui-ci était dû aux niches d'arrachement observées dans les fronts de la décharge, à la production de lixiviats et aux matériaux argileux situés au pied de la décharge où des glissements de terrains ont été observés.


#Dans ces conditions, l'étude "diagnostic environnemental" a préconisé des travaux de réhabilitation afin d'isoler le massif de déchets pour éviter l'éventuel transfert de substances polluantes contenues dans les déchets par le vecteur eau, de stabiliser le front de la décharge, de limiter les venues d'eau sous le massif de déchets et de réinsérer le site dans son environnement naturel local.

20l0l0	environnemental___a_préconisé_des_travaux	L
20l0l1	de_réhabilitation_afin	A
20l0l2	d__isoler	N
20l0l3	le_massif_de_déchets	O
20l0l4	pour_éviter_l__éventuel_transfert	L
20l0l5	de_substances_polluantes_contenues_dans_les	N

#Ces mesures ont été prescrites par Arrêté préfectoral du 31 août 2004.

21l0l0	Arrêté_préfectoral_du_31_août	N

#Les travaux de réhabilitation ont débuté en juillet 2004 pour se terminer en octobre 2004.

22l0l0	Les_travaux	O
22l0l1	de_réhabilitation	N
22l0l2	ont_débuté_en_juillet_2004	O
22l0l3	pour_se_terminer_en_octobre_2004__	T

#Ceux-ci ont consisté en :

23l0l0	Ceux___ci_ont_consisté_en__	N

#- l'évacuation des déchets apparents qui se trouvaient sur la décharge et aux abords de celle-ci ;


#- le profilage du massif de déchets ;

25l0l0	le_profilage_du	N

#- la mise en place d'un regard de collecte et de drains de récupérations des lixiviats ;

26l0l0	mise_en_place	N
26l0l1	d__un_regard_de_collecte	O

#- la mise en œuvre d'une couverture argileuse imperméable d'une épaisseur de 0,40 m sur les fronts et de 0,60 m sur les parties horizontales ;

27l0l0	la_mise_en_œuvre_d__une_couverture_argileuse	N
27l0l1	imperméable	O
27l0l2	épaisseur_de_0_40_m_sur	O

#- la mise en œuvre d'une épaisseur de 20 cm de terre végétale sur les matériaux argileux ;

28l0l0	la_mise_en_œuvre	N

#- l'engazonnement sur toute la surface de la décharge.

29l0l0	l__engazonnement	N

#Une visite de récolement du 26 novembre 2004 par l'inspection des installations classées a permis de constater l'achèvement des travaux et leur bonne exécution.

30l0l0	Une_visite_de_récolement	N

#Les lixiviats collectés dans le massif de déchets sont rejetés dans les eaux du Risse.

31l0l0	Les_lixiviats_collectés	N
31l0l1	dans_le_massif_de_déchets	T
31l0l2	sont_rejetés_dans_les_eaux_du_Risse__	O

#Ces lixiviats ont été caractérisés à deux reprises par analyse.

32l0l0	Ces_lixiviats	O

#Les résultats montrent un impact faible à très faible sur le milieu récepteur.

33l0l0	Les_résultats	O
33l0l1	montrent_un_impact_faible	N

#Par lettre en date du 1er février 2005, le CABINET UGUET a transmis à l'inspection des installations classées le dossier des ouvrages exécutés.


#Dans un courrier du 9 mai 2005, le Préfet a rappelé à la commune de Bellevaux le suivi post-réhabilitation de l'ancienne décharge.

35l0l0	courrier_du_9_mai_2005___le_Préfet	T
35l0l1	a_rappelé_à_la	O
35l0l2	commune_de	N
35l0l3	Bellevaux_le_suivi_post_réhabilitation_de_l_	O
35l0l4	ancienne_décharge__	O
35l1l0	Préfet_a_rappelé_à_la_commune	I
