
#76.0023
#Cette ancienne carrière exploité par les carrières Baron a été remblayée en 1970 par des déchets provenant de la société S.

0l0l0	remblayée_en	N
0l0l1	la_société_S_	O

#.P.

1l0l0	_P_	O

#. et par des déchets ménagers.


#Les D.


#.S. identifiés sont des benzols, bitumes et carbures.


#Des hangars commerciaux (notamment le garage Blet)se trouvent aujourd'hui sur ce site.

5l1l0	commerciaux___notamment	S
5l1l1	le	U
5l1l2	garage_Blet_se	S

#Le site est imperméabilisé.

6l0l0	Le_site_est_imperméabilisé	O

#Le traitement effectué à l'occasion de la construction des hangars apparaît comme suffisant.

7l0l0	Le_traitement	O

#Le site n'appelle pas de nouvelles actions notamment en matière de surveillance des eaux souterraines.

8l0l0	nouvelles	R
8l0l1	actions_notamment_en_matière_de_surveillance	O
