
#76.0237
#Dépôt cuves de gasoil et fuel domestique (récépissé de déclaration du 27 juin 2002).

0l0l0	Dépôt_cuves_de_gasoil	A
0l0l1	récépissé	O
0l0l2	de_déclaration	N
0l0l3	27_juin_2002	T
0l1l0	gasoil	S
0l1l1	fuel_domestique	U

#Volume total de 210 m3 de FOD et de GO répartis sur trois cuves aériennes.

1l1l0	FOD	S
1l1l1	GO	S

#Présence de bâtiments (hangar, local administratif).

2l0l0	Présence_de_bâtiments	O
2l0l1	hangar	O

#Superficie du site : 1510 m²


#Parcelle n°411, section B.


#- Diagnostic environnemental de décembre 2008,

5l0l0	Diagnostic_environnemental	N
5l0l1	décembre_2008__	T

#- Investigations complémentaires des sols, évaluation quantitative des risques sanitaires, plan de gestion d'avril 2009,

6l0l0	Investigations_complémentaires_des_sols	N
6l0l1	évaluation_quantitative_des_risques_sanitaires	N
6l0l2	__plan_de_gestion	O
6l0l3	d__avril_2009__	T

#- Rapport d'intervention pour la réhabilitation du site de février 2010 décrivant les actions suivantes :

7l0l0	d__intervention	N
7l0l1	la_réhabilitation_du_site	N
7l0l2	de_février_2010	T
7l0l3	les_actions	N

#- Nettoyage, dégazage, extraction et démolition du séparateur et des 3 cuves (2 tonnes d'eau polluées filière agréée,bordereaux suivi déchets....),

8l0l0	__Nettoyage	N
8l0l1	dégazage	N
8l0l2	extraction	N
8l0l3	démolition_du_séparateur	N
8l0l4	filière_agréée	O
8l1l0	3_cuves	D

#- Démolition, évacuation de la rétention béton et des dalles de béton (filière de recyclage, 136,40 tonnes),

9l0l0	Démolition	N
9l0l1	évacuation	N
9l0l2	la_rétention_béton	O

#- excavation, évacuation et élimination des terres polluées (soit 991,96 tonnes sur une profondeur de 1 à 3 m dans une filière agréée),

10l0l0	excavation	N
10l0l1	évacuation	N
10l0l2	élimination_des_terres_polluées	N

#- Vérification des parois / fonds de fouilles suite à l'excavation,

11l0l0	fonds_de_fouilles	O
11l0l1	suite_à	R
11l0l2	l__excavation	N

#- Remblaiement à l'aide de matériaux d'apports propres (903,56 tonnes).

12l0l0	Remblaiement	N
