
#78.0117
#Une activité d’essais et mises au point de moteurs sur des bancs d’essais moteurs est exploitée sur ce site depuis 1968.

0l0l0	Une_activité_d__essais_et_mises_au_point_de_moteurs	A
0l0l1	des_bancs_d__essais_moteurs	O
0l0l2	est_exploitée	N
0l0l3	sur_ce_site	L
0l0l4	depuis_1968	T

#Cette activité est classée à autorisation sous la rubrique 2931 de la nomenclature des installations classées.

1l0l0	Cette_activité	O
1l0l1	est_classée_à_autorisation	N

#Le site, d’une superficie de 12 ha, est implanté sur la rive droite de la Seine.

2l0l0	Le_site	O
2l0l1	est_implanté	R
2l0l2	sur_la_rive_droite_de_la_Seine	L

#Il est situé face à l’usine PSA POISSY, usine terminale automobile située sur la rive gauche de la Seine.

3l0l0	situé_face_à_l_	L
3l0l1	usine_PSA_POISSY	O
3l0l2	située_sur_la_rive_gauche_de_la_Seine	L
3l1l0	PSA_POISSY	I

#Il est entouré par une zone mixte à usage industriel et résidentiel.

4l0l0	entouré_par_une_zone_mixte_à_usage_industriel_et_résidentiel	L

#Les établissements sensibles recensés à proximité du site sont situés en amont et en latéral.

5l0l0	Les_établissements_sensibles	O
5l0l1	à_proximité_du_site	L
5l0l2	situés_en_amont	L

#La première nappe est située à une profondeur de 5 m au droit du site.

6l0l0	La_première_nappe	O
6l0l1	est_située_à_une_profondeur_de_5_m_au_droit_du_site	L

#Elle est drainée par la Seine qui se situe en bordure sud-est du site.

7l0l0	la_Seine	L
7l0l1	se_situe_en_bordure_sud_est_du_site	L

#La nappe de la Craie est située à 30 mètres.

8l0l0	située_à_30_mètres	L

#Le sens d’écoulement est Sud / Sud-est.

9l0l0	Sud_est	L

#Il n’y a pas de captage vulnérable autour du site.


#La zone de dépôt et de distribution de carburant localisée à l'ouest du site a fait l'objet de plusieurs études et travaux environnementaux entre 2006 et 2010.

11l0l0	La_zone_de_dépôt_et_de_distribution_de_carburant	O
11l0l1	localisée_à_l__ouest_du_site	L
11l0l2	a_fait_l__objet_de	R
11l0l3	plusieurs_études	N
11l0l4	travaux_environnementaux	N
11l0l5	entre_2006_et_2010__	T
11l1l0	carburant	U

#Ces études ont montré la présence d'une pollution résiduelle des sols et des eaux souterraines en hydrocarbures.

12l0l0	Ces_études	N
12l0l1	pollution_résiduelle	O
12l1l0	hydrocarbures	S

#A la demande de l'inspection des installations classées, des investigations complémentaires et une analyse de risques sanitaires au droit de cette zone ont été menées en 2015.

13l0l0	A	R
13l0l1	la_demande	N
13l0l2	l__inspection_des_installations_classées	O
13l0l3	__des_investigations_complémentaires	N
13l0l4	une_analyse_de_risques_sanitaires	N
13l0l5	au_droit_de_cette_zone	L
13l0l6	ont_été_menées	N
13l0l7	en_2015__	T

#Les investigations de terrain menées entre mars et juin 2015 ont confirmées une pollution importante des sols et des eaux souterraines en aval des cuves de l'ancienne station-service.

14l0l0	Les_investigations_de_terrain_menées	N
14l0l1	entre_mars_et_juin_2015	T
14l0l2	ont_confirmées_une_pollution	N
14l0l3	sols_et_des_eaux_souterraines	O
14l0l4	en_aval_des	L
14l0l5	cuves	O

#L'extension de la contamination n'est pas connue avec précision mais serait limitée vers l'aval.

15l0l0	limitée	O
15l0l1	vers_l__aval	L

#L'analyse des risques sanitaires menée sur la base de ces résultats et de l’aménagement actuel de la zone a montré que la qualité du sous-sol est compatible d'un point de vue sanitaire avec son usage actuel et l’environnement.

16l0l0	l__aménagement	N
16l0l1	la_zone	O

#Néanmoins, des investigations complémentaires sont nécessaires pour définir l'extension de la pollution et les mesures de gestion visant à traiter les sources de pollution.

17l0l0	la_pollution	O
17l0l1	traiter	N
17l0l2	les_sources_de_pollution	O

#Ces demandes ont été formules à l'exploitant par courrier du 22/01/2016.

18l0l0	Ces_demandes	O
18l0l1	ont_été_formules	N
18l0l2	l__exploitant	O
18l0l3	22_01_2016__	T
