
#971.0019
#La décharge d'ordures ménagères a été exploitée par la commune de Grand Bourg puis par la communauté de communes de Marie-Galante jusqu'en décembre 2010.

0l1l0	décharge_d__ordures_ménagères_a_été_exploitée_par_la_commune_de_Grand_Bourg_puis_par_la_communauté_de_communes_de_Marie_Galante_jusqu__en_décembre_2010__	I

#La décharge occupe une surface d'environ 4 ha.

1l0l0	La_décharge	O
1l0l1	occupe_une_surface_d_	O
1l0l2	environ_4_ha__	N
1l1l0	occupe_une_surface_d_	D

#Le gisement de déchets est estimé à environ 1965 m3.


#La décharge est située principalement sur des parcelles du Domaine Public Lacustre géré par le Conservatoire du Littoral et sur la Forêt domaniale géré par l'ONF.


#La plupart des déchets ont été brûlés durant la période d'exploitation de la décharge.

4l0l0	La_plupart_des	O
4l0l1	déchets_ont_été_brûlés_durant_la_période_d__exploitation_de_la_décharge	L
4l0l2	_	R

#L'exploitation de la décharge n'a jamais été autorisée au titre de la réglementation sur les installations classées pour la protection de l'environnement.

5l0l0	décharge_n__a	N
5l0l1	jamais_été_autorisée	T
5l0l2	au_titre_de_la	N
5l0l3	réglementation	O

#Sa fermeture et sa réhabilitation ont été imposées par arrêté préfectoral du 03 août 2010.

6l0l0	Sa_fermeture_et_sa	N
6l0l1	réhabilitation	O
6l0l2	ont_été_imposées_par	N
6l0l3	arrêté_préfectoral_du_03_août_2010	O
6l0l4	_	O

#Les travaux de réhabilitation prévus par l'arrêté préfectoral ont débuté mais ne sont pas achevés.

7l0l0	Les_travaux_de_réhabilitation_prévus	N
7l0l1	par_l__arrêté	N
7l0l2	préfectoral_ont_débuté	O
7l0l3	mais_ne_sont_pas_achevés__	T

#Les conditions d'exploitation de la décharge brute d'ordures ménagères de Grand Bourg n'étaient pas conformes avec les dispositions réglementaires applicables à cette activité de traitement des déchets (absence de casier perméable, absence de dispositif de collecte et de traitement des lixiviats et des biogaz, etc.).

8l0l0	Les_conditions_d__exploitation	N
8l0l1	de_la_décharge	R
8l0l2	brute_d__ordures	O
8l0l3	ménagères_de	N

#Les conditions d'exploitation de la décharge ont pu être à l'origine d'une pollution organique, chimique et bactériologique des sols, eaux souterraines et eaux de surface.

9l0l0	Les_conditions	O
9l0l1	la_décharge_ont_pu	O
9l0l2	pollution_organique	L
9l0l3	surface__	O
9l1l0	décharge_ont_pu	D
9l1l1	être_à_l__origine_d__une	U

#Dans le cadre de la cessation d'activité, des travaux de réhabilitation de l'ancienne décharge visant à réduire l'impact de la décharge sur l'environnement et les populations devront être réalisés.

10l0l0	Dans_le_cadre_de_la_cessation_d_	N
10l0l1	activité___des	O
10l0l2	travaux_de	N
10l0l3	réhabilitation	R
10l0l4	de_l__ancienne	N

#Le coût prévisionnel des travaux de réhabilitation s'élève à environ 1 millions d'euros.

11l0l0	Le_coût_prévisionnel	R
11l0l1	des_travaux_de	N
11l0l2	réhabilitation_s__élève_à_environ_1	N
11l0l3	millions_d__euros__	O
