
#971.0026
#Il s'agit d'une station service, relevant du régime de la déclaration au titre de la réglementation ICPE.


#L'ancien exploitant (ESSO Antilles Guyane) a réalisé en 2005 et en 2007 des études de diagnostic de pollution et d'évaluation des risques (Évaluation simplifiée des risques et Étude détaillée des risques) qui ont mis en évidence une pollution aux hydrocarbures et à certains composés aromatiques volatils (CAV) dans les sols et les eaux souterraines au droit de la station-service, mais les risques étaient considérés comme acceptables pour les usagers et les travailleurs sur le site.

1l0l0	Antilles_Guyane	R
1l0l1	__a_réalisé	L
1l0l2	en_2005_et_en_2007	N
1l0l3	de_diagnostic_de_pollution	O

#Toutefois, ESSO a mis en place un dispositif de dépollution par piège hydraulique afin de fixer la pollution et de limiter ainsi le transfert de la pollution hors du site.

2l0l0	Toutefois___ESSO_a_mis	O
2l0l1	en_place_un_dispositif	O
2l0l2	de_dépollution	N
2l0l3	par_piège	T
2l0l4	hydraulique_afin_de_fixer_la_pollution_et	N
2l0l5	limiter_ainsi_le_transfert	N
2l0l6	de_la_pollution_hors_du_site__	N
2l1l0	en_place_un_dispositif	I

#Depuis 2005 jusqu'en 2010, la société ESSO a procédé à une dépollution du site par la récupération des produits hydrocarburés flottants au toit de la nappe à l'aide de dispositifs de puits d'écrémage avec un suivi de la qualité des eaux souterraines, de l'épaisseur d'hydrocarbures flottant et des gaz au sol a été réalisé.

3l0l0	jusqu_	O
3l0l1	en_2010___la	N
3l0l2	société_ESSO_a_procédé_à_une	N
3l0l3	dépollution_du_site_par_la	O
3l0l4	récupération_des_produits	O
3l0l5	hydrocarburés_flottants_au_toit	N
3l0l6	de_la_nappe_à	O
3l0l7	l__aide_de_dispositifs	L
3l1l0	jusqu_	I

#Au cours de ces études, un total de 30 piézomètres (référencé PZ), 2 piéz'air (référencé PZA) et 3 puits de récupération (référencé RW) ont été installés sur le site et sur la partie nord de la route de la Gabarre.

4l0l0	Au_cours_de_ces_études___un_total	T
4l0l1	de_30_piézomètres	O
4l0l2	__référencé_PZ_____2_piéz_	N
4l0l3	air__	O
4l0l4	installés	O
4l0l5	Gabarre__	A
4l1l0	total_de_30_piézomètres	I
4l1l1	puits_de_récupération___référencé	U

#Les actions menées ont permis de récupérer environ 8500 litres de produits hydrocarburés, et de constater une diminution globale de l'épaisseur de matières hydrocarburées sur le toit de la nappe phréatique (environ 60 cm en 2006 à moins de 10 cm en 2010) ainsi qu'une amélioration de la qualité de l'eau souterraine (sur les paramètres hydrocarbures et CAV).

5l0l0	Les_actions_menées_ont	N
5l0l1	de_constater	O
5l0l2	l__épaisseur_de_matières	N
5l0l3	hydrocarburées_sur_le_toit_de_la_nappe_phréatique	L
