
#972.0001
#Terrain de 25 ha limité au nord, au sud, à l'ouest par la mer et à l'est par la rivière "La Jambette".


#Site fermé depuis janvier 2014.

1l0l0	depuis_janvier_2014__	L

#Perspectives :

2l0l0	Perspectives	O
2l0l1	_	T

#instruction du dossier de cessation d'activité qui devra être remis par l'exploitant.


#définition du programme de post-exploitation par arrêté préfectoral complémentaire (dont suivi environnemental)

4l0l0	définition_du	N
4l0l1	post_exploitation_par	N
4l0l2	complémentaire	O

#servitudes dans les 200m et mise en place d'un APC post-exploitation pendant 30 ans.

5l0l0	servitudes	N
5l0l1	dans_les_200_m	O
5l0l2	en_place_d__un_APC	O
