
#972.0030
#Décharge ordures ménagères fermée depuis plusieurs années.


#2004 : étude de réhabilitation

1l0l0	2004___étude	O
1l1l0	2004___étude_de_réhabilitation	U

#2005 : travaux de réhabilitation

2l0l0	2005	T
2l0l1	__travaux_de_réhabilitation	N

#Depuis 2005 suivi post-exploitation

3l0l0	Depuis	T
3l0l1	2005_suivi_post_exploitation	N

#Perspectives envisagées :

4l0l0	Perspectives	T
4l0l1	envisagées__	O

#- récolement des travaux de réhabilitation


#- Études environnementales complémentaires

6l0l0	Études	N
6l0l1	environnementales_complémentaires	N

#- Servitudes d'utilité publique

7l0l0	Servitudes_d__utilité_publique	N
