
#972.0036
#Anciennement exploitée par Shell dans les années soixante, cette station-service TOTAL a fait l'objet en avril 1979 d'un récépissé de déclaration.


#Un premier diagnostic de la qualité des sols et des eaux souterraines a été réalisé en 2005.

1l0l0	Un_premier	R
1l0l1	diagnostic_de	N
1l0l2	la_qualité	O
1l0l3	des_sols_et_des_eaux	T
1l0l4	souterraines_a_été_réalisé_en_2005__	O
1l1l0	qualité	I
1l1l1	réalisé_en_2005__	I

#Ce diagnostic a permis d'identifier un impact en hydrocarbures totaux situé à proximité des cuves enterrées, ainsi que sur les eaux souterraines qui mènent à la rivière située à proximité, ainsi qu'à l'océan.

2l0l0	Ce_diagnostic_a_permis	N
2l0l1	identifier_un_impact	O
2l0l2	totaux_situé_à	N
2l0l3	proximité_des_cuves_enterrées___ainsi_que_sur_les_eaux_souterraines_qui_mènent_à_la_rivière_située_à_proximité___ainsi_qu__à_l__océan__	T

#En effet, la nappe souterraine est très peu profonde (profondeur de l'ordre de 1m sous la surface).

3l0l0	En_effet___la_nappe	N
3l0l1	souterraine_est_très_peu_profonde	N
3l0l2	__profondeur_de_l_	O
3l0l3	ordre_de_1_m_sous_la_surface__	L
3l0l4	_	O
3l1l0	profonde___profondeur_de_l__ordre	S
3l1l1	surface____	D

#La procédure de cessation définitive d'activité du site a démarré lors du second semestre 2013, et se poursuivra en 2014, à la fois d'un point de vue technique d'abord (retrait des équipements, surveillance environnementale, mesures de gestion des impacts identifiés) et d'un point de vue administratif ensuite (récolement et probablement institution de servitudes d'utilité publique).


#En décembre 2013 une nouvelle étude a été lancée, et les résultats des analyses permettront d'affiner l'étendue actuelle de la pollution ainsi que les mesures que l'exploitant devra mettre en place pour gérer les impacts liés à cette activité industrielle.

5l0l0	En_décembre_2013_une_nouvelle_étude_a_été_lancée___et	N
5l0l1	les	O
5l0l2	résultats	N
5l0l3	des_analyses_permettront_d__affiner	T
5l0l4	actuelle	T
5l0l5	exploitant_devra_mettre_en	N
5l0l6	place_pour_gérer_les_impacts_liés	O

#les travaux de démantèlement et de dépollution sont terminés.

6l0l0	les_travaux_de	T
6l0l1	démantèlement_et_de_dépollution	N

#Le dossier de récolement est en attente.

7l0l0	Le_dossier_de_récolement_est_en_attente__	N

#2014: production d'une EQRS et d'un Plan de Gestion.

8l0l0	2014___production_d__une_EQRS	N

#Probablement: institution d'une surveillance régulière des eaux au droit du site.

9l0l0	Probablement__	N
9l0l1	institution	O
9l0l2	une_surveillance_régulière	N
