1l0l1||Non||1l0l0||Non||Non||Non||Non||['ATOFINA']||['sel', 'éthylène', 'solvants chlorés', 'PVC']||* Créée en 1915, et implantée sur la commune de Saint-Auban, l'usine ATOFINA fabrique, en utilisant comme matières premières du sel et de l'éthylène, des solvants chlorés et du PVC.

7l0l3||7l0l0||7l0l1||Non||Non||Non||Non||['* ATOFINA', 'ARKEMA']||[]||* ATOFINA est devenu ARKEMA fin 2004.

8l0l2||Non||8l0l1||Non||Non||Non||Non||[]||[]||et établisssement connaît depuis courrant 2006 d'importantes réorganisations d'activité suite aux décisisons stratégiques prises.

15l0l2||Non||15l0l1||Non||Non||Non||Non||[]||[]||*Suite à une étude réalisée en 1995, en application de l' arrêté préfectoral du 30 juin 1993, l'industriel a effectué d'importants travaux prescrits par deux arrêtés préfectoraux du 19 avril 1996 et destinés à :

15l0l2||15l0l5||15l0l7||Non||Non||15l0l6||Non||[]||[]||*Suite à une étude réalisée en 1995, en application de l' arrêté préfectoral du 30 juin 1993, l'industriel a effectué d'importants travaux prescrits par deux arrêtés préfectoraux du 19 avril 1996 et destinés à :

20l0l2||Non||20l0l1||Non||Non||Non||Non||[]||['solvants chlorés']||*Pour les rejets canalisés le flux journalier de solvants chlorés qui était de 76 kg/j(moyenne 1994) est tombé - selon les moyens d'investigation de cette époque - à une valeur inférieure à 10 kg/j en 2002.

26l0l4||26l0l1||26l0l3||26l0l5||Non||Non||Non||[]||['SOLVANTS']||* ASPECT SOLVANTS: Sans attendre les résultats de l'EDR, l'AP du 06/11/2000 avait fixé à fin 2002, des objectifs de dépollution( réduction du flux de solvant apporté au point de confluence Durance / Bléone appelé "Goulet" à à 20kg/j) .

27l0l2||27l0l0||27l0l1||27l0l3||Non||Non||Non||[]||['effluent']||* Pour satisfaire ces objectifs, ATO a mis en place, depuis décembre 2002, une barrière hydraulique constituée d'une" ligne pilote" de 10 puits espacés d'une 20.aine de metres, interceptant l'écoulement de la nappe avec traitement de l'effluent pompé.

28l0l1||Non||28l0l0||Non||Non||Non||Non||['ATO']||[]||* La campagne de mesure réalisée le 15/01/2003,ayant mis en évidence un large dépassement des valeurs limites prescrites par l'AP du 06/11/2000, ATO a été mis en demeure( AP du 10 mars 2003) de respecter sous 2 mois ces prescriptions .

29l0l0||Non||29l0l1||Non||Non||29l0l3||29l0l2||[]||[]||* Courant 2003, un renfocement de la barrière hydraulique a été réalisé( passage à 23 puits de pompage) afin de mieux intercepter la pollution centrale du site et une réduction du flux polluant a été observée au niveau du Goulet( niveau de 100 kg/j en solvants ramené à une trentaine ,sans pouvoir respecter les 20 kg/j de l'AP précité de nov 2000).

31l0l1||Non||31l0l0||Non||Non||Non||Non||['la préfecture']||[]||. de délit a étédressé le 19 mai 2003 et la préfecture a pris un AP de consignation( 24 nov 2003-1 M€).

31l0l5||Non||31l0l0||Non||Non||Non||Non||['la préfecture']||[]||. de délit a étédressé le 19 mai 2003 et la préfecture a pris un AP de consignation( 24 nov 2003-1 M€).

34l0l1||Non||34l0l0||34l0l2||Non||Non||Non||['le Préfet', 'la DRIRE', 'ARKEMA ( ex Atofina']||[]||* Suite à rencontre,fin 2004, avec le Préfet et la DRIRE, ARKEMA( ex Atofina) a proposé pour le 1° trim 2005, un plan d'actions portant sur l'implantation de 2 nouveaux puits ,d'une part, et d'autre part, la mise en place ,au Sud du terril, source identifiée de solvants présents en sous-sol( 50 à 100ppm),d'un pilote de traitement de ces solvants ,par bio-rémédiation.

38l0l2||38l0l3||38l0l4||Non||Non||Non||Non||[]||['MERCURE', 'mercure']||* ASPECT MERCURE: Conformémént à l'AP spécifique du 10 juin 2003, ATO a remis ,fin d'été 2003, une étude concernant les niveaux de présence de mercure dans les sols et la nappe, en relation avec les principales zones "sources" individualisées.

38l0l5||38l0l3||38l0l4||Non||Non||Non||Non||[]||['MERCURE', 'mercure']||* ASPECT MERCURE: Conformémént à l'AP spécifique du 10 juin 2003, ATO a remis ,fin d'été 2003, une étude concernant les niveaux de présence de mercure dans les sols et la nappe, en relation avec les principales zones "sources" individualisées.

39l0l5||Non||39l0l0||Non||Non||Non||Non||['la DRIRE']||[]||Cette étude a été substantiellement complétée à la demande de la DRIRE, par 2 rapports de juin et septembre 2004.

39l0l5||Non||39l0l4||Non||Non||Non||Non||['la DRIRE']||[]||Cette étude a été substantiellement complétée à la demande de la DRIRE, par 2 rapports de juin et septembre 2004.

47l0l4||Non||47l0l6||Non||Non||47l0l3||Non||[]||[]||La qualité des eaux de la Durance ainsi que celle de la nappe d'accompagnement,en aval de l'usine,après s'être améliorée en 2003 suite au renforcement des pompages, est redevenue stable en 2004 faute de nouveaux travaux.

