6l0l0||Non||6l0l2||6l0l4||Non||6l0l3||Non||[]||[]||* Suite à cette étude huit piézomètres ont été implantés afin de suivre la qualité des eaux souterraines (fréquence : 1 par mois).

9l0l1||Non||9l0l2||Non||Non||Non||Non||[]||[]||*  Les réseaux entérrés (source de pollution de la nappe) doivent  être mis en totalité en aérien conformément à l'AP du 25 mars 2002 ; les travaux se sont achevés à fin 2002.

10l0l4||Non||10l0l2||Non||Non||Non||Non||[]||[]||* Une étude spécifique concernant la situation de la nappe, en particulier au niveau  des piézo N° 4 et 6 du fait d'une poche individualisée en polluant "AOX"  a été réalisée et présentée en juillet 2002.

10l0l6||Non||10l0l5||Non||Non||Non||Non||[]||[]||* Une étude spécifique concernant la situation de la nappe, en particulier au niveau  des piézo N° 4 et 6 du fait d'une poche individualisée en polluant "AOX"  a été réalisée et présentée en juillet 2002.

13l0l1||Non||13l0l2||Non||Non||Non||Non||['bordure " est']||[]||L'extension de la pollution, hors site,a été décrite par report sur carte et ne depasse pas la bordure "est" de la zone commerciale voisine ( Météline).

13l0l1||Non||13l0l3||13l1l0||Non||Non||Non||['bordure " est']||[]||L'extension de la pollution, hors site,a été décrite par report sur carte et ne depasse pas la bordure "est" de la zone commerciale voisine ( Météline).

13l0l1||Non||13l0l3||13l0l4||Non||Non||Non||['bordure " est']||[]||L'extension de la pollution, hors site,a été décrite par report sur carte et ne depasse pas la bordure "est" de la zone commerciale voisine ( Météline).

19l0l3||Non||19l0l2||Non||Non||Non||Non||[]||[]||* les analyses hydrobiologiques faites sur le cours d'eau du Buech au premier semestre 2003 , ne montrent pas d'impact sur le milieu.

20l0l4||Non||20l0l2||Non||Non||Non||Non||[]||[]||* La mise en oeuvre des dispositions de cet AP a mis en évidence la confirmation des 3 principales sources,le fait que le réseau d'eaux pluviales drainait la nappe et des difficultés dans la techniques du strippage des gaz du fait de surconsommation de charbons actifs.

22l0l3||Non||22l0l4||Non||Non||Non||Non||[]||[]||*Les bons résultats obtenus quant à la dépollution de la nappe rendent possible une suspension de 6 mois de ce traitement, afin d'établir une nouvelle carte de l'état de cette nappe et de la comparer à celle de 2003.

22l0l3||Non||22l0l5||Non||Non||Non||Non||[]||[]||*Les bons résultats obtenus quant à la dépollution de la nappe rendent possible une suspension de 6 mois de ce traitement, afin d'établir une nouvelle carte de l'état de cette nappe et de la comparer à celle de 2003.

22l0l3||Non||22l0l8||Non||Non||22l0l6||Non||[]||[]||*Les bons résultats obtenus quant à la dépollution de la nappe rendent possible une suspension de 6 mois de ce traitement, afin d'établir une nouvelle carte de l'état de cette nappe et de la comparer à celle de 2003.

22l0l3||Non||22l0l9||Non||Non||Non||Non||[]||[]||*Les bons résultats obtenus quant à la dépollution de la nappe rendent possible une suspension de 6 mois de ce traitement, afin d'établir une nouvelle carte de l'état de cette nappe et de la comparer à celle de 2003.

