0l0l2||Non||0l0l1||0l0l3||Non||Non||Non||['la société FOSECO']||['des déchets divers']||Il s'agit de l'ancienne décharge de la société FOSECO, dans laquelle ont été entassés pendant 30 ans des résidus de fabrication ainsi que des déchets divers (17000 m3 sur 13000 m2).

1l0l7||1l0l0||1l0l1||Non||Non||Non||Non||[]||[]||La société a cessé toutes ses activités de production de pièces préfabriquées, de poudres, de colles, d'enduits, de résines et de ciments réfractaires à destination de l'industrie de la fonderie et de la sidérurgie, fin 1993.

2l0l3||Non||2l0l1||2l0l0||Non||Non||Non||[]||[]||Un dossier de cessation partielle d'activité a été adressé à l'inspection des installations classées en août 1997.

4l0l4||Non||4l0l0||Non||Non||4l0l2||4l0l1||[]||[]||Les travaux de réhabilitation de la décharge ont été imposés par arrêté préfectoral du 22 octobre 1997.

6l0l3||Non||6l0l0||Non||Non||6l0l2||6l0l1||[]||[]||Les travaux de confinement de la décharge se sont achevés en mai 1999 : modelage, couverture de 20 cm d'argile traitée à la bentonite (perméabilité globale de 10-10 m/s), couche drainante, revégétalisation.

10l0l3||Non||10l0l0||Non||Non||10l0l1||Non||[]||[]||Un procès verbal de récolement a donc été transmis en sous-préfecture le 5/07/2001.

11l0l2||Non||11l0l0||Non||Non||Non||Non||[]||['manganèse', 'hydrocarbures']||Les résultats des analyses d'eaux souterraines concernant l'année 2001, faisant apparaître des teneurs anormales en manganèse et en hydrocarbures, l'inspection des installations classées a demandé à l'entreprise de poursuivre la surveillance des eaux souterraines, par lettre du 12/06/2002.

14l0l3||14l0l0||14l0l1||14l1l0||Non||Non||Non||['la société FOSECO']||[]||En conséquence, l'inspection des installations classées a interrogé la société FOSECO par courrier le 1er juin 2004, en lui demandant de lui fournir un état récapitulatif de l'évolution de la qualité des eaux souterraines ainsi que les éléments justifiant de la mise en place effective de la servitude de droit privé.

14l0l3||14l0l0||14l0l1||14l0l2||Non||Non||Non||['la société FOSECO']||[]||En conséquence, l'inspection des installations classées a interrogé la société FOSECO par courrier le 1er juin 2004, en lui demandant de lui fournir un état récapitulatif de l'évolution de la qualité des eaux souterraines ainsi que les éléments justifiant de la mise en place effective de la servitude de droit privé.

15l0l0||15l0l1||15l0l4||Non||Non||15l0l2||Non||[]||[]||Depuis, l'exploitant a transmis à l’inspection des installations classées les analyses semestrielles 2004, 2005, 2006 et 2007.

15l0l5||15l0l1||15l0l4||Non||Non||15l0l2||Non||[]||[]||Depuis, l'exploitant a transmis à l’inspection des installations classées les analyses semestrielles 2004, 2005, 2006 et 2007.

15l0l5||Non||15l0l4||Non||Non||Non||Non||[]||[]||Depuis, l'exploitant a transmis à l’inspection des installations classées les analyses semestrielles 2004, 2005, 2006 et 2007.

18l0l0||Non||18l0l2||18l0l1||Non||Non||Non||[]||[]||Le 05 novembre 2007 un arrêté préfectoral complémentaire est notifié.

