3l0l2||3l0l0||3l0l1||Non||Non||Non||Non||[]||[]||Le crassier a cessé d'être exploité en 2002.

7l0l5||7l0l0||7l0l3||Non||Non||7l0l1||Non||['La société LA FONTE ARDENNAISE']||[]||La société LA FONTE ARDENNAISE a transmi à l'inspection des installations classées un dossier de cessation d'activité du crassier le 16 novembre 2006 en application des articles R.512-39.1 et suivants le code de l'environnement.

7l0l5||7l1l0||7l0l3||Non||Non||7l0l1||Non||['La société LA FONTE ARDENNAISE']||[]||La société LA FONTE ARDENNAISE a transmi à l'inspection des installations classées un dossier de cessation d'activité du crassier le 16 novembre 2006 en application des articles R.512-39.1 et suivants le code de l'environnement.

8l0l0||8l0l1||8l0l2||Non||Non||Non||Non||['la société LA FONTE ARDENNAISE']||[]||En janvier 2006, la société LA FONTE ARDENNAISE réalisé une caractérisation des déchets du dépôt du site FA4 suite à quoi une réhabilitation de décharge de classe 3 a été envisagée.

8l0l0||8l1l0||8l0l2||Non||Non||Non||Non||['la société LA FONTE ARDENNAISE']||[]||En janvier 2006, la société LA FONTE ARDENNAISE réalisé une caractérisation des déchets du dépôt du site FA4 suite à quoi une réhabilitation de décharge de classe 3 a été envisagée.

9l0l0||Non||9l0l1||Non||Non||Non||Non||[]||[]||Le 16 novembre 2006 une proposition a été faite à l'inspection des installations classées :

18l0l1||Non||18l0l0||Non||Non||Non||Non||[]||[]||Les travaux ont débutés au second semestre 2007.

19l0l3||19l0l0||19l0l2||Non||Non||19l0l1||Non||['La société LA FONTE ARDENNAISE']||[]||La société LA FONTE ARDENNAISE a déposé un dossier de réhabilitation en mai 2008.

19l0l3||19l1l0||19l0l2||Non||Non||19l0l1||Non||['La société LA FONTE ARDENNAISE']||[]||La société LA FONTE ARDENNAISE a déposé un dossier de réhabilitation en mai 2008.

20l0l5||Non||20l0l4||Non||Non||Non||Non||[]||[]||Les résultats d'autosurveillance des eaux souterraines de l'ancien crassier ont bien été transmis à l'inspection des installations classées (semestriellement depuis 1997 à 2008 puis annuellement depuis 2008).

20l0l5||Non||20l0l2||Non||Non||Non||Non||[]||[]||Les résultats d'autosurveillance des eaux souterraines de l'ancien crassier ont bien été transmis à l'inspection des installations classées (semestriellement depuis 1997 à 2008 puis annuellement depuis 2008).

20l0l6||Non||20l0l2||Non||Non||Non||Non||[]||[]||Les résultats d'autosurveillance des eaux souterraines de l'ancien crassier ont bien été transmis à l'inspection des installations classées (semestriellement depuis 1997 à 2008 puis annuellement depuis 2008).

21l0l2||Non||21l0l0||Non||Non||21l0l1||Non||[]||[]||Une visite d'inspection a été réalisé le 20 juillet 2010.

22l0l5||Non||22l0l3||Non||Non||22l0l4||Non||[]||[]||Suite à cette visite, un procès-verbal de récolement a été dressé le 21 juillet 2010, conformément aux articles R.512-39-1 et suivants du code de l’environnement, attestant de la conformité des travaux de remise en état du site.

23l0l1||Non||23l0l4||Non||Non||Non||Non||[]||['hydrocarbures totaux', 'chlorures', 'fluorures', 'arsenic', 'cadmium', 'chrome total', 'chrome hexavalent', 'cobalt', 'cuivre', 'étain', 'fer', 'manganèse', 'mercure', 'nickel', 'plomb', 'sélénium', 'zinc']||Conformément aux articles 9.2.4.1 et 9.2.4.2 de l'arrêté préfectoral complémentaire du 15 janvier 2009, la surveillance des eaux souterraines est à poursuivre annuellement sur les 3 piézomètres pour les 20 paramètres suivants : température, pH, conductivité; hydrocarbures totaux, chlorures, fluorures, arsenic, cadmium, chrome total, chrome hexavalent, cobalt, cuivre, étain, fer, manganèse, mercure, nickel, plomb, sélénium et zinc.

