5l0l2||Non||5l0l0||5l0l1||Non||Non||Non||[]||['sels métalliques', 'CCA " ( chrome', 'cuivre', 'arsenic', 'les métaux']||- sels métalliques de type "CCA" (chrome, cuivre et arsenic) à  l'origine d'une partie de la pollution par les métaux (traitement arrêté en 2006).

9l0l0||Non||9l0l3||Non||Non||9l0l5||Non||[]||[]||En 1998, dans le cadre d'un projet de cession, un audit puis un diagnostic de pollution sont réalisés sur le site par un bureau d'étude.

13l0l2||Non||13l0l0||13l1l0||Non||Non||Non||["L' ESR"]||[]||L'ESR est remise au service des installations classées en mars 2003.

13l0l2||Non||13l0l0||13l0l1||Non||Non||Non||["L' ESR"]||[]||L'ESR est remise au service des installations classées en mars 2003.

15l0l4||Non||15l0l0||Non||Non||Non||Non||[]||[]||L'EDR est réalisée par un bureau d'étude et transmise au service des installations classées le 28 octobre 2004.

31l0l0||Non||31l0l2||Non||Non||Non||Non||[]||[]||Depuis 2008, un pompage des eaux souterraines est réalisé sur le site, celles-ci étant utilisées ensuite pour la dilution des produits de traitement.

36l0l1||Non||36l0l0||Non||Non||Non||Non||['ECTARE']||[]||Ce bilan de février 2013, réalisé par le bureau d’études ECTARE, conclut à une amélioration globale de la qualité des eaux depuis 2006 mais avec des concentrations mesurées sont toujours supérieures aux valeurs réglementaires admises pour les eaux destinées à la consommation humaine.

36l0l6||Non||36l0l4||36l0l5||Non||Non||Non||['ECTARE']||[]||Ce bilan de février 2013, réalisé par le bureau d’études ECTARE, conclut à une amélioration globale de la qualité des eaux depuis 2006 mais avec des concentrations mesurées sont toujours supérieures aux valeurs réglementaires admises pour les eaux destinées à la consommation humaine.

38l0l5||Non||38l0l3||Non||Non||Non||Non||[]||[]||- la poursuite de la surveillance des eaux, déjà effectuée par l’exploitant, mais désormais encadrée par des prescriptions précises, pendant a minima 4 ans avec réalisation d’un nouveau bilan sur la période 2012-2015,

42l0l3||Non||42l0l4||42l0l5||Non||Non||Non||['CODERST']||[]||Suite à l’avis favorable du CODERST lors de sa séance du 19 juin 2013, envoi du projet définitif d’arrêté à l’exploitant le 26 juin 2013 et observations de celui-ci par courrier du 8 juillet 2013, l’arrêté complémentaire a été signé le 17 juillet 2013.

42l0l6||Non||42l0l4||42l0l5||Non||Non||Non||['CODERST']||[]||Suite à l’avis favorable du CODERST lors de sa séance du 19 juin 2013, envoi du projet définitif d’arrêté à l’exploitant le 26 juin 2013 et observations de celui-ci par courrier du 8 juillet 2013, l’arrêté complémentaire a été signé le 17 juillet 2013.

42l0l7||Non||42l0l9||42l0l8||Non||Non||Non||['CODERST']||[]||Suite à l’avis favorable du CODERST lors de sa séance du 19 juin 2013, envoi du projet définitif d’arrêté à l’exploitant le 26 juin 2013 et observations de celui-ci par courrier du 8 juillet 2013, l’arrêté complémentaire a été signé le 17 juillet 2013.

42l0l10||Non||42l0l9||42l0l8||Non||Non||Non||['CODERST']||[]||Suite à l’avis favorable du CODERST lors de sa séance du 19 juin 2013, envoi du projet définitif d’arrêté à l’exploitant le 26 juin 2013 et observations de celui-ci par courrier du 8 juillet 2013, l’arrêté complémentaire a été signé le 17 juillet 2013.

