3l0l3||Non||3l0l1||3l0l2||Non||Non||Non||[]||["d' hydrocarbures"]||Lors des travaux de rénovation du dépôt en février 2007 consistant à mettre en place une cuve  supplémentaire et à remplacer le séparateur d'hydrocarbures, une pollution des sols est découverte autour des installations enterrées.

5l0l1||Non||5l0l0||Non||Non||Non||Non||[]||['hydrocarbures']||Les analyses réalisées au moment des travaux de rénovation révèlent une concentration en hydrocarbures de 3020 mg/kg dans les terres excavées et de 4500 mg/kg sur les flancs de fouilles du séparateur.

5l0l1||Non||5l0l2||Non||Non||Non||Non||[]||['hydrocarbures']||Les analyses réalisées au moment des travaux de rénovation révèlent une concentration en hydrocarbures de 3020 mg/kg dans les terres excavées et de 4500 mg/kg sur les flancs de fouilles du séparateur.

7l0l1||Non||7l0l0||Non||Non||Non||Non||[]||[]||Le diagnostic approfondi daté du 6 juin 2008 montre que :

21l0l3||Non||21l0l2||Non||Non||Non||Non||[]||[]||- la surveillance de la nappe, 1ère campagne sous 2 mois.

23l0l2||Non||23l0l1||23l0l0||Non||Non||Non||[]||[]||Le rapport AIS est remis le 28/07/2009.

28l0l3||Non||28l0l1||Non||Non||28l0l2||Non||[]||[]||Les terres polluées, excavées lors des travaux de rénovation réalisés en février 2007, d’un volume d’environ 150 m3, ont été dans un premier temps, stockées en attente de traitement.

28l0l5||Non||28l0l6||Non||Non||Non||Non||[]||[]||Les terres polluées, excavées lors des travaux de rénovation réalisés en février 2007, d’un volume d’environ 150 m3, ont été dans un premier temps, stockées en attente de traitement.

30l0l2||30l0l0||30l0l1||Non||Non||Non||Non||[]||[]||La constitution du bio-tertre a eu lieu le 22 mai 2008.

31l0l4||Non||31l0l2||Non||Non||31l0l3||Non||[]||['BTEX', 'hydrocarbures totaux']||Après deux campagnes d’aération et de suivi, les résultats des dernières analyses effectuées le 4 juillet 2008, confirment l’absence de teneurs en BTEX et indiquent des valeurs inférieures aux limites de détection pour les hydrocarbures totaux.

33l0l2||Non||33l0l1||Non||Non||Non||Non||[]||[]||Suite aux compléments de diagnostic de juillet 2009, il est prévu de pomper et de traiter l'eau de la nappe en PZ2 et d'assurer le suivi de la qualité de la nappe en PZ1 et PZ3.

40l0l3||Non||40l0l2||Non||Non||Non||Non||[]||[]||La campagne réalisée dans le cadre du diagnostic complémentaire de juillet 2009 montre que l'impact est limité à la zone du dépôt et qu'il n'y a pas d'extension hors du site.

