2l0l5||Non||2l0l1||Non||Non||2l0l3||2l0l2||[]||[]||L’exploitation de ce site a été autorisée par différents arrêtés préfectoraux successifs, le dernier datant du 3 juillet 2006.

6l0l0||6l0l3||6l0l4||Non||Non||Non||Non||[]||[]||Depuis 1975, date de la création et de la construction des unités « Pharmacie » et « Chimie 1 », le site n’a cessé de s’étendre.

9l0l0||Non||9l0l1||Non||Non||Non||Non||[]||[]||- 1992 : construction de l’unité « Chimie 2 »,

11l0l3||Non||11l0l1||Non||Non||Non||Non||[]||[]||La production des unités chimiques est ainsi passée de 7 t/an en 1981 à 172 t/an en 1998.

11l0l5||Non||11l0l1||Non||Non||Non||Non||[]||[]||La production des unités chimiques est ainsi passée de 7 t/an en 1981 à 172 t/an en 1998.

24l0l3||Non||24l0l0||Non||Non||24l0l1||Non||['Golder Associates']||[]||Une évaluation détaillée des risques sanitaires (EDR) a été réalisée par le bureau d'études Golder Associates en 2005, basée sur les résultats des investigations environnementales mentionnées ci-dessus et centrée sur la zone de stockage et le bâtiment de l'unité Chimie 1.

30l0l4||Non||30l0l1||Non||Non||30l0l2||Non||[]||[]||En se basant sur les conclusions de l'EDR, la nécessité d'une intervention corrective a été identifiée, conduisant, en conséquence, à l'arrêté préfectoral du 16 janvier 2006.

31l0l3||Non||31l0l2||Non||Non||Non||Non||['la société PFIZER PGM']||[]||Suite à la construction et à la fin de la période de démarrage des travaux de réhabilitation datant du 30 octobre 2006 et conformément à l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a commencé à exploiter son système de traitement des vapeurs du sol par bioventilation le 2 novembre 2006.

31l0l6||31l0l7||31l0l8||31l0l9||Non||Non||Non||['la société PFIZER PGM']||[]||Suite à la construction et à la fin de la période de démarrage des travaux de réhabilitation datant du 30 octobre 2006 et conformément à l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a commencé à exploiter son système de traitement des vapeurs du sol par bioventilation le 2 novembre 2006.

31l0l6||31l1l0||31l0l8||31l0l9||Non||Non||Non||['la société PFIZER PGM']||[]||Suite à la construction et à la fin de la période de démarrage des travaux de réhabilitation datant du 30 octobre 2006 et conformément à l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a commencé à exploiter son système de traitement des vapeurs du sol par bioventilation le 2 novembre 2006.

31l0l11||31l0l7||31l0l8||31l0l9||Non||Non||Non||['la société PFIZER PGM']||[]||Suite à la construction et à la fin de la période de démarrage des travaux de réhabilitation datant du 30 octobre 2006 et conformément à l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a commencé à exploiter son système de traitement des vapeurs du sol par bioventilation le 2 novembre 2006.

31l0l11||31l1l0||31l0l8||31l0l9||Non||Non||Non||['la société PFIZER PGM']||[]||Suite à la construction et à la fin de la période de démarrage des travaux de réhabilitation datant du 30 octobre 2006 et conformément à l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a commencé à exploiter son système de traitement des vapeurs du sol par bioventilation le 2 novembre 2006.

32l0l1||32l0l2||32l0l4||Non||Non||32l0l3||Non||['la société PFIZER PGM']||[]||Selon l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a également entrepris un programme de suivi de l'atténuation naturelle dans les eaux souterraines, qui a débuté le 27 novembre 2006 et qui comprend un réseau de puits de surveillance de 13 piézomètres localisés à l'aval et à l'amont des zones sources identifiées.

32l0l1||32l1l0||32l0l4||Non||Non||32l0l3||Non||['la société PFIZER PGM']||[]||Selon l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a également entrepris un programme de suivi de l'atténuation naturelle dans les eaux souterraines, qui a débuté le 27 novembre 2006 et qui comprend un réseau de puits de surveillance de 13 piézomètres localisés à l'aval et à l'amont des zones sources identifiées.

32l0l9||Non||32l0l4||Non||Non||32l0l8||Non||['la société PFIZER PGM']||[]||Selon l'arrêté préfectoral du 16 janvier 2006, la société PFIZER PGM a également entrepris un programme de suivi de l'atténuation naturelle dans les eaux souterraines, qui a débuté le 27 novembre 2006 et qui comprend un réseau de puits de surveillance de 13 piézomètres localisés à l'aval et à l'amont des zones sources identifiées.

33l0l2||Non||33l0l1||33l0l0||Non||Non||Non||[]||[]||Le système de traitement des gaz du sol par bioventilation a été mis hors ligne le 23 juin 2009, et des investigations sur la qualité des sols (y compris des échantillonnages des sols et des gaz du sol) dans la zone considérée sous le bâtiment de l'unité Chimie 1 et la zone de stockage ont été entreprises en août 2009.

33l0l10||Non||33l0l4||Non||Non||33l0l9||33l0l5||[]||[]||Le système de traitement des gaz du sol par bioventilation a été mis hors ligne le 23 juin 2009, et des investigations sur la qualité des sols (y compris des échantillonnages des sols et des gaz du sol) dans la zone considérée sous le bâtiment de l'unité Chimie 1 et la zone de stockage ont été entreprises en août 2009.

33l0l10||Non||33l0l4||Non||Non||33l0l9||33l0l6||[]||[]||Le système de traitement des gaz du sol par bioventilation a été mis hors ligne le 23 juin 2009, et des investigations sur la qualité des sols (y compris des échantillonnages des sols et des gaz du sol) dans la zone considérée sous le bâtiment de l'unité Chimie 1 et la zone de stockage ont été entreprises en août 2009.

34l0l1||Non||34l0l0||Non||Non||Non||Non||[]||[]||Une seconde campagne d'échantillonnage des gaz a été réalisée en mai 2010.

35l0l3||Non||35l0l0||Non||Non||35l0l1||Non||[]||[]||Une analyse des risques résiduels a été réalisée par le bureau d'études en août 2010.

39l0l2||Non||39l0l1||Non||Non||Non||Non||[]||['composés organiques volatils']||- sur la base des résultats des investigations de sols réalisés en août 2009 et le suivi du système de traitement des gaz du sol, il a été conclu que ce système a réussi à réduire les concentrations en composés organiques volatils dans la zone vadose peu profonde visée par le système dans la zone de traitement,

