2l0l0||Non||2l0l2||2l0l1||Non||Non||Non||[]||[]||En 1966, le site est acheté par M.

3l0l2||3l0l3||3l0l4||Non||Non||Non||Non||['DE CARBON']||[]||DE CARBON pour la fabrication d'amortisseurs, puis en 1978, l'activité se développe et une activité de traitements de surfaces et peinture sont installés et réglementés par arrêté préfectoral du 24 novembre 1978.

3l0l8||3l0l3||3l0l4||Non||Non||Non||Non||['DE CARBON']||[]||DE CARBON pour la fabrication d'amortisseurs, puis en 1978, l'activité se développe et une activité de traitements de surfaces et peinture sont installés et réglementés par arrêté préfectoral du 24 novembre 1978.

4l0l4||Non||4l0l1||4l0l0||Non||Non||Non||[]||[]||Puis, une chaine de chromage de 67 m3 est installée et réglementée par arrêté préfectoral du 30 juillet 1990.

5l0l2||Non||5l0l0||Non||Non||Non||Non||[]||[]||Celle-ci est détruite par un incendie en 1998.

6l0l8||Non||6l0l7||Non||Non||Non||Non||['Liteflex']||[]||Un autre bâtiment Liteflex pour la fabrication de lames de ressorts en fibres de verre et époxy est construit et réglementé suivant le récépissé de déclaration du 3 novembre 1997.

7l0l3||7l0l0||7l0l1||Non||Non||Non||Non||['La société DELPHI AFTERMARKET France']||[]||La société DELPHI AFTERMARKET France reprend les activités des Amortisseurs De Carbon en septembre 2002, puis ferme le site en novembre 2002.

7l0l3||7l1l0||7l0l1||Non||Non||Non||Non||['La société DELPHI AFTERMARKET France']||[]||La société DELPHI AFTERMARKET France reprend les activités des Amortisseurs De Carbon en septembre 2002, puis ferme le site en novembre 2002.

7l0l6||Non||7l0l4||7l0l5||Non||Non||Non||['La société DELPHI AFTERMARKET France']||[]||La société DELPHI AFTERMARKET France reprend les activités des Amortisseurs De Carbon en septembre 2002, puis ferme le site en novembre 2002.

8l0l0||Non||8l0l4||8l0l3||Non||Non||Non||[]||[]||Lors de la fermeture du site, un mémoire a été réalisé, ainsi qu'une Evaluation Simplifiée des Risques.

10l0l0||Non||10l0l1||10l0l2||Non||Non||Non||['de chrome']||['sels']||- entre 1972 et 1974, une fuite sur une cuve du traitement de surface entrainant un rejet dans le sol d'environ une tonne de sels de chrome.

12l0l0||Non||12l0l1||12l0l2||Non||Non||Non||[]||['acide']||- en 1989, le rejet accidentel d'un bain d'acide chromique dans le bassin d'infiltration, en partie étanche.

12l0l0||Non||12l0l1||12l0l3||Non||Non||Non||[]||['acide']||- en 1989, le rejet accidentel d'un bain d'acide chromique dans le bassin d'infiltration, en partie étanche.

17l0l8||17l0l2||17l0l4||Non||Non||Non||Non||['la société DELPHI AFTERMARKET France']||[]||3 piézomètres ont été installés sur le site et l'arrêté préfectoral du 11 septembre 2003 impose à la société DELPHI AFTERMARKET France une surveillance piézo sur les 3 piézomètres pendant deux ans.

19l0l2||Non||19l0l1||19l0l0||Non||Non||Non||[]||[]||Le site est vendu en 2004 et divisé en 5 lots. 3 sociétés occupent le site.

21l0l2||Non||21l0l0||Non||Non||Non||Non||[]||[]||Le bilan piézomètrique a été transmis à l'inspection des installations classées à l'issue des dernières analyses de décembre 2005.

21l0l2||Non||21l0l1||Non||Non||Non||Non||[]||[]||Le bilan piézomètrique a été transmis à l'inspection des installations classées à l'issue des dernières analyses de décembre 2005.

23l0l0||Non||23l0l1||Non||Non||23l0l3||23l0l2||['DELPHI France']||[]||Courant 2009, le bilan des 9 années de suivi est transmis à l'inspection avec une demande d'arrêt de la surveillance de la part de DELPHI France, compte tenu de la diminution puis de la stabilité des différents paramètres suivis.

25l0l3||Non||25l0l1||25l0l0||Non||Non||Non||['le BRGM']||[]||Cette tierce expertise a été réalisée par le BRGM en septembre 2010 ; le rapport a conclu a un certain nombre d'incertitudes sur les sources de la pollution initiale et la qualité des piézomètres.

28l0l1||Non||28l0l0||Non||Non||Non||Non||['BRGM']||[]||Le bilan quadriennal fin 2014 est bien transmis à l'inspection ainsi que la nouvelle tierce expertise du BRGM en août 2015.

28l0l5||Non||28l0l0||Non||Non||28l0l2||Non||['BRGM']||[]||Le bilan quadriennal fin 2014 est bien transmis à l'inspection ainsi que la nouvelle tierce expertise du BRGM en août 2015.

