8l0l0||8l0l1||8l0l2||Non||Non||Non||Non||['groupe NOVELIS', 'américain AIAC']||[]||Depuis 2012, le site n'appartient plus au groupe NOVELIS mais à un groupe d'investisseurs américain AIAC.

9l0l2||9l0l0||9l0l1||Non||Non||Non||Non||[]||[]||Le site est en plan de continuation depuis avril 2016 ; les activités de laminage ont été réduites, tandis que les 2 fours de fonderie fonctionnement en continu.

10l0l0||Non||10l0l1||Non||Non||10l0l2||Non||[]||['métaux']||En 2004, une étude simplifié des risques (ESR) a été réalisée, suivie en 2006 d'une étude de sol, afin de déterminer les concentrations en métaux (probablement présents) dans les sols.

13l0l12||Non||13l0l2||Non||Non||13l0l9||Non||[]||[]||A la suite de ces découvertes, la mise en place d'une surveillance des eaux souterraines, l'établissement d'un plan de gestion de la pollution et la réalisation de travaux de dépollution ont été imposés à l'exploitant par l'arrêté préfectoral du 22/02/2008.

14l0l4||Non||14l0l0||Non||Non||14l0l3||14l0l1||[]||[]||Dans ce cadre, des travaux de mise en confinement hydraulique du site par rabattement de nappe ont été réalisés en juillet 2008 et un plan de gestion a été remis à l'inspection des installations classées en juin 2009.

14l0l8||Non||14l0l6||14l0l5||Non||Non||Non||[]||[]||Dans ce cadre, des travaux de mise en confinement hydraulique du site par rabattement de nappe ont été réalisés en juillet 2008 et un plan de gestion a été remis à l'inspection des installations classées en juin 2009.

15l0l0||Non||15l0l3||15l0l1||Non||Non||Non||['SERPOL', 'AREVA']||[]||Depuis 2006, une installation SERPOL de pompage de la lentille de pollution est installée sur le site, avec 3 pompes et plusieurs piézomètres de surveillance autour (dont certains chez le voisin AREVA).

17l0l2||Non||17l0l3||Non||Non||Non||Non||[]||['flottant hydrocarburé']||98,02 m3 de flottant hydrocarburé ont été pompé depuis la découverte de la pollution en 2006.

17l0l4||Non||17l0l1||17l0l0||Non||Non||Non||[]||['flottant hydrocarburé']||98,02 m3 de flottant hydrocarburé ont été pompé depuis la découverte de la pollution en 2006.

17l0l4||Non||17l0l3||Non||Non||Non||Non||[]||['flottant hydrocarburé']||98,02 m3 de flottant hydrocarburé ont été pompé depuis la découverte de la pollution en 2006.

