2l0l0||Non||2l0l2||2l0l1||Non||Non||Non||[]||['PCB', 'fioul', 'carburant']||Depuis 1953, de nombreuses activités potentiellement polluantes ont été exercées sur le site : vernissage, métallisation, ateliers mécaniques, transformateur au PCB, cuves de stockage de fioul, pompe de distribution de carburant, traitement de surfaces...

5l0l0||Non||5l0l1||Non||Non||5l0l2||Non||[]||[]||En 2006, l'abandon de la production des Compact-Disc au profit des DVD a entraîné une réduction du volume des bains à 1 200 l.

5l0l0||Non||5l0l3||Non||Non||5l0l2||Non||[]||[]||En 2006, l'abandon de la production des Compact-Disc au profit des DVD a entraîné une réduction du volume des bains à 1 200 l.

6l0l2||Non||6l0l1||6l0l0||Non||Non||Non||[]||[]||La société a été mise en redressement judiciaire en mai 2012, entraînant le licenciement de la moitié du personnel.

7l0l0||Non||7l0l2||7l0l1||Non||Non||Non||['Evreux']||[]||Le 13 septembre 2012, la société a été placée en liquidation judiciaire et Maître Bérel a été nommé liquidateur par le tribunal de commerce d'Evreux.

8l0l0||8l0l1||8l0l2||8l0l4||Non||Non||Non||['Maître BEREL', 'la société CINRAM OPTICL DISCS']||[]||Le 30 mai 2013, Maître BEREL a transmis à l'inspection des installations classées le dossier de cessation d'activité de la société CINRAM OPTICL DISCS.

8l0l0||8l1l0||8l0l2||8l0l4||Non||Non||Non||['Maître BEREL', 'la société CINRAM OPTICL DISCS']||[]||Le 30 mai 2013, Maître BEREL a transmis à l'inspection des installations classées le dossier de cessation d'activité de la société CINRAM OPTICL DISCS.

13l0l0||13l0l1||13l0l2||Non||Non||Non||Non||[]||['produits chimiques']||Le 26 juin 2013, l'inspection des installations classées a constaté que globalement le site avait été nettoyé. il restait cependant quelques stocks de produits chimiques et déchets sur le site.

14l0l5||Non||14l0l0||Non||Non||14l0l2||14l0l1||[]||[]||La mise en sécurité du site a été finalisée et constatée par l'inspection lors d'une visite en date du 8 janvier 2015.

14l0l5||Non||14l0l4||Non||Non||Non||Non||[]||[]||La mise en sécurité du site a été finalisée et constatée par l'inspection lors d'une visite en date du 8 janvier 2015.

