1l0l4||Non||1l0l3||Non||Non||Non||Non||["L' incinérateur"]||['décembre 1998']||L'incinérateur a été construit en 1976 et exploité jusqu'au 19 décembre 1998 par l'entreprise NOVERGIE en contrat d'affermage.

2l0l3||Non||2l0l4||Non||Non||Non||Non||[]||[]||Les installations ont fait l'objet des actes administratifs suivants :

2l0l5||2l0l1||2l0l2||Non||Non||Non||Non||[]||[]||Les installations ont fait l'objet des actes administratifs suivants :

2l0l5||Non||2l0l4||Non||Non||Non||Non||[]||[]||Les installations ont fait l'objet des actes administratifs suivants :

7l0l1||Non||7l0l2||Non||Non||Non||Non||[]||[]||Suite à la fermeture de l’usine d'incinération en décembre 1998, celle-ci ne répondant plus aux normes en vigueur, les installations ont été transformées en quai de transfert des ordures ménagères.

8l0l3||Non||8l0l1||Non||Non||Non||Non||[]||[]||Un récépissé de déclaration de changement d'exploitant du 02 février 2005 transfère l'exploitation du site au SOMEL (Syndicat d’Ordures Ménagères d’Eure-et-Loir).

9l0l3||Non||9l0l4||Non||Non||Non||Non||['arrêté préfectoral du 30 janvier 2007 .']||[]||La société SOMEL est autorisée à exploiter une installation de transit de déchets ménagers et assimilés par arrêté préfectoral du 30 janvier 2007.

14l0l0||Non||14l0l1||Non||Non||Non||Non||[]||['réglementaires fixées par']||Les mises aux normes réglementaires fixées par l’arrêté du 25 janvier 1991, aux échéances du 1er décembre 1995 et du 1er décembre 2000 ne pouvant économiquement et techniquement être réalisées, l’exploitation de cette unité d’incinération a été arrêtée le 31 décembre 1998 en conformité avec le plan département de restructuration et de modernisation des usines de traitement de déchets.

24l0l1||Non||24l0l2||24l0l3||Non||Non||Non||['de mâchefers']||[]||- imperméabilisation par une couverture étanche des stockages de mâchefers de l’usine d’incinération ;

29l0l4||Non||29l0l5||Non||Non||Non||Non||[]||[]||Le dossier de cessation d'activité intègre le démantèlement de l'usine d'incinération et la réhabilitation de l'important stock de mâchefers en place à proximité.

31l0l4||Non||31l0l5||Non||Non||Non||Non||['SOMEL pour']||[]||Une étude complémentaire a été réalisée en novembre 2006 par le SOMEL pour identifier le contexte hydrogéologique du site, l’impact sur l’eau des anciennes usines d’incinération et proposer des solutions de réaménagement.

32l0l1||Non||32l0l0||Non||Non||Non||Non||['stockage de mâchefers']||[]||Trois piézomètres ont été réalisés en périphérie du stockage de mâchefers et trois campagnes de prélèvements et analyses ont été effectuées en 2006.

39l0l0||Non||39l0l1||Non||Non||Non||Non||[]||['de classe']||Les déchets d'amiante-ciment (7,38 t) ont été pris en charge pour stockage en installation de stockage de déchets inertes de classe 3 à Nogent la Gravayère (49).

42l0l1||Non||42l0l2||42l0l0||Non||Non||Non||['remise par']||[]||L’avis d’un hydrogéologue agréé a été demandé le 27 juillet 2007 sur les études remise par le SOMEL en novembre 2005 et en novembre 2006.

43l0l2||Non||43l0l1||Non||Non||Non||Non||[]||[]||Dans son rapport du 17 décembre 2007, ce dernier a répondu que :

48l0l3||Non||48l0l2||Non||Non||Non||Non||[]||[]||La dernière campagne de mesures de 2009 permet de confirmer un impact des mâchefers dans les eaux prélevées, pour les paramètres suivants :

49l0l1||Non||49l0l0||Non||Non||Non||Non||[]||['2008 ;']||- les sulfates et l’ammonium en augmentation par rapport à la campagne de 2008 ;

53l0l1||Non||53l0l0||Non||Non||Non||Non||[]||[]||Des ferrailles et matières plastiques sont toujours présentes à différents endroits sur le stock.

