0l0l5||Non||0l0l4||Non||Non||Non||Non||['Le SICTOM']||['Syndicat', 'Ordures Ménagères']||Le SICTOM (Syndicat Intercommunal de Collecte et de Traitement des Ordures Ménagères) de Bonneval , Brou et d’Illiers Combray a exploité durant 25 ans une incinération des ordures ménagères au lieu dit « le Ravin » sur le territoire de la commune de DANGEAU.

1l0l2||Non||1l0l1||1l0l0||Non||Non||Non||['NOVERGIE']||[]||L'incinérateur a été construit en 1972 et exploité de 1973 à décembre 1998 par l'entreprise NOVERGIE en contrat d'affermage.

1l0l4||Non||1l0l3||Non||Non||Non||Non||['NOVERGIE']||[]||L'incinérateur a été construit en 1972 et exploité de 1973 à décembre 1998 par l'entreprise NOVERGIE en contrat d'affermage.

7l0l3||Non||7l0l1||Non||Non||Non||Non||[]||[]||Suite à la fermeture de l’usine d’incinération en décembre 1998, celle-ci ne répondant plus aux normes en vigueur, les installations ont été transformées en quai de transfert des ordures ménagères.

9l0l6||Non||9l0l1||9l0l0||Non||Non||Non||['La société SOMEL']||[]||La société SOMEL est autorisée à exploiter une installation de transit de déchets ménagers et assimilés en lieu et place de l’ancienne usine d’incinération par arrêté préfectoral du 30 janvier 2007.

9l0l6||Non||9l0l1||9l1l0||Non||Non||Non||['La société SOMEL']||[]||La société SOMEL est autorisée à exploiter une installation de transit de déchets ménagers et assimilés en lieu et place de l’ancienne usine d’incinération par arrêté préfectoral du 30 janvier 2007.

9l0l6||Non||9l0l1||9l0l2||Non||Non||Non||['La société SOMEL']||[]||La société SOMEL est autorisée à exploiter une installation de transit de déchets ménagers et assimilés en lieu et place de l’ancienne usine d’incinération par arrêté préfectoral du 30 janvier 2007.

13l0l0||Non||13l0l3||13l0l2||Non||Non||Non||[]||['cendres volantes']||A partir de cette époque, les cendres volantes ont été éliminées dans des centres de stockage de classe 1, mais les mâchefers ont continué à être entreposés sur le site dans les mêmes conditions que précédemment, c’est à dire sur une aire non étanche.

13l0l0||Non||13l0l3||13l1l0||Non||Non||Non||[]||['cendres volantes']||A partir de cette époque, les cendres volantes ont été éliminées dans des centres de stockage de classe 1, mais les mâchefers ont continué à être entreposés sur le site dans les mêmes conditions que précédemment, c’est à dire sur une aire non étanche.

13l0l0||Non||13l0l1||Non||Non||Non||Non||[]||['cendres volantes']||A partir de cette époque, les cendres volantes ont été éliminées dans des centres de stockage de classe 1, mais les mâchefers ont continué à être entreposés sur le site dans les mêmes conditions que précédemment, c’est à dire sur une aire non étanche.

14l0l3||Non||14l0l0||Non||Non||Non||Non||[]||[]||Les mises aux normes réglementaires fixées par l’arrêté du 25 janvier 1991, aux échéances du 1er décembre 1995 et du 1er décembre 2000 ne pouvant économiquement et techniquement être réalisées, l’exploitation de cette unité d’incinération a été arrêtée le 31 décembre 1998 en conformité avec le plan départemental de restructuration et de modernisation des usines de traitement de déchets.

