4l0l0||4l0l1||4l0l3||4l0l4||Non||4l0l2||Non||[]||['boues liquides']||Dès 1974, le site a servi à l’entreposage des boues liquides de la station d’épuration de LEVES.

9l0l1||Non||9l0l0||Non||Non||Non||Non||[]||[]||L'arrêté du 28 novembre 2005 autorise Chartres Métropole a poursuivre l'exploitation d'un centre de compostage de boues selon de nouvelles conditions d'exploitation.

11l0l4||11l0l0||11l0l3||Non||Non||11l0l1||Non||['CHARTRES METROPOLE']||[]||CHARTRES METROPOLE a notifié à la préfecture sa cessation d'activité le 28 mars 2012.

11l0l4||11l1l0||11l0l3||Non||Non||11l0l1||Non||['CHARTRES METROPOLE']||[]||CHARTRES METROPOLE a notifié à la préfecture sa cessation d'activité le 28 mars 2012.

12l0l3||Non||12l0l0||Non||Non||12l0l2||12l0l1||['société Jean FREON ELAGAGE']||[]||La cession du site a été réalisée le 13 décembre 2017 au profit de la commune de Saint-Aubin-des-bois pour un usage de stockage de bois par une entreprise spécialisée (société Jean FREON ELAGAGE).

21l0l3||Non||21l0l2||Non||Non||Non||Non||[]||['polychlorobiphényles']||Dans le cadre du dossier de cessation d'activité transmis le 05 février 2014, une pollution aux polychlorobiphényles a été détecté dans une des lagunes présentes sur site.

21l0l3||Non||21l0l5||21l0l4||Non||Non||Non||[]||['polychlorobiphényles']||Dans le cadre du dossier de cessation d'activité transmis le 05 février 2014, une pollution aux polychlorobiphényles a été détecté dans une des lagunes présentes sur site.

27l0l0||Non||27l0l2||27l0l1||Non||Non||Non||[]||[]||En 2005, plusieurs lagunes ont été vidées, seule une lagune restait à vider.

28l0l5||Non||28l0l1||Non||Non||Non||Non||[]||[]||Elle devait faire l'objet de travaux de vidange, de comblement  et de reboisement prévus à partir de septembre 2005.

28l0l5||Non||28l0l2||Non||Non||Non||Non||[]||[]||Elle devait faire l'objet de travaux de vidange, de comblement  et de reboisement prévus à partir de septembre 2005.

29l0l4||Non||29l0l3||29l0l2||Non||Non||Non||[]||[]||L'exploitant a indiqué que les travaux ont été réalisés début 2006.

31l0l0||Non||31l0l4||Non||Non||Non||Non||[]||['MES', 'DCO', 'Oxygène', 'Cuivre']||En 2009, suite à une visite de l'inspection des installations classés, des dépassement sur les paramètres MES (Matières en suspension), DCO (Demande Chimique en Oxygène) et Cuivre ont été constatés dans le silo des lixiviats.

33l0l0||Non||33l0l1||Non||Non||Non||Non||[]||[]||- 2006: mise en place de ventilateurs dispersant des produits masquants

34l0l0||Non||34l0l1||34l0l2||Non||Non||Non||[]||[]||- 2008 : installation d'une station météo, aération du bassin des lixiviats, remise à un jury de nez de "fiches odeurs" servant à consigner la date, l'heure, la durée, l'intensité des odeurs....

35l0l0||Non||35l0l1||Non||Non||Non||Non||['la société ODOTECH']||[]||- 2009: curage du silo de récupération des lixiviats et réalisation d'une étude odeurs par la société ODOTECH (90% des émissions proviennent de la phase de fermentation).

36l0l0||Non||36l0l1||Non||Non||Non||Non||[]||['tonnes de boues']||-2010: vidange complète du bassin des lixiviats, délestage de 373 tonnes de boues par traitement externe et modification du procédé de la phase de fermentation (novembre 2010)

36l0l7||Non||36l0l1||Non||Non||Non||Non||[]||['tonnes de boues']||-2010: vidange complète du bassin des lixiviats, délestage de 373 tonnes de boues par traitement externe et modification du procédé de la phase de fermentation (novembre 2010)

46l0l3||Non||46l0l2||Non||Non||Non||Non||[]||['polychlorobiphényles', 'PCB']||Des travaux de confinement ont été effectués sur la lagune présentant une pollution aux polychlorobiphényles (PCB) courant de l'année 2014.

