3l0l3||Non||3l0l0||Non||Non||3l0l2||3l0l1||[]||[]||Au vu des photos aériennes témoignant de l'évolution du site dans le temps, les apports de déchets ont débuté vers 2002.

4l0l2||4l0l0||4l0l1||Non||Non||Non||Non||[]||[]||L'activité a pris fin en 2011.

5l0l2||5l0l0||5l0l1||Non||Non||Non||Non||[]||[]||Cette entreprise est en liquidation judiciaire depuis le 28 juillet 2011.

7l0l7||Non||7l0l8||Non||Non||Non||Non||[]||[]||Elle disposait d'une habilitation pour intervenir sur des chantiers contenant de l'amiante lié, cette habilitation lui avait été retirée avant sa liquidation.

9l0l2||Non||9l0l1||9l0l0||Non||Non||Non||[]||[]||L'entreprise a été liquidée le 28 juillet 2011 par liquidateur judiciaire nommé.

10l0l3||Non||10l0l0||Non||Non||10l0l2||10l0l1||[]||[]||Une vente aux enchères du matériel de l'entreprise a eu lieu le 12 décembre 2011.

11l0l0||11l0l4||11l0l6||Non||Non||11l0l5||11l0l7||[]||['amiante']||Le 15 mars 2011, suite à un signalement de l'Inspection du travail, l'Inspection des installations classées a réalisé une première inspection de cette entreprise et a découvert l'existence d'un site illégal de transit de plusieurs centaines de tonnes de déchets contenant de l'amiante.

12l0l0||Non||12l0l2||Non||Non||Non||Non||[]||[]||Depuis cette date, ce site fait l'objet d'un suivi particulier de la part de l'Inspection des installations classées (notamment 14 inspections entre 2011 et 2012).

12l0l6||Non||12l0l5||Non||Non||Non||Non||[]||[]||Depuis cette date, ce site fait l'objet d'un suivi particulier de la part de l'Inspection des installations classées (notamment 14 inspections entre 2011 et 2012).

19l0l0||Non||19l0l2||Non||Non||Non||Non||[]||['amiante']||Depuis juin 2012, il ne reste plus de déchets contenant de l'amiante stocké en aérien.

20l0l2||Non||20l0l3||Non||Non||Non||Non||[]||[]||La zone du tas de déchets en mélange a peu évolué depuis la découverte du site.

23l0l0||Non||23l0l2||Non||Non||23l0l1||Non||[]||[]||Le 30 novembre 2012 ont été réalisés des sondages dans les sous-sols de la partie de la parcelle 1 ayant fait l'objet d'évacuations et dans les différents tas présents sur la parcelle 1 du site.

29l0l2||Non||29l0l1||Non||Non||Non||Non||[]||[]||Suite aux recherches effectuées le 30 novembre 2012 et à la fourniture du rapport de l'APAVE du 7 janvier 2013, l'Inspection a constaté que :

33l0l4||33l0l1||33l0l3||33l0l5||Non||Non||Non||['la DREAL', 'BRGM', 'la société GERLERO']||['des produits amiantés']||Suite à ces constats, la DREAL (Direction régionale de l'environnement, de l'aménagement et du logement) de Midi-Pyrénées et la mairie de Saint-Alban (31) ont sollicité, à l'été 2013, la Direction régionale du BRGM en Midi-Pyrénées pour un avis d’expert, relatif à différents scénarios possibles de mise en sécurité du dépôt de déchets en mélange comportant des produits amiantés sur l’ancien site de la société GERLERO, situé sur la commune de Saint-Alban :

33l0l4||33l1l0||33l0l3||33l0l5||Non||Non||Non||['la DREAL', 'BRGM', 'la société GERLERO']||['des produits amiantés']||Suite à ces constats, la DREAL (Direction régionale de l'environnement, de l'aménagement et du logement) de Midi-Pyrénées et la mairie de Saint-Alban (31) ont sollicité, à l'été 2013, la Direction régionale du BRGM en Midi-Pyrénées pour un avis d’expert, relatif à différents scénarios possibles de mise en sécurité du dépôt de déchets en mélange comportant des produits amiantés sur l’ancien site de la société GERLERO, situé sur la commune de Saint-Alban :

44l0l2||44l0l0||44l0l1||Non||Non||Non||Non||['les services de l’ Etat']||[]||erlero et les services de l’Etat ont opté, lors d’une réunion en février 2014, pour l’évacuation totale des déchets présents sur le site.

44l0l2||Non||44l0l3||Non||Non||Non||Non||['les services de l’ Etat']||[]||erlero et les services de l’Etat ont opté, lors d’une réunion en février 2014, pour l’évacuation totale des déchets présents sur le site.

44l0l4||44l0l0||44l0l1||Non||Non||Non||Non||['les services de l’ Etat']||[]||erlero et les services de l’Etat ont opté, lors d’une réunion en février 2014, pour l’évacuation totale des déchets présents sur le site.

