8l0l0||Non||8l0l4||8l0l6||Non||Non||Non||['1999 au nom de']||[]||L'augmentation de la capacité de production du site et son changement d'exploitant en 1999 au nom de EPCOS S.

9l0l8||Non||9l0l7||Non||Non||Non||Non||[]||[]||. a fait l'objet d'un arrêté préfectoral du 1er  septembre 2000, notamment pour l'activité de broyage-concassage classée en autorisation sous la rubrique 2515.

9l0l8||Non||9l0l0||Non||Non||Non||Non||[]||[]||. a fait l'objet d'un arrêté préfectoral du 1er  septembre 2000, notamment pour l'activité de broyage-concassage classée en autorisation sous la rubrique 2515.

10l0l4||Non||10l0l2||Non||Non||Non||Non||["emprise de l' établissement"]||[]||Implanté sur les parcelles AL 118 et AO 243 représentant une superficie glogale de 14,3 ha, l'emprise de l'établissement de l'établissement est resté limitée à une surface de 8,5 ha.

10l0l4||Non||10l0l5||Non||Non||Non||Non||["emprise de l' établissement"]||[]||Implanté sur les parcelles AL 118 et AO 243 représentant une superficie glogale de 14,3 ha, l'emprise de l'établissement de l'établissement est resté limitée à une surface de 8,5 ha.

14l0l2||Non||14l0l1||Non||Non||Non||Non||[]||[]||Dans le cadre de la cessation d'activité du site EPCOS de Lormont et dans la perspective de cession des terrains, la Société EPCOS, sur sa propre initiative, fait réaliser par la société ANTEA un diagnostic initial et une Evaluation Simplifiée des Risques (ESR) en octobre 2004.

14l0l4||Non||14l0l3||Non||Non||Non||Non||[]||[]||Dans le cadre de la cessation d'activité du site EPCOS de Lormont et dans la perspective de cession des terrains, la Société EPCOS, sur sa propre initiative, fait réaliser par la société ANTEA un diagnostic initial et une Evaluation Simplifiée des Risques (ESR) en octobre 2004.

27l0l1||Non||27l0l0||Non||Non||Non||Non||['usages de loisirs']||[]||Il précise qu'en l'état, l'utilisation des terrains pour des usages de loisirs, de cultures ou d'habitation en général, est à proscrire.

28l0l3||Non||28l0l5||28l1l1||Non||Non||Non||["changement d' usage", 'diagnostic approfondi', 'modalités de']||[]||En cas de changement d'usage, un diagnostic approfondi est à mener pour délimiter précisément les zones contaminées et mettre en place les modalités de gestion adaptées au projet d'aménagement envisagé.

28l0l7||Non||28l0l5||28l1l1||Non||Non||Non||["changement d' usage", 'diagnostic approfondi', 'modalités de']||[]||En cas de changement d'usage, un diagnostic approfondi est à mener pour délimiter précisément les zones contaminées et mettre en place les modalités de gestion adaptées au projet d'aménagement envisagé.

31l0l3||Non||31l0l2||Non||Non||Non||Non||['Le premier']||[]||Le premier aquifère rencontré est constitué dans les alluvions fluviatiles.

37l0l2||Non||37l0l1||Non||Non||Non||Non||[]||[]||La campagne de juillet 2005 montre l'absence d'impact par le chrome et le manganèse.

38l0l1||Non||38l0l0||Non||Non||Non||Non||[]||['la valeur de']||Des traces d'arsenic sont mesurées mais demeurent stable par rapport à la campagne de 2004 (8 µg/l, la valeur de référence pour l'eau de consommation est de 10 µg/l).

38l0l1||Non||38l0l2||Non||Non||Non||Non||[]||['la valeur de']||Des traces d'arsenic sont mesurées mais demeurent stable par rapport à la campagne de 2004 (8 µg/l, la valeur de référence pour l'eau de consommation est de 10 µg/l).

43l0l5||Non||43l0l4||Non||Non||Non||Non||['du bâtiment principal']||[]||La reconnaissance de l'extension de la pollution sous la plateforme du bâtiment principal, aujourd'hui disparu, reste à réaliser.

61l0l3||Non||61l0l2||Non||Non||Non||Non||[]||[]||Les conclusions de ce rapport réalisé par le bureau d'études Téréo sont les suivantes:

