1l0l3||Non||1l0l1||1l0l0||Non||Non||Non||[]||[]||Les installations sont autorisées par l'arrêté préfectoral du 10 avril 1995.

13l0l0||13l0l5||13l0l6||Non||Non||Non||Non||['la société SIRECH HOSTIER']||['fuel']||Le 24 janvier 2005, suite à une pollution accidentelle mettant en cause une fuite sur une tuyauterie enterrée, la société SIRECH HOSTIER réalise le pompage de surnageant de 10 à 20 litres de fuel.

13l0l0||13l1l0||13l0l6||Non||Non||Non||Non||['la société SIRECH HOSTIER']||['fuel']||Le 24 janvier 2005, suite à une pollution accidentelle mettant en cause une fuite sur une tuyauterie enterrée, la société SIRECH HOSTIER réalise le pompage de surnageant de 10 à 20 litres de fuel.

14l0l0||14l0l1||14l0l2||Non||Non||Non||Non||['la Société CPA EXPERT']||['fuel restant']||Le 27 avril 2005, la Société CPA EXPERT déclare que les 0,02 litre de fuel restant ont un impact négligeable sur l'environnement et qu'un diagnostic supplémentaire n'est pas nécessaire.

14l0l0||14l1l0||14l0l2||Non||Non||Non||Non||['la Société CPA EXPERT']||['fuel restant']||Le 27 avril 2005, la Société CPA EXPERT déclare que les 0,02 litre de fuel restant ont un impact négligeable sur l'environnement et qu'un diagnostic supplémentaire n'est pas nécessaire.

16l0l8||16l0l3||16l0l5||Non||Non||16l0l4||16l0l6||['AFB', 'Sirech Hostier']||[]||Suite à un signalement de pollution dans la Garonne, l’inspection des installations classées, accompagnée d’un agent de l’AFB, a effectué une visite d’inspection inopinée de l’établissement Sirech Hostier le 13 mars 2018 (cf. rapport de l’inspection en date du 20 mars 2018).

22l0l2||22l0l0||22l0l1||22l0l3||Non||Non||Non||[]||[]||L’exploitant est tenu de mettre en place sous un mois les rétentions adaptées et doit en transmettre la preuve à l’inspection des installations classées.

23l0l7||23l0l2||23l0l8||Non||Non||23l0l6||Non||[]||[]||D’autre part, suite à une demande de l’inspection, le site voisin L’Electrolyse, soumis à autorisation pour ses activités de traitement de surface et de traitement de déchets, a remis le 20 avril 2018 une étude de sols et des eaux souterraines au droit de son site.

27l0l9||Non||27l0l8||27l0l7||Non||Non||Non||['Sirech Hostier', 'l’ Electrolyse']||[]||Vu les activités exercées par Sirech Hostier, les constats de pollution au droit du site et l’étude de sols fournie par l’Electrolyse, un arrêté préfectoral complémentaire a été pris en date du 16/10/2018.

39l0l2||Non||39l0l1||Non||Non||Non||Non||['la Société SIRECH HOSTIER']||[]||Suite à l'accident du 24 janvier 2005, la Société SIRECH HOSTIER met en œuvre les travaux de rénovation suivants au 17 juin 2005 :

39l0l2||39l0l3||39l0l5||Non||Non||39l0l4||Non||['la Société SIRECH HOSTIER']||[]||Suite à l'accident du 24 janvier 2005, la Société SIRECH HOSTIER met en œuvre les travaux de rénovation suivants au 17 juin 2005 :

39l0l2||39l1l0||39l0l5||Non||Non||39l0l4||Non||['la Société SIRECH HOSTIER']||[]||Suite à l'accident du 24 janvier 2005, la Société SIRECH HOSTIER met en œuvre les travaux de rénovation suivants au 17 juin 2005 :

39l0l6||Non||39l0l5||Non||Non||Non||Non||['la Société SIRECH HOSTIER']||[]||Suite à l'accident du 24 janvier 2005, la Société SIRECH HOSTIER met en œuvre les travaux de rénovation suivants au 17 juin 2005 :

42l0l3||Non||42l0l1||Non||Non||Non||Non||[]||['HC']||Suite à la visite d’inspection inopinée le 13 mars 2018, il avait été constaté que les réservoirs n'étaient pas sur des rétentions alors qu'ils contiennent des HC.

42l0l3||Non||42l0l4||Non||Non||Non||Non||[]||['HC']||Suite à la visite d’inspection inopinée le 13 mars 2018, il avait été constaté que les réservoirs n'étaient pas sur des rétentions alors qu'ils contiennent des HC.

48l0l1||Non||48l0l0||Non||Non||Non||Non||[]||['hydrocarbures']||La campagne du 5 octobre 2001 montre un dépassement du seuil en hydrocarbures fixé par l'arrêté du 10 avril 1995 (30,35 mg/l au lieu de 10 mg/l).

50l0l1||Non||50l0l0||Non||Non||Non||Non||[]||['hydrocarbures']||La campagne du 11 avril 2007 montre également un dépassement du seuil en hydrocarbures fixé par l'arrêté du 10 avril 1995 (46,17 mg/l au lieu de 10 mg/l).

52l0l1||Non||52l0l0||Non||Non||Non||Non||[]||[]||Les campagnes d'octobre 2007, de décembre 2007 et de mars 2008 des eaux résiduaires et pluviales montrent une situation satisfaisante et conforme à l'arrêté du 10 avril 1995.

56l0l2||Non||56l0l1||Non||Non||Non||Non||[]||[]||Suite à une visite d’inspection inopinée le 13 mars 2018, il a été constaté que l'exploitant exerçait également des activités relevant de la rubrique 2795 pour laquelle aucune déclaration n'avait été faite.

57l0l2||Non||57l0l0||Non||Non||Non||Non||['le Préfet']||[]||A cet effet, un arrêté de mise en demeure de régulariser ou cesser ses activités en date du 26 avril 2018 suivi d'un arrêté de suspension de l’activité de lavage de citernes en date du 16 mai 2018 ont été pris par Monsieur le Préfet.

58l0l5||Non||58l0l1||Non||Non||58l0l3||58l0l2||[]||[]||Depuis, l'exploitant a régularisé sa situation administrative en déclarant ses activités le 13 juin 2018 et a remis un dossier de déclaration.

58l0l5||Non||58l0l4||Non||Non||58l0l3||Non||[]||[]||Depuis, l'exploitant a régularisé sa situation administrative en déclarant ses activités le 13 juin 2018 et a remis un dossier de déclaration.

59l0l2||Non||59l0l1||59l0l0||Non||Non||Non||[]||[]||Un arrêté de levée de suspension d'activité a donc été pris en date du 6 juillet 2018.

