2l0l2||2l0l0||2l0l1||Non||Non||Non||Non||[]||[]||L'exploitation a cessé en 2001.

4l0l1||Non||4l0l0||Non||Non||Non||Non||[]||[]||Les études menées en 2001 ont montré des sols pollués sur de petites surfaces près des anciens ateliers de fabrication.

7l0l3||Non||7l0l0||Non||Non||7l0l2||7l0l1||[]||[]||Le PV de récolement des travaux a été établi le 18 octobre 2006.

8l0l4||Non||8l0l2||8l0l0||Non||Non||Non||[]||[]||Des servitudes conventionnelles au profit de l’État ont été enregistrées à la conservation aux hypothèques le 20 avril 2007 afin de garantir dans le temps un usage du site compatible avec l'état du sol.

10l0l3||Non||10l0l2||Non||Non||Non||Non||[]||[]||Le suivi de la qualité des eaux souterraines réalisé entre 2004 et 2014 en périphérie du cocon, a confirmé l’absence de nappe au droit de ce dernier et la faible perméabilité des terrains de la zone de confinement.

11l0l3||11l0l1||11l0l2||Non||Non||Non||Non||['le Préfet', 'la société CEDEST']||[]||Compte tenu de ces constats et des données obtenues sur les piézomètres, sur avis de l’inspection en charge des installations classées, le Préfet de l’Hérault a donné le 04 mars 2016 une suite favorable à la demande de la société CEDEST d’arrêter ce suivi piézométrique.

11l0l3||11l1l0||11l0l2||Non||Non||Non||Non||['le Préfet', 'la société CEDEST']||[]||Compte tenu de ces constats et des données obtenues sur les piézomètres, sur avis de l’inspection en charge des installations classées, le Préfet de l’Hérault a donné le 04 mars 2016 une suite favorable à la demande de la société CEDEST d’arrêter ce suivi piézométrique.

12l0l0||Non||12l0l6||Non||Non||Non||Non||['la société CEDEST']||[]||En 2012, dans le cadre de la vente d'une des parcelles du site, à son initiative la société CEDEST a fait procéder à des investigations des terrains concernés avec pour objectif de réaliser un état des sols avant cession.

15l0l2||Non||15l0l1||15l0l0||Non||Non||Non||['la société CEDEST']||[]||Un arrêté préfectoral a été pris le 16 janvier 2013 (modifié le 05 décembre 2013) demandant à la société CEDEST de déterminer l'origine de cette pollution et d'évaluer, le cas échéant, son extension.

15l0l4||Non||15l0l1||15l0l0||Non||Non||Non||['la société CEDEST']||[]||Un arrêté préfectoral a été pris le 16 janvier 2013 (modifié le 05 décembre 2013) demandant à la société CEDEST de déterminer l'origine de cette pollution et d'évaluer, le cas échéant, son extension.

15l0l4||Non||15l0l1||Non||Non||15l0l3||15l0l0||['la société CEDEST']||[]||Un arrêté préfectoral a été pris le 16 janvier 2013 (modifié le 05 décembre 2013) demandant à la société CEDEST de déterminer l'origine de cette pollution et d'évaluer, le cas échéant, son extension.

16l0l2||Non||16l0l1||16l0l0||Non||Non||Non||[]||[]||En application de cet arrêté, trois rapports d’étude ont été remis entre fin 2013 et mi-2014.

21l0l8||Non||21l0l7||Non||Non||Non||Non||['CEDEST']||['des polluants']||L’inspection a estimé que sur le plan environnemental, ce réaménagement, qui permettait de recouvrir les terrains (par des terres propres) et donc de supprimer la voie de transfert des polluants vers les futurs usagers de la parcelle, n’appelait pas d'observation et qu’il pouvait répondre à l’une des solutions de réhabilitation (recouvrement par des terres végétales) proposée par CEDEST dans ses études de mars 2014.

22l0l2||Non||22l0l0||Non||Non||22l0l1||Non||[]||[]||Le chantier de réaménagement a débuté au 1er trimestre 2015. 4 visites du chantier ont été effectuées par les services de l'inspection des installations classées.

23l0l1||Non||23l0l0||Non||Non||Non||Non||[]||[]||Les travaux ont été achevés en 2016 (finalisation de l'engazonnement).

24l0l3||Non||24l0l0||Non||Non||24l0l2||Non||[]||[]||Le PV de récolement de ces travaux a été établi le 08 mars 2016.

