2l0l8||Non||2l0l6||Non||Non||2l0l7||Non||['la société Inter']||[]||Cet établissement était soumis à déclaration préfectorale par le récépissé de déclaration n° 4813 du 17 novembre 1987 notifié à la société Inter Berry Touraine distribution et la cessation d’activité a été déclarée le 21 mars 2011.

13l0l3||13l0l1||13l0l2||Non||Non||Non||Non||[]||[]||Lors de cette intervention, la station n’était plus en activité mais en phase de démantèlement. 5 sondages ont été réalisés à proximité des dépotages et des deux cuves enterrées.

13l0l3||Non||13l0l4||Non||Non||Non||Non||[]||[]||Lors de cette intervention, la station n’était plus en activité mais en phase de démantèlement. 5 sondages ont été réalisés à proximité des dépotages et des deux cuves enterrées.

17l0l2||Non||17l0l1||17l0l0||Non||Non||Non||[]||[]||Ensuite, ce diagnostic préliminaire a été complété en juin 2011.

23l0l2||Non||23l0l1||23l0l0||Non||Non||Non||[]||[]||Cet arrêté a été signé le 24 février 2012 et transmis aux personnes résidant dans le périmètre d’interdiction.

24l0l1||Non||24l0l2||Non||Non||Non||Non||['la société FLAMA']||[]||Parallèlement, l’arrêté préfectoral n°2012137-0012 du 16 mai 2012, a imposé à la société FLAMA plusieurs prescriptions dont notamment :

33l0l3||Non||33l0l0||Non||Non||33l0l2||Non||[]||[]||Ensuite, une EQRS (évaluation quantitative des risques sanitaires) a été réalisée en décembre 2012 afin de déterminer si les teneurs mesurées sont susceptibles d’engendrer un risque sanitaire pour les habitants des maisons en aval du site.

36l0l2||Non||36l0l0||36l0l1||Non||Non||Non||[]||[]||Ces résultats ont entraîné la mise en place d’un plan de gestion, dont le rapport date d’avril 2013, en vue de réhabiliter la nappe sur la zone du panache, qui s’étend sur environ 3 800 m² et touche les parcelles cadastrales (section AI feuille 01) n° 117, 147, 108, 109, 110, 231, 232, 112 et 113.

38l0l4||Non||38l0l2||Non||Non||Non||Non||[]||[]||La zone source représente environ 600 tonnes de terres, qui ont été excavées l'été 2014, et 150 m3 d’eau en cours de traitement par aiguilles d'aspiration.

42l0l3||Non||42l0l0||Non||Non||42l0l1||Non||[]||['contaminant', 'contaminants']||Les contrôles effectués au droit et en aval de l’ancienne station-service en août 2013 (présentées dans un rapport daté de septembre 2013) ont permis de confirmer les éléments suivants : la présence d’un impact sur la nappe et l’air du sol qui s’étend jusqu’à environ 90 m en aval de l’ancienne station-service, la délimitation du panache de contaminant et l’absence de transfert des contaminants vers les réseaux de distribution d’eau potable, dans les habitations contrôlées.

42l0l4||Non||42l0l0||Non||Non||Non||Non||[]||['contaminant', 'contaminants']||Les contrôles effectués au droit et en aval de l’ancienne station-service en août 2013 (présentées dans un rapport daté de septembre 2013) ont permis de confirmer les éléments suivants : la présence d’un impact sur la nappe et l’air du sol qui s’étend jusqu’à environ 90 m en aval de l’ancienne station-service, la délimitation du panache de contaminant et l’absence de transfert des contaminants vers les réseaux de distribution d’eau potable, dans les habitations contrôlées.

