0l0l3||Non||0l0l2||0l0l0||Non||Non||Non||[]||['cumène']||Une pollution de la nappe phréatique par du cumène a été détectée en 1991.

2l0l2||Non||2l0l1||Non||Non||Non||Non||[]||[]||Diverses études ont été réalisées depuis pour caractériser la pollution restante, définir la surveillance à mettre en place et réaliser une dépollution complémentaire de la nappe.

4l0l4||Non||4l0l3||Non||Non||Non||Non||['la société ATOS environnement']||[]||Cette étude a été réalisée par la société ATOS environnement et a fait l'objet d'un rapport de janvier 2008.

5l0l3||Non||5l0l0||5l0l1||Non||Non||Non||['la société ATOS environnement']||[]||Le plan de gestion du site proposé par la société ATOS environnement sur la base des résultats de l'étude est daté du 29 mai 2008.

6l0l4||Non||6l0l1||Non||Non||Non||Non||[]||[]||Sur la base de ces données techniques de nouvelles conditions de suivi de la nappe ont été imposées à l'exploitant, par arrêté préfectoral N°2010-01455 du 23/02/2010.

7l0l7||Non||7l0l2||Non||Non||Non||Non||[]||[]||Une surveillance trimestrielle du site est donc réalisée dans le cadre de la surveillance globale des eaux souterraines au droit de la plate-forme depuis de très nombreuses années.

12l0l2||12l0l0||12l0l1||12l0l3||Non||Non||Non||['Le BURGEAP']||['cumène']||Le BURGEAP a ainsi réalisé en 2011 un pilote d'essai d'écrémage de la partie flottante de cumène.

12l0l2||12l1l0||12l0l1||12l0l3||Non||Non||Non||['Le BURGEAP']||['cumène']||Le BURGEAP a ainsi réalisé en 2011 un pilote d'essai d'écrémage de la partie flottante de cumène.

14l0l0||14l0l2||14l0l3||Non||Non||Non||Non||[]||['la lentille de cumène', 'cumène']||A la fin de l'année 2012 la lentille de cumène s'est épuisée et ce sont environ 7000 litres de cumène qui ont été extraits.

14l0l0||14l1l0||14l0l3||Non||Non||Non||Non||[]||['la lentille de cumène', 'cumène']||A la fin de l'année 2012 la lentille de cumène s'est épuisée et ce sont environ 7000 litres de cumène qui ont été extraits.

