4l0l0||4l0l7||4l0l8||4l0l9||Non||Non||Non||[]||["eaux d' extinction d' incendie", 'les métaux', 'hydrocarbures']||En octobre 2009, lors de la réalisation de travaux préparatoire à la mise en place d'un bassin de 1000 m3 pour le confinement des eaux d'extinction d'incendie, l'exploitant découvre une pollution des sols par les métaux et les hydrocarbures.

6l0l2||Non||6l0l0||Non||Non||Non||Non||['BURGEAP']||[]||Le diagnostic réalisé par BURGEAP de février 2010 montre :

14l0l5||Non||14l0l2||Non||Non||Non||Non||[]||['mercure']||Par ailleurs, et sans que le lien avec la zone de construction du bassin soit établi, à l'occasion de travaux réalisés près de l'ancien bâtiment administratif du site, en janvier 2010, une pollution par le mercure a été découverte.

14l0l5||Non||14l0l7||14l0l6||Non||Non||Non||[]||['mercure']||Par ailleurs, et sans que le lien avec la zone de construction du bassin soit établi, à l'occasion de travaux réalisés près de l'ancien bâtiment administratif du site, en janvier 2010, une pollution par le mercure a été découverte.

15l0l0||Non||15l0l1||Non||Non||Non||Non||[]||['billes de mercure']||En effet, lors de travaux de démolition, il a été noté la présence de billes de mercure dans le sol constitué, à cet endroit, de terres de remblais.

19l0l2||Non||19l0l1||Non||Non||Non||Non||[]||[]||A l'issue de la découverte du mercure en janvier 2010, le chantier de démolition a été arrêté, des mesures, notamment de pollution de l'air, ont été réalisées.

19l0l2||Non||19l0l3||Non||Non||19l0l4||Non||[]||[]||A l'issue de la découverte du mercure en janvier 2010, le chantier de démolition a été arrêté, des mesures, notamment de pollution de l'air, ont été réalisées.

20l0l0||Non||20l0l2||Non||Non||Non||Non||[]||[]||Le 21/02/2011, des travaux d'excavation des terres sont en cours.

22l0l1||Non||22l0l2||Non||Non||Non||Non||[]||[]||Les terres excavées d'environ 2m3,  sont mises en conteneur et doivent être éliminées en centre de stockage de déchets ultimes.

23l0l1||Non||23l0l0||Non||Non||Non||Non||[]||[]||Au fur et à mesure des travaux d'excavation, des analyses sont réalisées sur les terres en place pour définir la poursuite de l'action.

31l0l1||Non||31l0l0||Non||Non||Non||Non||[]||[]||Les travaux ont été effectués en 2010 avec l'évacuation de :

38l0l0||38l0l1||38l0l2||Non||Non||Non||Non||[]||['billes de mercure']||Le 30/09/2014, l'exploitant découvre a présence de« billes de mercure », situées au fond d’un ancien regard, dans le cadre de travaux de terrassement du projet dit « Drain ouverts versant Nord » (« DOVN »).

47l0l2||47l0l0||47l0l5||Non||Non||47l0l1||47l0l6||['BURGEAP']||[]||BURGEAP recommande lors du diagnostic de février 2010, le contrôle de la qualité des eaux souterraines au droit du site à une fréquence semestrielle sur trois piézomètres (PZ2, PZ4 et PZ6) pour une durée minimale de quatre ans.

47l0l2||47l1l0||47l0l5||Non||Non||47l0l1||47l0l6||['BURGEAP']||[]||BURGEAP recommande lors du diagnostic de février 2010, le contrôle de la qualité des eaux souterraines au droit du site à une fréquence semestrielle sur trois piézomètres (PZ2, PZ4 et PZ6) pour une durée minimale de quatre ans.

47l0l2||Non||47l0l3||Non||Non||Non||Non||['BURGEAP']||[]||BURGEAP recommande lors du diagnostic de février 2010, le contrôle de la qualité des eaux souterraines au droit du site à une fréquence semestrielle sur trois piézomètres (PZ2, PZ4 et PZ6) pour une durée minimale de quatre ans.

47l0l4||47l0l0||47l0l5||Non||Non||47l0l1||47l0l6||['BURGEAP']||[]||BURGEAP recommande lors du diagnostic de février 2010, le contrôle de la qualité des eaux souterraines au droit du site à une fréquence semestrielle sur trois piézomètres (PZ2, PZ4 et PZ6) pour une durée minimale de quatre ans.

47l0l4||47l1l0||47l0l5||Non||Non||47l0l1||47l0l6||['BURGEAP']||[]||BURGEAP recommande lors du diagnostic de février 2010, le contrôle de la qualité des eaux souterraines au droit du site à une fréquence semestrielle sur trois piézomètres (PZ2, PZ4 et PZ6) pour une durée minimale de quatre ans.

47l0l4||Non||47l0l3||Non||Non||Non||Non||['BURGEAP']||[]||BURGEAP recommande lors du diagnostic de février 2010, le contrôle de la qualité des eaux souterraines au droit du site à une fréquence semestrielle sur trois piézomètres (PZ2, PZ4 et PZ6) pour une durée minimale de quatre ans.

51l0l2||Non||51l0l1||51l0l0||Non||Non||Non||[]||[]||Un piézomètre de 21 mètres de profondeur (PZ9) a été mis en place le 18/10/2012.

