3l0l2||Non||3l0l1||3l0l0||Non||Non||Non||[]||[]||Cette société a été mise en liquidation judiciaire en septembre 2001.

4l0l3||Non||4l0l0||Non||Non||4l0l2||4l0l1||[]||['hydrocarbures', 'trichloréthylène']||Le diagnostic initial de la qualité des sols établi en juillet 2004 (20 sondages) a mis en évidence la présence d’hydrocarbures (zone du local chaufferie) et de trichloréthylène (1 sondage).

12l0l0||Non||12l0l3||12l0l1||Non||Non||Non||[]||[]||En décembre 2006, un dossier de travaux de dépollution et d’enlèvement des déchets a été déposé (complété en dernier lieu en mai 2008) où il apparaît que l’ensemble des travaux réalisés a permis de dépolluer le site en le rendant apte à de nouvelles activités industrielles ou tertiaires.

18l0l2||Non||18l0l1||Non||Non||Non||Non||['la DRIRE']||[]||Dans son rapport du 30/07/08, la DRIRE a estimé que les éléments transmis répondent aux exigences formulées par l’article R.512-74 du code de l'environnement relatif à la cessation d’activité.

25l0l3||Non||25l0l0||Non||Non||Non||Non||['la communauté de communes du Pilat Rhodanien']||[]||Un courrier en ce sens a été envoyé à la communauté de communes du Pilat Rhodanien le 29 octobre 2012.

26l0l4||26l0l0||26l0l2||26l0l3||Non||Non||Non||['la communauté de communes du Pilat Rhodanien']||[]||En outre, la communauté de communes du Pilat Rhodanien est également propriétaire du site depuis le 1er novembre 2011.

26l0l4||26l1l0||26l0l2||26l0l3||Non||Non||Non||['la communauté de communes du Pilat Rhodanien']||[]||En outre, la communauté de communes du Pilat Rhodanien est également propriétaire du site depuis le 1er novembre 2011.

28l0l1||Non||28l0l0||Non||Non||Non||Non||[]||[]||Un courrier en ce sens a été envoyé le 29 octobre 2012 à la mairie de Saint-Pierre-de-Bœuf.

29l0l3||Non||29l0l0||Non||Non||29l0l2||Non||[]||['hydrocarbures', 'COHV']||Deux campagnes semestrielles de surveillance auraient dû être réalisées, à partir des piézomètres Pz1 à Pz3 (période de hautes et basses eaux) en 2013 et 2014 sur les paramètres hydrocarbures et COHV afin de s’assurer de la compatibilité des eaux souterraines avec l’usage retenu pour la réhabilitation des terrains.

30l0l1||30l0l2||30l0l3||30l0l4||Non||Non||Non||[]||[]||Par mail du 22 mai 2015, l’inspection a reçu les rapports de surveillance des eaux souterraines relatifs aux campagnes réalisées les 26 novembre 2013 et 11 décembre 2014 par le bureau d’études AD Environnement.

30l0l7||Non||30l0l6||Non||Non||Non||Non||[]||[]||Par mail du 22 mai 2015, l’inspection a reçu les rapports de surveillance des eaux souterraines relatifs aux campagnes réalisées les 26 novembre 2013 et 11 décembre 2014 par le bureau d’études AD Environnement.

34l0l1||Non||34l0l0||Non||Non||Non||Non||[]||[]||L’ouvrage Pz1 n’a pas pu être retrouvé en raison de la forte végétation qui s’est développée depuis 2010.  Cet ouvrage doit impérativement être intégré au réseau de surveillance de la nappe lors des futures campagnes ;

37l0l3||Non||37l0l2||Non||Non||Non||Non||['GEOTEC']||['SDB+PZ']||- le piézomètre de remplacement (SDB+PZ) de l’ouvrage Pz1 implanté en mai 2014 par l’agence GEOTEC ne permet pas de prélèvements représentatifs de la qualité des eaux souterraines présentes au droit du site.

