0l0l0||Non||0l0l3||0l0l1||Non||Non||Non||['Établissement BOURNE']||[]||En 1911, une chapellerie (Établissement BOURNE) a été construite.

1l0l0||Non||1l0l2||1l0l1||Non||Non||Non||['messieurs ECUYER et THOMAS']||[]||En 1926, le site est racheté par messieurs ECUYER et THOMAS pour y exercer la même activité.

2l0l0||Non||2l0l2||2l0l1||Non||Non||Non||[]||[]||En 1978, un atelier de teinture sur fils est installé dans un bâtiment annexe.

3l0l0||3l0l1||3l0l4||Non||Non||3l0l3||3l0l5||['TABARY', 'la société ECUYER - THOMAS']||[]||En 1993, monsieur TABARY, gérant de la société ECUYER-THOMAS, déclare la mise en service de cette installation (rubrique 365 pour une quantité inférieure à une tonne).

4l0l0||4l0l1||4l0l2||Non||Non||Non||Non||['les Établissements ECUYER - THOMAS']||[]||En 1996, les Établissements ECUYER-THOMAS cessent leur activité.

4l0l0||4l1l0||4l0l2||Non||Non||Non||Non||['les Établissements ECUYER - THOMAS']||[]||En 1996, les Établissements ECUYER-THOMAS cessent leur activité.

5l0l0||Non||5l0l2||5l0l1||Non||Non||Non||[]||[]||En 1998 , le site est racheté par la mairie de Chazelles-sur-Lyon et les bâtiments sont restés en l’état.

17l0l3||Non||17l0l4||Non||Non||Non||Non||[]||[]||Latéralement à l'ouest du site, est également présent à environ 1,2km le ruisseau des Egouts qui s'écoule vers le nord ouest et se jette en aval dans le ruisseau de l'Anzieu à environ 2 km du site.

26l0l0||26l0l1||26l0l4||Non||Non||26l0l2||Non||['SOCOTEC']||[]||En février 2006, l'inspection a reçu un dossier d’évaluation simplifiée des risques réalisé par SOCOTEC le 05/02/2004 à la demande de la Mairie de Chazelles sur Lyon dans le cadre d'une démolition et de la requalification foncière en habitation du site Ecuyer-Thomas.

26l0l6||Non||26l0l4||Non||Non||Non||Non||['SOCOTEC']||[]||En février 2006, l'inspection a reçu un dossier d’évaluation simplifiée des risques réalisé par SOCOTEC le 05/02/2004 à la demande de la Mairie de Chazelles sur Lyon dans le cadre d'une démolition et de la requalification foncière en habitation du site Ecuyer-Thomas.

39l0l0||39l0l1||39l0l2||39l0l3||Non||Non||Non||["l' EPORA"]||[]||En septembre 2008, l'inspection a reçu un rapport de Norisko Environnement mandaté par l'EPORA pour la conduite d'un diagnostic environnemental approfondi du site ainsi que pour son assistance dans l'élaboration d'une stratégie de dépollution.

40l0l3||Non||40l0l1||Non||Non||40l0l2||Non||[]||[]||En conclusion de ce rapport, Norisko Environnement indique que suite aux résultats obtenus pour la campagne menée le 06/08/2008, et dans le cadre de l'usage futur du site (aménagement en un usage résidentiel avec jardins, parking et éventuels puits), ils recommandent :

