15l0l2||Non||15l0l1||15l0l0||Non||Non||Non||[]||[]||Les premières installations de raffinage sont inaugurées dans les années 30.

16l0l0||16l0l1||16l0l2||Non||Non||Non||Non||[]||[]||Au cours des années suivantes, des agrandissements successifs se sont opérés, ainsi que des fusions entre divers groupes.

21l0l10||Non||21l0l6||21l0l5||Non||Non||Non||[]||[]||Dans le cadre d’une action nationale relative à la réalisation de diagnostics initiaux et d’une évaluation simplifiée des risques, le site a été sélectionné et la réalisation de ces études prescrite par arrêté préfectoral du 5 mars 1999.

23l0l6||Non||23l0l5||23l0l0||Non||Non||Non||[]||['hydrocarbures', 'essence']||Treize incidents pouvant avoir impacté les sols et les eaux souterraines au droit du site ont été recensés depuis les années 1999 : perforation de canalisation, fuites d'hydrocarbures, débordement d'essence, etc.

23l0l6||Non||23l0l7||Non||Non||Non||Non||[]||['hydrocarbures', 'essence']||Treize incidents pouvant avoir impacté les sols et les eaux souterraines au droit du site ont été recensés depuis les années 1999 : perforation de canalisation, fuites d'hydrocarbures, débordement d'essence, etc.

27l0l2||Non||27l0l1||27l0l0||Non||Non||Non||[]||[]||Ces terres ont été traitées en 2005 et un rapport de réception des travaux établi en date du 15/03/2005 ; 326 tonnes de terres ont été envoyées en biocentre.

27l0l5||Non||27l0l4||Non||Non||Non||Non||[]||[]||Ces terres ont été traitées en 2005 et un rapport de réception des travaux établi en date du 15/03/2005 ; 326 tonnes de terres ont été envoyées en biocentre.

36l0l2||Non||36l0l0||Non||Non||36l0l1||Non||['ANTEA']||[]||Un diagnostic des sols a été mené en 2006 et 2007 par ANTEA sur diverses zones du site (Le plan joint indique les zones objets d’investigations).

60l0l1||Non||60l0l0||Non||Non||Non||Non||[]||['stockage des boues éthylées', 'HCT', 'plomb']||• l’ancienne zone de stockage des boues éthylées, après travaux d’excavation en 2005, des anomalies en HCT et en plomb pour environ un quart des sondages (sur 20 environ)

61l0l0||61l0l1||61l0l2||61l0l3||Non||Non||Non||['Total Raffinage']||[]||De mai à novembre 2008, Total Raffinage Marketing a procédé à la dépollution volontaire de la zone dite "La Jallais" située dans l'emprise de la raffinerie.

61l0l0||61l1l0||61l0l2||61l0l3||Non||Non||Non||['Total Raffinage']||[]||De mai à novembre 2008, Total Raffinage Marketing a procédé à la dépollution volontaire de la zone dite "La Jallais" située dans l'emprise de la raffinerie.

62l0l6||Non||62l0l5||Non||Non||Non||Non||[]||[]||Une excavation de sol pollués en zone Bossènes à proximité de la canalisation AM151P5 suite à une fuite en avril 2019 a été réalisée.

71l0l3||Non||71l0l2||Non||Non||Non||Non||[]||['les Hydrocarbures Totaux', 'C10-C40 )', 'HCT', 'le benzène', 'le toluène', 'l’ éthylbenzène', 'les xylènes', '6 Hydrocarbures Aromatiques Polycycliques']||La surveillance régulière opérée depuis 2006 porte sur les Hydrocarbures Totaux (C10-C40) (HCT), le benzène, le toluène, l’éthylbenzène, les xylènes, 6 Hydrocarbures Aromatiques Polycycliques (depuis 2008).

92l0l1||Non||92l0l0||Non||Non||Non||Non||[]||[]||L’analyse du bilan des prélèvements trimestriels opérés en 2018 montre l’évolution suivante:

93l0l1||Non||93l0l0||Non||Non||Non||Non||[]||['surnageant']||• au niveau de Pz 2.32, une augmentation significative de l’épaisseur de surnageant sur les deux dernières campagnes de 2018 : cette tendance sera à vérifier lors des prochaines campagnes de suivi en 2019,

94l0l2||Non||94l0l1||Non||Non||Non||Non||[]||[]||• au niveau de Pz 5.30, le film huileux initialement observé en 2006 est de nouveau observé en 2018, alors qu’il n’avait plus été observé lors des campagnes de 2015.

94l0l4||Non||94l0l1||Non||Non||Non||Non||[]||[]||• au niveau de Pz 5.30, le film huileux initialement observé en 2006 est de nouveau observé en 2018, alors qu’il n’avait plus été observé lors des campagnes de 2015.

94l0l4||Non||94l0l3||Non||Non||Non||Non||[]||[]||• au niveau de Pz 5.30, le film huileux initialement observé en 2006 est de nouveau observé en 2018, alors qu’il n’avait plus été observé lors des campagnes de 2015.

98l0l1||Non||98l0l0||Non||Non||Non||Non||[]||['hydrocarbures', '\xa0 boues \xa0 huileuses', 'propylène']||Cette dernière a été réalisée en novembre/décembre 1999 et en septembre/octobre 2000 suite à la mise en évidence d’une contamination du sous-sol par des hydrocarbures sur un linéaire compris entre le bac de stockage des « boues huileuses » (BH1) et l’aire de stockage propylène.

