1l0l4||Non||1l0l0||Non||Non||1l0l2||Non||[]||['des prescriptions']||Un arrêté préfectoral complémentaire en date du 19 avril 1999 a fixé des prescriptions relatives au stockage de gaz inflammables liquéfiés.

12l0l1||Non||12l0l0||Non||Non||Non||Non||[]||['septembre 2012 .']||Des travaux  ont été effectués au niveau de la station service pour remplacer la canalisation en septembre 2012.

13l0l3||Non||13l0l2||Non||Non||Non||Non||[]||[]||Un premier diagnostic des sols a été réalisé par la société ATI Services en décembre 2012 qui a montré un impact en hydrocarbures dissous au niveau du puits de la station de lavage (ex WAP AUTO), d'une profondeur de 30 mètres.

19l0l3||Non||19l0l2||Non||Non||Non||Non||[]||[]||La pollution est estimée à 5 m3 dans les sols et 25 m3 dans les eaux souterraines, soit un total de produit à récupérer d'environ 30 m3, sur une étendue de 4000 m².

21l0l3||Non||21l0l2||Non||Non||Non||Non||[]||[]||- en mesure d'urgence, une récupération de produit mis en place dès mars 2015 dans les piézomètres présentant une phase flottante, associée à un pompage en PA.

22l0l2||Non||22l0l1||Non||Non||Non||Non||[]||['pollués au droit']||- l'excavation de 250 tonnes de terres pollués au droit de l'ancienne canalisation fuyarde, jusqu'à une profondeur de 4,5 m correspondant à la profondeur maximale atteignable compte tenu des contraintes du site liées à la présence d'un stockage aérien ;

30l0l2||Non||30l0l1||Non||Non||Non||Non||[]||[]||En parallèle de ces travaux, une surveillance de la nappe est effectuée trimestriellement à partir des 8 ouvrages présents sur site (PA, PB, P lavage, Pz 1 à 5).

32l0l1||Non||32l0l0||Non||Non||Non||Non||['et du produit']||[]||- la présence de 2 horizons de perméabilité différente, bloquant la descente de l'eau et du produit jusqu'à des passages préférentiels.

36l0l3||Non||36l0l2||Non||Non||Non||Non||[]||[]||Les résultats des campagnes de surveillance de la qualité des eaux souterraines réalisées au titre de l'année 2016 ont montré la détection de benzène (d'environ 2 µg/L supérieure à la valeur limite réglementaire) en août et d'HCT (48 µg/L) en octobre sur le piézomètre PZ5 installé plus en aval de la source de pollution.

37l0l5||Non||37l0l4||Non||Non||Non||Non||[]||['augmentation', 'mensuelles']||Suite à ces constats, l'inspection des installations classées a demandé à l'exploitant d'apporter les explications correspondantes à l'augmentation de la teneur en BTEX et HCT dans le piézomètre en réalisant des analyses mensuelles.

42l0l1||Non||42l0l0||Non||Non||Non||Non||[]||[]||- les concentrations mesurées sur le Piézomètre positionné plus en aval montrent une évolution de la pollution avec des polluants désormais quantifiables sur cet ouvrage (benzène, toluène, HC).

45l0l0||Non||45l0l1||Non||Non||Non||Non||[]||[]||- des concentrations en hydrocarbures en sortie d’unité de traitement qui augmentent malgré l'installation d'un second filtre à charbon.

48l0l1||Non||48l0l0||Non||Non||Non||Non||[]||["à l' exploitant", 'pollution ,']||Suite à ces constats, l'inspection des installations classées a demandé à l'exploitant de proposer des solutions de traitement plus adaptées à la pollution, afin de s’assurer que cette dernière ne migre pas en aval.

