0l0l4||Non||0l0l2||0l0l0||Non||Non||Non||['la CAPROGA La Meunière', 'la CAPROGA', 'la Meunière']||[]||Les installations de stockage du site de LADON sont exploités par la CAPROGA La Meunière depuis 1970, date d’absorption de la fusion par la CAPROGA la Meunière de la boulangerie de l'arrondissement de MONTARGIS.

11l0l1||11l0l2||11l0l5||Non||Non||11l0l3||Non||['le Préfet du Loiret']||[]||Par arrêté préfectoral du 10 janvier 2017, Monsieur le Préfet du Loiret a prescrit à l’exploitant la réalisation d’investigations environnementales, et en particulier la réalisation d’un diagnostic de sols, dans le cadre de la démolition du bâtiment de stockage d’engrais.

12l0l1||Non||12l0l0||Non||Non||Non||Non||[]||[]||Un diagnostic de pollution des sols, daté du 28 septembre 2016 et complété le 10 août 2017 à la suite de la démolition du bâtiment de stockage d’engrais, a ainsi été transmis par l’exploitant le 4 septembre 2017.

12l0l1||Non||12l0l2||Non||Non||Non||Non||[]||[]||Un diagnostic de pollution des sols, daté du 28 septembre 2016 et complété le 10 août 2017 à la suite de la démolition du bâtiment de stockage d’engrais, a ainsi été transmis par l’exploitant le 4 septembre 2017.

12l0l3||Non||12l0l2||Non||Non||Non||Non||[]||[]||Un diagnostic de pollution des sols, daté du 28 septembre 2016 et complété le 10 août 2017 à la suite de la démolition du bâtiment de stockage d’engrais, a ainsi été transmis par l’exploitant le 4 septembre 2017.

12l0l9||Non||12l0l0||Non||Non||12l0l7||Non||[]||[]||Un diagnostic de pollution des sols, daté du 28 septembre 2016 et complété le 10 août 2017 à la suite de la démolition du bâtiment de stockage d’engrais, a ainsi été transmis par l’exploitant le 4 septembre 2017.

15l0l2||15l0l3||15l0l6||Non||Non||15l0l4||Non||['le Préfet du Loiret']||[]||Par arrêté préfectoral de prescriptions spéciales du 16 mars 2018, Monsieur le Préfet du Loiret a imposé à l’exploitant la réalisation de sondages de sols complémentaires, dans le cadre du diagnostic de l’identification des pollutions du sol, la mise en place d’un réseau de surveillance de la qualité des eaux souterraines et la définition de mesures de gestion de la pollution.

16l0l3||Non||16l0l0||Non||Non||16l0l2||Non||[]||[]||Les résultats de la campagne de surveillance de la qualité des eaux souterraines, réalisée en décembre 2018 à l’aide du réseau piézométrique, constitué de trois ouvrages, installé en 2018 par l’exploitant, a mis en évidence :

16l0l6||Non||16l0l5||Non||Non||Non||Non||[]||[]||Les résultats de la campagne de surveillance de la qualité des eaux souterraines, réalisée en décembre 2018 à l’aide du réseau piézométrique, constitué de trois ouvrages, installé en 2018 par l’exploitant, a mis en évidence :

