6l0l3||Non||6l0l2||Non||Non||Non||Non||[]||['carburants']||Une activité de stockage et de distribution de carburants était exercée depuis 1956.

7l0l3||Non||7l0l2||7l0l0||Non||Non||Non||[]||[]||Un récépissé de déclaration a été délivré en date du 16 mai 1990 au nom de l’établissement HAYE et CHAPUS.

8l0l1||Non||8l0l0||Non||Non||Non||Non||['HYDRO - MECA SARL']||[]||Un transfert d’exploitation en date du 11 juin 2007 est réalisé au nom de HYDRO-MECA SARL.

17l0l4||Non||17l0l2||Non||Non||Non||Non||['La société CPO']||[]||La société CPO - Pont Fouchard se présente comme étant le dernier exploitant de la station service qui a cessé son activité le 1er novembre 2010.

17l0l4||Non||17l0l3||Non||Non||Non||Non||['La société CPO']||[]||La société CPO - Pont Fouchard se présente comme étant le dernier exploitant de la station service qui a cessé son activité le 1er novembre 2010.

18l0l11||Non||18l0l8||Non||Non||18l0l10||Non||['service ELAN', 'la société CPO']||[]||Souhaitant connaître l’état environnemental du sous-sol de la station service ELAN, la société CPO - Pont Fouchard a mandaté un bureau d’étude pour la réalisation d’un diagnostic de la pollution des sols, réalisé les 14 et 26 avril 2010.

24l0l1||Non||24l0l0||Non||Non||Non||Non||[]||['hydrocarbures', 'hydrocarbures']||Les investigations menées le 20 et 31 mai 2010, ainsi qu’en novembre 2010 ont mis en évidence une migration des hydrocarbures en profondeur au droit de la zone des cuves et une dispersion de ces hydrocarbures dans les sols de la zone de battement de la nappe et dans les eaux souterraines, à l’aval hydraulique des cuves.

24l0l3||Non||24l0l2||Non||Non||Non||Non||[]||['hydrocarbures', 'hydrocarbures']||Les investigations menées le 20 et 31 mai 2010, ainsi qu’en novembre 2010 ont mis en évidence une migration des hydrocarbures en profondeur au droit de la zone des cuves et une dispersion de ces hydrocarbures dans les sols de la zone de battement de la nappe et dans les eaux souterraines, à l’aval hydraulique des cuves.

28l0l1||Non||28l0l0||Non||Non||Non||Non||[]||[]||Les travaux se sont déroulés du 27 juin au 8 juillet 2011.

36l0l4||Non||36l0l0||Non||Non||36l0l3||36l0l1||[]||['hydrocarbures']||Des travaux de dépollution des eaux souterraines, consistant en l’injection dans le sous-sol d’une solution qui favorise le processus de biodégradation des hydrocarbures, ont également été effectuées du 1er au 5 août 2011, ainsi que la mise en place d’un suivi analytique (suivi mensuel au niveau des piézomètres 2bis, 4 et 5) sur une période de 12 mois (1er analyse le 21/09/2011 et dernière analyse le 24/10/2012).

36l0l6||Non||36l0l0||Non||Non||36l0l3||36l0l1||[]||['hydrocarbures']||Des travaux de dépollution des eaux souterraines, consistant en l’injection dans le sous-sol d’une solution qui favorise le processus de biodégradation des hydrocarbures, ont également été effectuées du 1er au 5 août 2011, ainsi que la mise en place d’un suivi analytique (suivi mensuel au niveau des piézomètres 2bis, 4 et 5) sur une période de 12 mois (1er analyse le 21/09/2011 et dernière analyse le 24/10/2012).

36l0l8||Non||36l0l7||Non||Non||Non||Non||[]||['hydrocarbures']||Des travaux de dépollution des eaux souterraines, consistant en l’injection dans le sous-sol d’une solution qui favorise le processus de biodégradation des hydrocarbures, ont également été effectuées du 1er au 5 août 2011, ainsi que la mise en place d’un suivi analytique (suivi mensuel au niveau des piézomètres 2bis, 4 et 5) sur une période de 12 mois (1er analyse le 21/09/2011 et dernière analyse le 24/10/2012).

36l0l10||Non||36l0l9||Non||Non||Non||Non||[]||['hydrocarbures']||Des travaux de dépollution des eaux souterraines, consistant en l’injection dans le sous-sol d’une solution qui favorise le processus de biodégradation des hydrocarbures, ont également été effectuées du 1er au 5 août 2011, ainsi que la mise en place d’un suivi analytique (suivi mensuel au niveau des piézomètres 2bis, 4 et 5) sur une période de 12 mois (1er analyse le 21/09/2011 et dernière analyse le 24/10/2012).

37l0l4||Non||37l0l5||Non||Non||Non||Non||[]||[]||Ce suivi analytique a été effectué et a démontré, au droit du Pz2bis, qu’une phase surnageante décelée durant cette campagne avait diminué puis disparu, dû a la remontée des eaux souterraines.

40l0l1||Non||40l0l0||Non||Non||Non||Non||[]||[]||Un traitement par stripping a ensuite été effectué en avril 2013, dû à la persistance de la pollution des eaux souterraines.

43l0l3||43l0l1||43l0l2||Non||Non||Non||Non||[]||['benzène', 'xylène']||En raison des concentrations en benzène et xylène demeurant élevées au droit du puits de pompage, le traitement des eaux souterraines par stripping s’est poursuivi sur une période supplémentaire de 3 mois, ainsi que le suivi des eaux souterraines au niveau des puits de pompage (différents de piézomètres).

44l0l6||Non||44l0l4||Non||Non||44l0l5||Non||[]||[]||En complément des travaux de dépollution effectués par le même bureau d’étude, une Analyse des Risques Résiduels (ARR) a été réalisée le 22/05/2014 afin de s’assurer que les travaux de dépollution soient compatibles avec un aménagement projeté (usage commercial).

48l0l2||Non||48l0l0||48l0l1||Non||Non||Non||[]||[]||La mise à jour de l’ARR en date du 08/12/2014, prend en compte comme cible les adultes travaillant sur le site, ainsi que les adultes et les enfants fréquentant les futurs commerces.

58l0l5||58l0l0||58l0l1||58l0l3||Non||Non||Non||['La société CPO']||[]||La société CPO a transmis à l’inspection un nouveau complément au dossier de cessation d’activités le 11 mars 2016.

58l0l5||58l1l0||58l0l1||58l0l3||Non||Non||Non||['La société CPO']||[]||La société CPO a transmis à l’inspection un nouveau complément au dossier de cessation d’activités le 11 mars 2016.

59l0l4||Non||59l0l1||Non||Non||59l0l3||Non||[]||[]||L’exploitant a fournit les résultats d’analyses des campagnes de mesures complémentaires réalisées en novembre 2015, en janvier et en février 2016.

59l0l5||Non||59l0l1||Non||Non||59l0l3||Non||[]||[]||L’exploitant a fournit les résultats d’analyses des campagnes de mesures complémentaires réalisées en novembre 2015, en janvier et en février 2016.

72l0l2||Non||72l0l3||Non||Non||Non||Non||[]||[]||- définir des mesures complémentaires de gestion à mettre en œuvre afin de rendre le site dans un état compatible avec un usage futur comparable à celui de la dernière période d’exploitation de l’installation ;

