0l0l5||Non||0l0l4||Non||Non||Non||Non||['La station service BP']||['de carburant']||La station service BP située avenue de Champagne à REIMS a fait l’objet d’un récépissé de  déclaration en préfecture n° 94-68 le 19 juillet 1994 pour des modifications et la régularisation de la situation administrative de son installation de distribution de carburant.

1l0l2||Non||1l0l0||Non||Non||Non||Non||[]||[]||D’autres modifications ont fait l’objet d’un récépissé n° 2000-140 du 8 septembre 2000.

2l0l9||2l0l0||2l0l1||Non||Non||Non||Non||['le préfet de la Marne', 'la Société BP France']||['bioéthanol']||Monsieur le préfet de la Marne a donné acte à la Société BP France à Cergy Pontoise de sa déclaration de stockage de 15 m3 de bioéthanol (E 85) sur le site de Reims, par récépissé 2007-99 du 20 septembre 2007.

5l0l1||Non||5l0l2||Non||Non||Non||Non||[]||[]||L’inspection des installations classées n’a pas été informée de ces travaux.

6l0l3||6l0l0||6l0l2||Non||Non||6l0l1||Non||[]||[]||Elle a réalisé une visite inopinée le jour même.

7l0l1||Non||7l0l2||Non||Non||Non||Non||[]||[]||Les conclusions de l’évaluation de la qualité du sous-sol en date du 16 octobre 2006, des investigations complémentaires en date du 6 novembre 2006, de l’évaluation sommaire des risques sanitaires en date du 1er décembre 2006 et des investigations complémentaires en date du 1er juin 2007 :

7l0l3||Non||7l0l2||Non||Non||Non||Non||[]||[]||Les conclusions de l’évaluation de la qualité du sous-sol en date du 16 octobre 2006, des investigations complémentaires en date du 6 novembre 2006, de l’évaluation sommaire des risques sanitaires en date du 1er décembre 2006 et des investigations complémentaires en date du 1er juin 2007 :

7l0l5||Non||7l0l4||Non||Non||Non||Non||[]||[]||Les conclusions de l’évaluation de la qualité du sous-sol en date du 16 octobre 2006, des investigations complémentaires en date du 6 novembre 2006, de l’évaluation sommaire des risques sanitaires en date du 1er décembre 2006 et des investigations complémentaires en date du 1er juin 2007 :

7l0l7||Non||7l0l6||Non||Non||Non||Non||[]||[]||Les conclusions de l’évaluation de la qualité du sous-sol en date du 16 octobre 2006, des investigations complémentaires en date du 6 novembre 2006, de l’évaluation sommaire des risques sanitaires en date du 1er décembre 2006 et des investigations complémentaires en date du 1er juin 2007 :

12l0l2||Non||12l0l1||12l0l0||Non||Non||Non||[]||[]||De ce fait, un arrêté a été pris le 25/01/2008 à l'encontre de l'exploitant tenu de réaliser des travaux de dépollution des eaux souterraines et du sol (composés volatils et semi-volatils), de mettre en place une surveillance de la nappe souterraine et de réaliser les autres investigations prévues par l'arrêté.

16l0l2||Non||16l0l3||Non||Non||16l0l4||Non||[]||[]||Conformément aux prescriptions à l'arrêté préfectoral du 25 janvier 2008, une étude hydrogéologique a été menée, qui a conclu l'absence de risque de contamination du champ captant de Fléchambeault exploité par la Ville de Reims pour l'alimentation en eau potable et localisé en  aval hydraulique du site.

