0l0l2||0l0l0||0l0l1||Non||Non||Non||Non||['MCB Industrie SA']||[]||Le site est en activité depuis 1964 (anciennement appelé MCB Industrie SA) pour la fabrication de composants électroniques (essentiellement des résistances, capteurs et potentiomètres) pour les secteurs aéronautiques, ferroviaires et militaires.

3l0l1||Non||3l0l0||Non||Non||Non||Non||[]||['Trichloroéthylène', 'TCE']||- Trichloroéthylène (TCE): Utilisation historique (arrêt total d'utilisation début 2012) ;

5l0l0||Non||5l0l1||Non||Non||Non||Non||[]||['solvants usagés']||- Rejets des solvants usagés sur site ("bac à sable"): antérieur à 1980 puis élimination en filière agréée hors-site.

7l0l2||Non||7l0l0||Non||Non||Non||Non||[]||[]||Les investigations ont été réalisées au droit du site entre juillet 2012 et juin 2013.

14l0l3||Non||14l0l2||Non||Non||Non||Non||[]||['solvants chlorés']||L'exploitant déclare que le recours aux solvants chlorés dans les procédés a été abandonné dans les années 2000.

15l0l0||15l0l1||15l0l2||15l1l0||Non||Non||Non||[]||['trichloréthylène', 'TCE']||Depuis 2012, le site n’emploie plus de trichloréthylène (TCE).

22l0l4||Non||22l0l0||Non||Non||22l0l3||Non||[]||[]||Les travaux d’investigations complémentaires menés au droit du site MCB Industries se sont déroulés du 8 au 11 juillet 2014.

47l0l0||47l0l1||47l0l3||Non||Non||47l0l2||Non||['la société Vishay MCB Industrie SA']||[]||En janvier 2016 et octobre 2016, la société Vishay MCB Industrie SA a poursuivi les investigations environnementales au droit de son site (suivi eaux souterraines sur site et hors site et suivi des gaz du sol hors site).

47l0l0||47l1l0||47l0l3||Non||Non||47l0l2||Non||['la société Vishay MCB Industrie SA']||[]||En janvier 2016 et octobre 2016, la société Vishay MCB Industrie SA a poursuivi les investigations environnementales au droit de son site (suivi eaux souterraines sur site et hors site et suivi des gaz du sol hors site).

49l0l1||Non||49l0l0||Non||Non||Non||Non||[]||['en COHV']||- suivi eaux souterraines (sur site et hors site) : les concentrations mesurées en COHV en octobre 2016 confirment les constats relevés lors des précédentes campagnes.

53l0l3||53l0l0||53l0l1||53l0l2||Non||Non||Non||[]||[]||Le bureau d'étude recommande la réalisation de deux campagnes de suivi hors site sur les eaux souterraines et gaz du sol en 2017, en périodes de hautes eaux et de basses eaux.

53l0l4||53l0l0||53l0l1||53l0l2||Non||Non||Non||[]||[]||Le bureau d'étude recommande la réalisation de deux campagnes de suivi hors site sur les eaux souterraines et gaz du sol en 2017, en périodes de hautes eaux et de basses eaux.

53l0l4||Non||53l0l5||Non||Non||Non||Non||[]||[]||Le bureau d'étude recommande la réalisation de deux campagnes de suivi hors site sur les eaux souterraines et gaz du sol en 2017, en périodes de hautes eaux et de basses eaux.

