11l0l2||Non||11l0l3||Non||Non||Non||Non||['sécurité']||[]||En avril 2018, le site est mis en sécurité mais la remise en état reste à réaliser.

19l0l3||Non||19l0l1||Non||Non||19l0l2||Non||[]||[]||- 21 au 26 juillet 2016 : intervention pour le curage des terres polluées par des hydrocarbures avec le retrait de 377,24 tonnes de terres envoyées en filières agréées au centre SECHE de Changé.

19l0l3||Non||19l0l0||Non||Non||Non||Non||[]||[]||- 21 au 26 juillet 2016 : intervention pour le curage des terres polluées par des hydrocarbures avec le retrait de 377,24 tonnes de terres envoyées en filières agréées au centre SECHE de Changé.

20l0l0||Non||20l0l1||Non||Non||Non||Non||[]||[]||- En juillet 2016: démantèlement des infrastructures pétrolières (cuves).

21l0l0||Non||21l0l1||Non||Non||Non||Non||[]||[]||- 30 août 2016: 10 sondages sols pour définir l’état des sols en périphérie du parc à cuves et de la fouille des terres excavées.

22l0l0||Non||22l0l4||Non||Non||Non||Non||[]||[]||Une zone de pollution résiduelle au droit de la zone de stockage et de distribution de carburants a été identifiée.

28l0l8||Non||28l0l9||Non||Non||Non||Non||['hydrocarbures']||['limite technique au droit de l’']||Suite aux résultats des analyses sur les sols en flanc et fond de fouilles, il persiste une pollution résiduelle en limite technique au droit de l’ancienne zone de stockage de carburant du fait de la dalle béton qui a été conservée sur demande de l’exploitant : paroi Sud : 1500 mg/kg d’hydrocarbures avec pour limite technique le réseau assainissement collectif, paroi sous dalle : 4000 mg/kg d’hydrocarbures, avec pour limite technique la présence d’une dalle béton en surface dont Sud : 11100 mg/kg d’hydrocarbures.

32l0l1||Non||32l0l0||Non||Non||Non||Non||[]||['du cours d’ eau .']||Le rapport de cessation d'activité mentionne que la zone d’étude comprenant diverses entreprises et parkings dont les rejets peuvent influer la qualité du cours d’eau.

34l0l4||Non||34l0l5||Non||Non||Non||Non||[]||[]||De plus, l’exploitant n’a pas réalisé d’investigations complémentaires concernant l’écoulement des eaux souterraines et leur utilisation autour du site afin d’identifier des puits ou forage en aval hydraulique du site (flèche bleue sur le plan).

34l0l6||Non||34l0l5||Non||Non||Non||Non||[]||[]||De plus, l’exploitant n’a pas réalisé d’investigations complémentaires concernant l’écoulement des eaux souterraines et leur utilisation autour du site afin d’identifier des puits ou forage en aval hydraulique du site (flèche bleue sur le plan).

