6l0l2||Non||6l0l1||6l0l0||Non||Non||Non||[]||[]||L'usine a été exploitée jusqu'au 1er septembre 1998, date de l'arrêt du dernier haut-fourneau.

10l0l6||10l0l0||10l0l1||10l1l1||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l6||10l0l0||10l0l1||10l0l2||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l6||10l1l0||10l0l1||10l1l1||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l6||10l1l0||10l0l1||10l0l2||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l9||10l0l0||10l0l1||10l1l1||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l9||10l0l0||10l0l1||10l0l2||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l9||10l1l0||10l0l1||10l1l1||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l9||10l1l0||10l0l1||10l0l2||Non||Non||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

10l0l9||Non||10l0l8||Non||Non||10l0l7||Non||['La société SOLLAC', 'le Préfet']||[]||La société SOLLAC a informé le Préfet de l’arrêt de l’exploitation de son usine en juillet 1998 et a transmis un diagnostic du site en septembre 1998.

11l0l5||Non||11l0l3||Non||Non||Non||Non||[]||[]||Dans le cadre de l’article 34.1 du décret n°77-1133 du 21 septembre 1977, des mesures de remise en état du site et la réalisation d’études de sols ont été prescrites par arrêté préfectoral n°98-AG/2-243 en date du 17 novembre 1998.

18l0l3||Non||18l0l2||Non||Non||Non||Non||[]||['fioul']||Il convient de préciser que les prélèvements effectués dans le cadre de l’étude d’octobre 2004 au niveau des sources de pollution SP2 (bassins de décantation), SP3 (anciens réservoirs à fioul) et SP8 (ancienne station d’épuration des eaux) ont été réalisés dans les remblais ayant servi à combler ces zones.

29l0l2||Non||29l0l0||Non||Non||Non||Non||[]||[]||Au vu de ces éléments, il a été imposé, par arrêté préfectoral n°2005-AG/2-468 du 15 décembre 2005, de :

34l0l2||Non||34l0l0||Non||Non||34l0l1||Non||[]||[]||Une étude hydrogéologique a donc été réalisée en février 2006 (rapport RC/L 11609) afin de proposer un réseau de surveillance adapté de la qualité des eaux souterraines au droit du site.

37l0l1||Non||37l0l2||Non||Non||37l0l4||Non||[]||[]||Enfin, afin de répondre aux prescriptions de l’arrêté préfectoral du 15 décembre 2005, l’étude intitulée « Diagnostic initial – travaux complémentaires » (rapport RC 11546 de juillet 2006) a été réalisée.

48l0l2||48l0l0||48l0l1||48l0l3||Non||Non||Non||['la société SOLLAC']||[]||Sur la base de l’ensemble de ces éléments, l’Inspection des Installations Classées a dressé le 21 février 2007 un procès-verbal de récolement attestant que le site des hauts-fourneaux de Rombas anciennement exploité par la société SOLLAC, a été remis dans un état compatible avec un usage industriel.

