0l0l4||0l0l2||0l0l3||Non||Non||Non||Non||[]||['produits chimiques', 'ammoniac', "sulfate d' ammonium"]||- Ancienne unité de fabrication de produits chimiques (ammoniac, sulfate d'ammonium) dont les activités ont cessé en 2002.

1l0l3||Non||1l0l2||Non||Non||Non||Non||[]||[]||- Le site a été entièrement démantelé (mémoire de cessation d'activité du 12/07/2002).

6l0l2||Non||6l0l1||Non||Non||Non||Non||[]||[]||- Une surveillance des eaux souterraines a été imposée en mai 2002 mais n'a toujours pas été mise en place.

8l0l0||Non||8l0l2||8l0l1||Non||Non||Non||[]||[]||-Entre 2002 et 2004, les installations (18 bâtiments) ont été démantelées et les déchets présents sur le site ont été évacués vers des filières d'élimination ou de valorisation appropriées.

9l0l8||Non||9l0l6||Non||Non||Non||Non||[]||[]||L’arrêté préfectoral de janvier 2007 imposait à l'exploitant le dépôt d'un dossier de demande d'instauration de servitude d'utilité publique (déposé par l'exploitant en mai 2007), un dossier de fin de travaux de remise en état du site (déposé par l'exploitant en mars 2007) et proposait une surveillance des eaux souterraines (inclus dans la demande d'institution de servitude d'utilité publique de mai 2007).

9l0l12||9l0l0||9l0l4||Non||Non||9l0l2||9l0l5||[]||[]||L’arrêté préfectoral de janvier 2007 imposait à l'exploitant le dépôt d'un dossier de demande d'instauration de servitude d'utilité publique (déposé par l'exploitant en mai 2007), un dossier de fin de travaux de remise en état du site (déposé par l'exploitant en mars 2007) et proposait une surveillance des eaux souterraines (inclus dans la demande d'institution de servitude d'utilité publique de mai 2007).

9l0l17||9l0l0||9l0l4||Non||Non||9l0l2||9l0l5||[]||[]||L’arrêté préfectoral de janvier 2007 imposait à l'exploitant le dépôt d'un dossier de demande d'instauration de servitude d'utilité publique (déposé par l'exploitant en mai 2007), un dossier de fin de travaux de remise en état du site (déposé par l'exploitant en mars 2007) et proposait une surveillance des eaux souterraines (inclus dans la demande d'institution de servitude d'utilité publique de mai 2007).

10l0l3||Non||10l0l2||Non||Non||Non||Non||[]||[]||Suite à cela, un dossier d'analyse des risques résiduels du site a été réalisé en avril 2007

14l0l5||Non||14l0l4||Non||Non||Non||Non||[]||[]||Le site dispose de quatre piézomètres et cinq piezairs installés en 2001 par les bureaux d'études.

