8l0l3||Non||8l0l1||8l0l0||Non||Non||Non||[]||["d' huiles usagées"]||Une première pollution des sols avait été repérée au droit du site en mai 2005, suite à la détection d'un défaut d'étanchéité sur une cuve enterrée d'huiles usagées.

9l0l5||Non||9l0l2||9l0l0||Non||Non||Non||[]||['hydrocarbures']||Une contamination par ces hydrocarbures avait été diagnostiquée au cours des travaux de démantèlement de la cuve défectueuse, les 22 et 23 septembre 2005.

12l0l2||Non||12l0l7||Non||Non||12l0l8||Non||['TOTAL France']||['Supercarburant 98']||Dans le cadre de la découverte, à la fin du mois de décembre 2006, d'une fuite de 800 à 1000 litres de Supercarburant 98 au niveau d'un volucompteur multiproduits, une étude environnementale des sols a été initiée par TOTAL France.

13l0l1||Non||13l0l0||Non||Non||Non||Non||[]||[]||Les investigations réalisées en janvier-février 2007 suite à l'incident se sont focalisées autour du volucompteur incriminé :

17l0l1||Non||17l0l0||Non||Non||Non||Non||[]||[]||Un compte-rendu de ces investigations a été transmis au mois de juin 2007.

25l0l2||Non||25l0l1||Non||Non||Non||Non||[]||['polluants']||Un suivi de la qualité des eaux souterraines a été mis en place en 2007 afin de caractériser l'évolution des teneurs en polluants et pouvoir détecter toute migration de la pollution hors site.

26l0l1||Non||26l0l0||Non||Non||Non||Non||[]||[]||Après des campagnes de prélèvements et analyses en janvier 2007, février 2007 puis août 2009, le bilan de ce suivi transmis en septembre 2009 ne fait état d'aucun impact significatif dans les eaux souterraines et superficielles au droit du site et en aval hydrologique.

26l0l4||Non||26l0l3||Non||Non||Non||Non||[]||[]||Après des campagnes de prélèvements et analyses en janvier 2007, février 2007 puis août 2009, le bilan de ce suivi transmis en septembre 2009 ne fait état d'aucun impact significatif dans les eaux souterraines et superficielles au droit du site et en aval hydrologique.

28l0l3||Non||28l0l1||28l0l2||Non||Non||Non||[]||['HAP', 'hydrocarbures aromatiques polycycliques']||En réponse à une demande de l'inspection des installations classées en date du 25 mars 2010, l'exploitant a confirmé en juin 2010 le maintien de la surveillance annuelle des eaux souterraines, avec notamment la quantification des HAP (hydrocarbures aromatiques polycycliques), jusqu'à ce que les sources et voies de transfert des pollutions soient inactives.

28l0l3||28l0l4||28l0l7||Non||Non||28l0l5||Non||[]||['HAP', 'hydrocarbures aromatiques polycycliques']||En réponse à une demande de l'inspection des installations classées en date du 25 mars 2010, l'exploitant a confirmé en juin 2010 le maintien de la surveillance annuelle des eaux souterraines, avec notamment la quantification des HAP (hydrocarbures aromatiques polycycliques), jusqu'à ce que les sources et voies de transfert des pollutions soient inactives.

28l0l6||28l0l4||28l0l7||Non||Non||28l0l5||Non||[]||['HAP', 'hydrocarbures aromatiques polycycliques']||En réponse à une demande de l'inspection des installations classées en date du 25 mars 2010, l'exploitant a confirmé en juin 2010 le maintien de la surveillance annuelle des eaux souterraines, avec notamment la quantification des HAP (hydrocarbures aromatiques polycycliques), jusqu'à ce que les sources et voies de transfert des pollutions soient inactives.

