11l0l0||Non||11l0l2||11l0l1||Non||Non||Non||[]||[]||De 1995 à 2004, plusieurs incidents sont survenus au niveau de la station service :

17l0l0||Non||17l0l6||17l0l5||Non||Non||Non||['la société Lagarde']||[]||4 mars 2005: suite à la pollution de décembre 2004 et considérant que ladite pollution pouvait porter atteinte à l'environnement immédiat du site, la société Lagarde Distribution a été contrainte par arrêté préfectoral de réaliser les études suivantes :

17l0l0||Non||17l0l6||17l1l0||Non||Non||Non||['la société Lagarde']||[]||4 mars 2005: suite à la pollution de décembre 2004 et considérant que ladite pollution pouvait porter atteinte à l'environnement immédiat du site, la société Lagarde Distribution a été contrainte par arrêté préfectoral de réaliser les études suivantes :

20l0l2||Non||20l0l0||Non||Non||20l0l1||Non||[]||[]||Le diagnostic approfondi avait débuté le 16 novembre 2004 avec une première reconnaissance des sols.

21l0l0||Non||21l0l1||Non||Non||Non||Non||[]||[]||Au 27 avril 2005, 15 sondages avaient été réalisés dont 6 équipés de piézomètres.

30l0l4||Non||30l0l1||Non||Non||30l0l3||Non||[]||[]||Suite à ces conclusions, une évaluation simplifiée des risques (et non une évaluation détaillée des risques comme prescrit par l'arrêté préfectoral susvisé) a été transmise le 30 décembre 2005.

33l0l0||Non||33l0l2||33l0l1||Non||Non||Non||[]||[]||En mars 2006, un planning de réhabilitation avait été proposé à l'inspection des installations classées.

36l0l2||Non||36l0l1||Non||Non||Non||Non||[]||[]||Le contrôle trimestriel de la qualité des eaux souterraines devait être maintenu pendant la durée des travaux ;

40l0l2||Non||40l0l0||Non||Non||40l0l1||Non||[]||[]||Les travaux de réhabilitation des sols pollués ont débuté le 6 novembre 2006.

41l0l3||Non||41l0l1||Non||Non||41l0l2||Non||[]||['HCT', 'HAP']||Suite à cette première phase de travaux effectuée au cours de l'hiver 2006-2007, les analyses de relevés piézométriques de mars 2007 indiquaient - en dépit de fluctuations des concentrations - la persistance d'un impact en HCT et HAP dans les eaux souterraines, et plus particulièrement dans les ouvrages PZ2 et PZ3.

41l0l5||Non||41l0l4||Non||Non||Non||Non||[]||['HCT', 'HAP']||Suite à cette première phase de travaux effectuée au cours de l'hiver 2006-2007, les analyses de relevés piézométriques de mars 2007 indiquaient - en dépit de fluctuations des concentrations - la persistance d'un impact en HCT et HAP dans les eaux souterraines, et plus particulièrement dans les ouvrages PZ2 et PZ3.

42l0l2||Non||42l0l0||Non||Non||42l0l1||Non||[]||[]||Le traitement in-situ des sols et des eaux souterraines par voie biologique a été réalisé sur une durée de plus de trois ans, entre le 2 octobre 2007 et le 20 octobre 2010.

42l0l3||Non||42l0l0||Non||Non||42l0l1||Non||[]||[]||Le traitement in-situ des sols et des eaux souterraines par voie biologique a été réalisé sur une durée de plus de trois ans, entre le 2 octobre 2007 et le 20 octobre 2010.

43l0l3||Non||43l0l4||Non||Non||Non||Non||[]||['hydrocarbures', 'traces']||Au 1er octobre 2012, un bilan du suivi semestriel de la qualité des eaux souterraines indique une évolution favorable depuis la fin des travaux : seul un léger impact par des hydrocarbures (traces) est encore détectable dans les piézomètres Pz1, Pz4-Pz6 ainsi que le puits particulier en aval du site.

