2l0l1||2l0l0||2l0l3||2l0l2||Non||Non||Non||['Clottées a été placé en liquidation', 'puisque les activités']||[]||Le site des Clottées a été placé en liquidation judiciaire puisque les activités n’étaient pas intégrée dans l’offre déposée par la société Auréa qui ne concernait la reprise du site MBM des Randonnays.

4l0l3||Non||4l0l1||Non||Non||Non||Non||[]||['tubes à rayonnement']||La société MBM réceptionnait des écrans TRC (tubes à rayonnement cathodique) collectés par les éco-organismes afin de les traiter par démontage et séparation des différents éléments qui les constituent.

13l0l4||Non||13l0l7||Non||Non||Non||Non||['des', 'déchets , nouveau']||[]||Un arrêté préfectoral complémentaire du 5 novembre 2013 visant à renforcer l’encadrement des activités du site des Clottées, a intégré les évolutions réglementaires concernant les déchets (hiérarchie des déchets, nouveau règlement européen sur les transferts de déchets, registre déchets...).

17l0l5||Non||17l0l4||Non||Non||Non||Non||[]||['activité et d’ évacuer l’ ensemble des']||Un arrêté préfectoral de mise en demeure a été pris à l'encontre du liquidateur, agissant es qualité, le 16 juillet 2014 afin de déclarer la cessation d'activité et d’évacuer l’ensemble des déchets encore présents sur le site notamment les déchets dangereux (poudres luminescentes) que les producteurs initiaux ne prendront pas en charge.

17l0l5||Non||17l0l6||Non||Non||Non||Non||[]||['activité et d’ évacuer l’ ensemble des']||Un arrêté préfectoral de mise en demeure a été pris à l'encontre du liquidateur, agissant es qualité, le 16 juillet 2014 afin de déclarer la cessation d'activité et d’évacuer l’ensemble des déchets encore présents sur le site notamment les déchets dangereux (poudres luminescentes) que les producteurs initiaux ne prendront pas en charge.

18l0l2||Non||18l0l3||Non||Non||Non||Non||[]||['.']||Ce dernier a en effet demandé aux deux éco-organismes intervenant dans la filière concernant les déchets de tubes à rayonnement cathodique (Eco-Systèmes et Eco-Logic), de reprendre les déchets qu’ils avaient confiés à la société MBM.

18l0l2||Non||18l0l4||Non||Non||Non||Non||[]||['.']||Ce dernier a en effet demandé aux deux éco-organismes intervenant dans la filière concernant les déchets de tubes à rayonnement cathodique (Eco-Systèmes et Eco-Logic), de reprendre les déchets qu’ils avaient confiés à la société MBM.

20l0l3||Non||20l0l2||Non||Non||Non||Non||['procédure de redressement']||[]||Dans le cadre de la procédure de redressement judiciaire, le mandataire avait missionné un bureau d'études spécialisé en environnement chargé de réaliser des investigations sur l'état des terrains anciennement occupés par la société MBM.

20l0l6||Non||20l0l5||Non||Non||Non||Non||['procédure de redressement']||[]||Dans le cadre de la procédure de redressement judiciaire, le mandataire avait missionné un bureau d'études spécialisé en environnement chargé de réaliser des investigations sur l'état des terrains anciennement occupés par la société MBM.

