2l0l2||Non||2l0l1||2l0l0||Non||Non||Non||[]||['fioul lourd']||Une chaufferie urbaine y est exploitée depuis 1978 utilisant à l'origine 4 chaudières utilisant du fioul lourd, puis du gaz naturel comme carburants.

3l0l0||Non||3l0l3||3l0l1||Non||Non||Non||[]||[]||En 2000, deux moteurs à cogénération au gaz naturel ont été installé.

4l0l0||Non||4l0l2||4l0l1||Non||Non||Non||[]||[]||En 2013, deux échangeurs thermiques connectés à l'incinérateur sont installés.

5l0l0||5l0l1||5l0l3||Non||Non||5l0l2||Non||['la société COFELY SERVICE']||['fioul lourd', 'fioul']||En 2016, la société COFELY SERVICE déclare la cessation des activités de combustion de fioul lourd, avec le démantèlement des cuves de stockage de fioul et d'une chaudière.

10l0l4||Non||10l0l3||10l0l0||Non||Non||Non||['MALETRA']||[]||La firme MALETRA et l'usine du Petit Quevilly sont fondées en 1808.

12l0l0||Non||12l0l1||Non||Non||Non||Non||[]||[]||En 1873, un nouvel essor est donné au site avec l'acquisition de 18 hectares supplémentaires.

13l0l0||13l0l1||13l0l2||Non||Non||Non||Non||['les établissements MALETRA', 'les établissements Bozel', 'Bozel - Maletra']||[]||En 1925, les établissements MALETRA fusionnent avec les établissements Bozel-Lamotte sous l'appellation Bozel-Maletra.

13l0l0||13l1l0||13l0l2||Non||Non||Non||Non||['les établissements MALETRA', 'les établissements Bozel', 'Bozel - Maletra']||[]||En 1925, les établissements MALETRA fusionnent avec les établissements Bozel-Lamotte sous l'appellation Bozel-Maletra.

15l0l0||Non||15l0l1||Non||Non||Non||Non||['la société NOBEL Française', 'Nobel - Bozel SA']||['Dynamite']||En 1957, une nouvelle fusion est réalisée avec la société NOBEL Française, spécialisée dans la fabrication de la Dynamite et l'élaboration de produits chimiques et de matières plastiques, sous l'appellation Nobel-Bozel SA.

16l0l0||Non||16l0l2||16l0l1||Non||Non||Non||[]||[]||En 1965, l'usine de Petit Quevilly est fermée.

19l0l0||Non||19l0l2||19l0l1||Non||Non||Non||['la société']||[]||En 1971, les infrastructures de l'usine sont démantelées et les terrains commercialisés par la société d'aménagement de la Région de Rouen.

20l0l3||Non||20l0l1||20l0l0||Non||Non||Non||['carrière " MALETRA "']||[]||La carrière "MALETRA" est quant à elle stoppée et comblée dans les années 1962-1963, date à laquelle la cité "Maurice Thorez" a été construite au Petit Quevilly.

20l0l3||Non||20l0l1||20l1l0||Non||Non||Non||['carrière " MALETRA "']||[]||La carrière "MALETRA" est quant à elle stoppée et comblée dans les années 1962-1963, date à laquelle la cité "Maurice Thorez" a été construite au Petit Quevilly.

38l0l2||Non||38l0l1||38l0l0||Non||Non||Non||[]||['superphosphates']||Cette activité qui a permis de produire jusqu'à 30 000 t/ans de superphosphates a été arrêtée après 1949.

39l0l2||Non||39l0l1||Non||Non||Non||Non||[]||['acide sulfurique']||La production d'acide sulfurique a dans un premier temps été réalisée à partir de pyrite par le procédé de chambre à plomb puis dés 1900 par contact catalytique.

47l0l6||47l0l3||47l0l5||Non||Non||47l0l4||Non||['la société COFELY SERVICES']||['fioul']||Dans le cadre de la cessation partielle d'activités (fin de la combustion de fioul) la société COFELY SERVICES a remis une étude de sols datée du 2 mai 2017, avec 18 points de prélèvement répartis sur le site s'échelonnant de 0,05 à 2,7m de profondeur.

47l0l6||47l1l1||47l0l5||Non||Non||47l0l4||Non||['la société COFELY SERVICES']||['fioul']||Dans le cadre de la cessation partielle d'activités (fin de la combustion de fioul) la société COFELY SERVICES a remis une étude de sols datée du 2 mai 2017, avec 18 points de prélèvement répartis sur le site s'échelonnant de 0,05 à 2,7m de profondeur.

47l0l6||Non||47l0l5||Non||Non||Non||Non||['la société COFELY SERVICES']||['fioul']||Dans le cadre de la cessation partielle d'activités (fin de la combustion de fioul) la société COFELY SERVICES a remis une étude de sols datée du 2 mai 2017, avec 18 points de prélèvement répartis sur le site s'échelonnant de 0,05 à 2,7m de profondeur.

52l0l3||Non||52l0l0||Non||Non||52l0l2||52l0l1||[]||[]||Le traitement de cette source a commencé au cours de l'année 2018.

