0l0l4||Non||0l0l2||0l0l0||Non||Non||Non||['la société TUDOR']||[]||Ce site de 5,6 ha a été occupé par la société TUDOR, de 1939 à 1951, pour la fabrication de batteries et d'accumulateurs.

1l0l2||Non||1l0l1||1l0l0||Non||Non||Non||['la société SEITA']||[]||Par la suite, il a été exploité, de 1951 à 1998, par la société SEITA (toujours propriétaire du site) pour le traitement des feuilles de tabac.

2l0l2||Non||2l0l1||2l0l0||Non||Non||Non||[]||[]||L'ensemble des bâtiments a été démoli en 1998.

4l0l6||Non||4l0l5||Non||Non||Non||Non||[]||[]||Aucune procédure de cessation d'activité n'a été engagée selon les dispositions du Code de l'Environnement lors de l'arrêt des activités en 1998.

5l0l0||5l0l1||5l0l2||5l0l3||Non||Non||Non||['la société SEITA']||[]||Lorsque la société SEITA a effectué les démarches de déclaration aux installations classées le 31 janvier 1986, bien qu'aucun acte administratif n'ait été retrouvé, les activités déclarées relevaient à cette date du régime d'autorisation, au titre de la rubrique n°391 de la nomenclature des installations classées alors en vigueur.

5l0l0||5l1l0||5l0l2||5l0l3||Non||Non||Non||['la société SEITA']||[]||Lorsque la société SEITA a effectué les démarches de déclaration aux installations classées le 31 janvier 1986, bien qu'aucun acte administratif n'ait été retrouvé, les activités déclarées relevaient à cette date du régime d'autorisation, au titre de la rubrique n°391 de la nomenclature des installations classées alors en vigueur.

5l0l4||5l0l1||5l0l2||5l0l3||Non||Non||Non||['la société SEITA']||[]||Lorsque la société SEITA a effectué les démarches de déclaration aux installations classées le 31 janvier 1986, bien qu'aucun acte administratif n'ait été retrouvé, les activités déclarées relevaient à cette date du régime d'autorisation, au titre de la rubrique n°391 de la nomenclature des installations classées alors en vigueur.

5l0l4||5l1l0||5l0l2||5l0l3||Non||Non||Non||['la société SEITA']||[]||Lorsque la société SEITA a effectué les démarches de déclaration aux installations classées le 31 janvier 1986, bien qu'aucun acte administratif n'ait été retrouvé, les activités déclarées relevaient à cette date du régime d'autorisation, au titre de la rubrique n°391 de la nomenclature des installations classées alors en vigueur.

5l0l7||Non||5l0l6||Non||Non||Non||Non||['la société SEITA']||[]||Lorsque la société SEITA a effectué les démarches de déclaration aux installations classées le 31 janvier 1986, bien qu'aucun acte administratif n'ait été retrouvé, les activités déclarées relevaient à cette date du régime d'autorisation, au titre de la rubrique n°391 de la nomenclature des installations classées alors en vigueur.

7l0l4||Non||7l0l2||Non||Non||7l0l3||Non||[]||[]||Dans le cadre de la cessation d'activité, plusieurs diagnostics environnementaux ont été réalisés en 2002, 2003, 2005 afin d'estimer la pollution et le chiffrage de la dépollution.

11l0l2||Non||11l0l1||11l0l0||Non||Non||Non||[]||[]||Le site est laissé en l'état depuis 2005.

13l0l0||Non||13l0l7||Non||Non||13l0l6||13l0l8||['ECR Environnement']||[]||En 2013, dans le cadre d'un projet d'aménagement d'une ZAC, la mairie de Niort a fait réaliser une évaluation de la qualité des sols par le bureau d'études ECR Environnement.

15l0l0||Non||15l0l1||Non||Non||15l0l2||Non||['la SEITA']||[]||En février 2016, des investigations complémentaires (sol et eaux souterraines) ont été effectuées par le bureau d'études Galtier Expertise Environnement pour la SEITA.

29l0l3||Non||29l0l2||Non||Non||Non||Non||["Les services de l'"]||[]||Les services de l'état n'ayant pas reçu tous les documents attendus pour une cessation d'activité, un arrêté de mise en demeure a été pris en date du 23 mai 2016, en application des articles L171-6 et L514-5 du Code de l'Environnement.

34l0l2||Non||34l0l0||Non||Non||34l0l1||Non||[]||['Sanitaires']||L’Étude Quantitative des Risques Sanitaires (EQRS) avait été transmise auparavant, elle est datée du 6/04/2016.

