2l0l3||2l0l1||2l0l2||Non||Non||Non||Non||[]||[]||Le site dont l'activité avait débuté en 1547, a cessé son activité en septembre 2009.

2l0l5||2l0l0||2l0l4||Non||Non||Non||Non||[]||[]||Le site dont l'activité avait débuté en 1547, a cessé son activité en septembre 2009.

8l0l1||Non||8l0l2||Non||Non||Non||Non||['la société Malaucène']||[]||Par arrêté préfectoral complémentaire du 17 août 2011, il a été demandé à la société Malaucène Industries SNC, pour le 1er septembre 2011, de compléter le plan de gestion et de démarrer les travaux de mise en sécurité d’anciens bassins de stockage et de traitement des sources de pollution.

8l0l5||Non||8l0l2||Non||Non||Non||Non||['la société Malaucène']||[]||Par arrêté préfectoral complémentaire du 17 août 2011, il a été demandé à la société Malaucène Industries SNC, pour le 1er septembre 2011, de compléter le plan de gestion et de démarrer les travaux de mise en sécurité d’anciens bassins de stockage et de traitement des sources de pollution.

9l0l5||Non||9l0l3||Non||Non||9l0l4||Non||['le préfet', 'la société Malaucène']||[]||Les compléments du plan de gestion n’ayant pas été transmis à l'inspection des installations classées et les travaux de mise en sécurité n’ayant pas débuté dans les délais prescrits par l’arrêté préfectoral complémentaire du 17 août 2011, Monsieur le préfet a, le 7 septembre 2011, mis en demeure la société Malaucène Industrie SNC de respecter, sous un délai maximal de 7 jours, les dispositions de l’arrêté préfectoral précité.

10l0l2||Non||10l0l1||Non||Non||Non||Non||['La société Malaucène', 'le préfet']||[]||La société Malaucène Industries SNC n’ayant pas déféré à la mise en demeure du 7 septembre 2011, Monsieur le préfet a engagé une procédure de consignation répondant du montant des travaux à réaliser pour la mise en sécurité de certaines installations du site et le traitement des sources de pollution (1 321 580 € TTC).

10l0l2||10l0l3||10l0l4||Non||Non||Non||Non||['La société Malaucène', 'le préfet']||[]||La société Malaucène Industries SNC n’ayant pas déféré à la mise en demeure du 7 septembre 2011, Monsieur le préfet a engagé une procédure de consignation répondant du montant des travaux à réaliser pour la mise en sécurité de certaines installations du site et le traitement des sources de pollution (1 321 580 € TTC).

11l0l0||11l0l1||11l0l2||Non||Non||Non||Non||['la direction départementale des', 'la société Malaucène Industries']||[]||Au 30 novembre 2011, la direction départementale des finances publiques avait perçu de la société Malaucène Industries SNC la somme de 870 000 € TTC.

11l0l0||11l1l0||11l0l2||Non||Non||Non||Non||['la direction départementale des', 'la société Malaucène Industries']||[]||Au 30 novembre 2011, la direction départementale des finances publiques avait perçu de la société Malaucène Industries SNC la somme de 870 000 € TTC.

12l0l0||12l0l1||12l0l3||12l0l4||Non||Non||Non||['la société Malaucène']||[]||Par jugement du 14 décembre 2011, le tribunal de commerce d'Avignon a prononcé la liquidation judiciaire de la société Malaucène Industries SNC (sans poursuite de l'activité), qui avait été mise en cessation de paiement le 1er novembre 2011.

12l0l7||Non||12l0l6||Non||Non||Non||Non||['la société Malaucène']||[]||Par jugement du 14 décembre 2011, le tribunal de commerce d'Avignon a prononcé la liquidation judiciaire de la société Malaucène Industries SNC (sans poursuite de l'activité), qui avait été mise en cessation de paiement le 1er novembre 2011.

19l0l2||Non||19l0l1||19l0l0||Non||Non||Non||[]||[]||Un plan de gestion a été finalisé en 2012.

29l0l3||Non||29l0l0||Non||Non||29l0l2||29l0l1||[]||[]||Les travaux de mise en sécurité de ces deux zones ont été réalisés dans le courant du premier semestre 2015, pour un coût de 325 000 euros.

40l0l5||Non||40l0l2||40l0l0||Non||Non||Non||[]||[]||Des restrictions sur l'usage des eaux souterraines et des eaux superficielles du Groseau ont été mises en place par la mairie de MALAUCENE, le 4 avril 2011 (consommation des eaux superficielles et de la nappe, usages des eaux superficielles et des eaux souterraines connexes, comme l'arrosage et le remplissage de piscines, et déconseillant la consommation des produits de la pêche dans le Groseau).

55l0l0||Non||55l0l1||Non||Non||Non||Non||[]||['TCE']||Toutefois, l'ouvrage PZ 22 (cœur de la source 1) continue à présenter des concentrations en TCE, globalement du même ordre de grandeur depuis le début du traitement.

67l0l2||Non||67l0l0||Non||Non||Non||Non||[]||[]||- de mettre en place une surveillance de la qualité des eaux souterraines et superficielles, pour une durée de quatre ans,

69l0l4||Non||69l0l0||Non||Non||69l0l3||69l0l2||[]||[]||Le coût des travaux sur la zone Ouest du site s'élève à ce jour, à 310 000 euros.

